---,RowType,NoPickWeight,MinLevel,bErrorIfOutputIsEmpty,bRetryIfPickIsEmpty,EntryType1,Entry1,WeightOrCount1,EntryType2,Entry2,WeightOrCount2,EntryType3,Entry3,WeightOrCount3,EntryType4,Entry4,WeightOrCount4,EntryType5,Entry5,WeightOrCount5,EntryType6,Entry6,WeightOrCount6,EntryType7,Entry7,WeightOrCount7,EntryType8,Entry8,WeightOrCount8,EntryType9,Entry9,WeightOrCount9,EntryType10,Entry10,WeightOrCount10,EntryType11,Entry11,WeightOrCount11,DataCurves,Entries,Notes
AddPetLegendaryAffixCollar,"All","0","0","False","False","RemoveStemGameplayTagAny","Item.Pet.Collar","1","AddAffixByFilter","Affix.Legendary","1","GameplayTagAny","Item.Pet.Collar","1","RemoveStemGameplayTagAny","Affix.Legendary","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
AddPetLegendaryAffixTag,"All","0","0","False","False","RemoveStemGameplayTagAny","Item.Pet.Tag","1","AddAffixByFilter","Affix.Legendary","1","RemoveStemGameplayTagAny","Affix.Legendary","1","GameplayTagAny","Item.Pet.Tag","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Armor_Legendary,"All","0","0","False","False","GotoAffixSpawnRow","Armor_Legendary_UniqueAffix","1","GotoAffixSpawnRow","Armor_Primary","1","GotoAffixSpawnRow","Armor_Secondary","3","GotoAffixSpawnRow","EnchantmentSlot","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Armor_Legendary_Global,"All","0","0","False","False","AddAreaTagsToAny","0","1","GotoAffixSpawnRow","Armor_Legendary","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
Armor_Legendary_Set,"Each","0","0","False","False","GotoAffixSpawnRow","Armor_Legendary","1","GotoAffixSpawnRow","Armor_Legendary_SetBonus","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Armor_Legendary_Set_Global,"All","0","0","False","False","AddAreaTagsToAny","0","1","GotoAffixSpawnRow","Armor_Legendary_Set","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Armor_Legendary_SetBonus,"All","0","0","False","False","AddAffixByFilter","Affix.Legendary.SetBonus","1","GameplayTagExclude","Affix.Legendary.SetBonus;Affix.Legendary.SetCounter","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Armor_Legendary_UniqueAffix,"All","0","0","False","False","GameplayTagExclude","Affix.Legendary.SetBonus;Affix.Legendary.SetCounter","1","AddAffixByFilter","Affix.Legendary","1","RemoveStemGameplayTagAny","Affix.Legendary","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Armor_Magic,"Each","0","0","False","False","GotoAffixSpawnRow","Armor_Primary","1","GotoAffixSpawnRow","Armor_Secondary","1","GotoAffixSpawnRow","EnchantmentSlot","2","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
Armor_Normal,"Each","0","0","False","False","GotoAffixSpawnRow","Armor_Primary","1","GotoAffixSpawnRow","EnchantmentSlot","3","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Armor_Primary,"Pick","0","0","True","True","AddAffixByFilter","Affix.Primary;Affix.Defense","3","AddAffixByFilter","Affix.Primary;Affix.Hitpoints.Bonus","1","AddAffixByFilter","Affix.Primary;Affix.Evasion","1","AddAffixByFilter","Affix.Primary;Affix.Block","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
Armor_Primary_Defense,"All","0","0","False","False","AddAreaTagsToAny","0","1","AddAffixByFilter","Affix.Primary;Affix.Defense","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
Armor_Rare,"Each","0","0","False","False","GotoAffixSpawnRow","Armor_Primary","1","GotoAffixSpawnRow","Armor_Secondary","2","GotoAffixSpawnRow","EnchantmentSlot","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
Armor_Secondary,"Pick_Each","0","0","True","True","GotoAffixSpawnRow","Armor_Secondary_Defense","2","AddAffixByFilter","Affix.Secondary;Affix.NonElemental","2","AddAffixByFilter","Affix.Secondary;Affix.Hitpoints.Bonus","2","AddAffixByFilter","Affix.Secondary;Affix.Hitpoints.Regen","2","AddAffixByFilter","Affix.Secondary;Affix.Effect","1","AddAffixByFilter","Affix.Secondary;Affix.CrowdControl","1","AddAffixByFilter","Affix.Secondary;Affix.Skill","3","AddAffixByFilter","Affix.Secondary;Affix.Damage","1","AddAffixByFilter","Affix.Secondary;Affix.Evasion","2","AddAffixByFilter","Affix.Secondary;Affix.Minion","1","AddAffixByFilter","Affix.EnchantingSlot","1","None","(None,None,None,None)",""
Armor_Secondary_Defense,"All","0","0","False","False","AddAreaTagsToAny","0","1","AddAffixByFilter","Affix.Secondary;Affix.Defense","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Armor_Starter_Large,"Each","0","0","False","False","AddAffixByName","Defense_Physical_Large_Primary_Newbie","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Armor_Starter_Medium,"Each","0","0","False","False","AddAffixByName","Defense_Physical_Medium_Primary_Newbie","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Default,"All","0","0","False","False","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","Required Default entry"
EmberCoreTooltip,"All","0","0","False","False","AddAffixByName","EmberCoreTooltip","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Enchanting_1h_BluntForce,"Pick","0","0","False","False","AddAffixByName","Damage_Physical_Secondary","1","AddAffixByName","StatusEffect_Chance_Bleed","1","AddAffixByName","StatusEffect_Duration_Bleed","1","AddAffixByName","CriticalHit_Chance_vsBleed","1","AddAffixByName","CriticalHit_Chance","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Enchanting_1h_Enhanced,"Pick","0","0","False","False","AddAffixByName","HitPoints_OnKIll","1","AddAffixByName","EmberWeaponChargeRegen","1","AddAffixByName","AttackSpeedBonus","1","None","","0","None","","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Enchanting_1h_FlameorFreeze,"Pick","0","0","False","False","AddAffixByName","StatusEFfect_Apply_Freeze","1","AddAffixByName","CriticalHit_Chance_vsFrozen","1","AddAffixByName","StatusEffect_Chance_Burn","1","AddAffixByName","StatusEffect_Duration_Burn","1","AddAffixByName","StatusEffect_Chance_Frozen","1","AddAffixByName","StatusEffect_Duration_Frozen","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Enchanting_1h_GoblinHater,"Pick","0","0","False","False","AddAffixByName","Damage_vsGoblins_Secondary","1","AddAffixByName","HitPoints_OnKill_vsGoblins","1","AddAffixByName","CriticalHit_Chance_vsGoblins","1","AddAffixByName","AttackSpeedBonus","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Enchanting_1h_HotorCold,"Pick","0","0","False","False","AddAffixByName","Damage_Fire_Secondary","1","AddAffixByName","StatusEffect_Duration_Burn","1","AddAffixByName","StatusEffect_Chance_Burn","1","AddAffixByName","Damage_Ice_Secondary","1","AddAffixByName","StatusEffect_Chance_Chill","1","AddAffixByName","StatusEffect_Duration_Chill","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Enchanting_1h_ShockandAwe,"Pick","0","0","False","False","AddAffixByName","StatusEffect_Chance_Shock","1","AddAffixByName","StatusEffect_Duration_Shock","1","AddAffixByName","StatusEffect_Shock_Bolts","1","AddAffixByName","StatusEffect_Chance_Stun","1","AddAffixByName","StatusEffect_Chance_Blind","1","AddAffixByName","StatusEffect_Duration_Blind","1","AddAffixByName","StatusEffect_Duration_Stun","1","None","","0","None","","0","None","","0","None","","0","None","",""
Enchanting_1h_Tainted,"Pick","0","0","False","False","AddAffixByName","Damage_Poison_Secondary","1","AddAffixByName","StatusEffect_Chance_Poison","1","AddAffixByName","StatusEFfect_Duration_Poison","1","AddAffixByName","CriticalHit_Chance_VsPoison","1","AddAffixByName","CriticalHit_Chance_vsImmobilize","1","AddAffixByName","StatusEffect_ApplyImmobilize","1","AddAffixByName","StatusEffect_Chance_Immobilize","1","AddAffixByName","CriticalHit_Chance_VsSlow","1","None","","0","None","","0","None","","0","None","",""
Enchanting_2h_BluntForce,"Pick","0","0","False","False","AddAffixByName","Damage_Physical_Secondary","1","AddAffixByName","StatusEffect_Chance_Bleed","1","AddAffixByName","StatusEffect_Duration_Bleed","1","AddAffixByName","CriticalHit_Chance_vsBleed","1","AddAffixByName","CriticalHit_Chance","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Enchanting_2h_Enhanced,"Pick","0","0","False","False","AddAffixByName","HitPoints_OnKIll","1","AddAffixByName","EmberWeaponChargeRegen","1","AddAffixByName","AttackSpeedBonus","1","None","","0","None","","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Enchanting_2h_FlameorFreeze,"Pick","0","0","False","False","AddAffixByName","StatusEFfect_Apply_Freeze","1","AddAffixByName","CriticalHit_Chance_vsFrozen","1","AddAffixByName","StatusEffect_Chance_Burn","1","AddAffixByName","StatusEffect_Duration_Burn","1","AddAffixByName","StatusEffect_Chance_Frozen","1","AddAffixByName","StatusEffect_Duration_Frozen","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Enchanting_2h_GoblinHater,"Pick","0","0","False","False","AddAffixByName","Damage_vsGoblins_Secondary","1","AddAffixByName","HitPoints_OnKill_vsGoblins","1","AddAffixByName","CriticalHit_Chance_vsGoblins","1","AddAffixByName","AttackSpeedBonus","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Enchanting_2h_HotorCold,"Pick","0","0","False","False","AddAffixByName","Damage_Fire_Secondary","1","AddAffixByName","StatusEffect_Duration_Burn","1","AddAffixByName","StatusEffect_Chance_Burn","1","AddAffixByName","Damage_Ice_Secondary","1","AddAffixByName","StatusEffect_Chance_Chill","1","AddAffixByName","StatusEffect_Duration_Chill","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
