---,TwoCC,TraitType,ParamTagParents,ValueMin,ValueMax,ParamType,ReplicateType,ShowAsCurrency,bShouldPersist,bPerAccount,bIsCombatTrait,bInheritFromInstigator,bRemoveFromTraitsIfZero,Notes
StunResistance,"AX","Value","(GameplayTags=)","","1","Item","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True","% reduction in stun duration. 1 means immune to stun. Can be negative."
AttackSpeedBonusMult,"BV","Value","(GameplayTags=((TagName=""Skill"")))","","0.6","GameplayTag","ReplicateToAll","(RowName="""")","True","False","False","True","True",""
BlockChance,"CF","Value","(GameplayTags=)","","0.4","None","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True",""
ClassSkillObjectLevel,"BP","Value","(GameplayTags=((TagName=""Character.Player"")))","","","GameplayTag","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True","Overall level of the player's fort"
CooldownPctBySkillName,"DL","Value","(GameplayTags=)","","","Skill","ReplicateToMyPlayerOnly","(RowName="""")","True","False","True","True","True","Cyclone is 10% faster"
CooldownPctBySkillTag,"DM","Value","(GameplayTags=((TagName=""Skill"")))","","","GameplayTag","ReplicateToMyPlayerOnly","(RowName="""")","True","False","True","True","True","Melee skills are 10% faster"
CooldownSecondsBySkillName,"LH","Value","(GameplayTags=)","","","Skill","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True","Cyclone cooldown -1s (applies base, then pct)"
CooldownSecondsBySkillTag,"LI","Value","(GameplayTags=((TagName=""Skill"")))","","","GameplayTag","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True","Melee skill cooldowns -1s (applies base, then pct)"
CriticalDamageBonus,"BX","Value","(GameplayTags=)","","3.0","None","ReplicateToMyPlayerOnly","(RowName="""")","True","False","True","True","True",""
CriticalDamageBonusVs,"CQ","Value","(GameplayTags=((TagName=""StatusEffect""),(TagName=""Character"")))","","3.0","GameplayTag","ReplicateToMyPlayerOnly","(RowName="""")","True","False","True","True","True",""
CriticalHitChance,"BW","Value","(GameplayTags=)","","0.4","None","ReplicateToMyPlayerOnly","(RowName="""")","True","False","True","True","True",""
CriticalHitChanceVs,"CP","Value","(GameplayTags=((TagName=""StatusEffect""),(TagName=""Character.Monster"")))","","0.4","GameplayTag","ReplicateToMyPlayerOnly","(RowName="""")","True","False","True","True","True",""
Currency,"BR","Value","(GameplayTags=)","","","Currency","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True","How much of a currency the player has. Parameter is a row from the CraftingResource table."
Damage,"AB","BaseWithMult","(GameplayTags=((TagName=""Element"")))","","","GameplayTag","ReplicateToMyPlayerOnly","(RowName="""")","True","False","True","True","True","Base damage number that is then converted into different elements by DamagePctAsElement.  The only non-percent-based damage number"
DamageOverTime,"BI","Value","(GameplayTags=((TagName=""Element"")))","0","","GameplayTag","ReplicateToMyPlayerOnly","(RowName="""")","True","False","True","False","True",""
DamagePctByElement,"AN","Value","(GameplayTags=((TagName=""Element"")))","","","GameplayTag","ReplicateToMyPlayerOnly","(RowName="""")","True","False","True","True","True","50% damage as fire.  Monsters and Players currently hardcoded to 100% as physical."
DamagePctByStatusEffectTag,"GA","Value","(GameplayTags=((TagName=""StatusEffect"")))","","","GameplayTag","ReplicateToMyPlayerOnly","(RowName="""")","True","False","True","True","True","+% damage vs blinded/burning/frozen/whatever"
DamageVsTarget,"CB","Value","(GameplayTags=((TagName=""Character.Monster"")))","0","","GameplayTag","ReplicateToMyPlayerOnly","(RowName="""")","True","False","True","True","True","+10 damage vs goblins"
DamagePctVsTarget,"AD","Value","(GameplayTags=((TagName=""Character.Monster"")))","","","GameplayTag","ReplicateToMyPlayerOnly","(RowName="""")","True","False","True","True","True","+1% damage vs goblins"
DamagePctBySkillName,"EN","Value","(GameplayTags=)","","","Skill","ReplicateToMyPlayerOnly","(RowName="""")","True","False","True","True","True","This is for skill bonus by name +% Cyclone"
DamagePctBySkillTag,"DK","Value","(GameplayTags=((TagName=""Skill""),(TagName=""Item.Weapon"")))","","","GameplayTag","ReplicateToMyPlayerOnly","(RowName="""")","True","False","True","True","True","This is for skill bonus damage +% Melee skills"
DarkChargeBar,"BF","ActiveTrait","(GameplayTags=)","0","100","None","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True","The Dusk Mage's charge bar for Dark"
Defense,"BL","BaseWithMult","(GameplayTags=)","","","None","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True","+10 Defense - Applied in all situation to the Attack/Defense damage factor"
DefenseVsElementalProcDuration,"CK","Value","(GameplayTags=((TagName=""Proc"")))","0","","GameplayTag","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True","When hit by an elemental effect, it is subtracted from the duration"
DefenseVsSource,"AU","Value","(GameplayTags=((TagName=""Character"")))","","","GameplayTag","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True","+10 Defense vs Goblins - added to DefenseVsElement"
DefenseVsElement,"AO","BaseWithMult","(GameplayTags=((TagName=""Element"")))","","","GameplayTag","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True","+10 Defense vs Fire - added to DefenseVsSource"
DestroyDeadDisabled,"EA","Value","(GameplayTags=)","0","1","None","DontReplicate","(RowName="""")","False","False","False","True","True","Monster will never start the timer to be destroyed after death"
EmberWeaponAttackBonusUnlock,"ZZ","Value","(GameplayTags=)","0","","None","ReplicateToPlayersOnly","(RowName="""")","True","False","False","True","True","Unlocks a benefit on ember weapon basic attack."
ElementalProcChance,"BS","Proc","(GameplayTags=((TagName=""Proc"")))","","0.8","GameplayTag","ReplicateToMyPlayerOnly","(RowName="""")","True","False","True","True","True",""
ElementalProcCount,"BY","Value","(GameplayTags=((TagName=""Proc"")))","","","GameplayTag","ReplicateToMyPlayerOnly","(RowName="""")","True","False","True","True","True",""
ElementalProcDamage,"BU","Value","(GameplayTags=((TagName=""Proc"")))","","","GameplayTag","ReplicateToMyPlayerOnly","(RowName="""")","True","False","True","True","True",""
ElementalProcDuration,"BT","Value","(GameplayTags=((TagName=""Proc"")))","","10","GameplayTag","ReplicateToMyPlayerOnly","(RowName="""")","True","False","True","True","True",""
Energy,"AC","ActiveTrait","(GameplayTags=)","","","None","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True",""
EnergyCostPctBySkillName,"DN","Value","(GameplayTags=)","","","Skill","ReplicateToMyPlayerOnly","(RowName="""")","True","False","True","True","True","Cyclone cost 10% less energy"
EnergyCostPctBySkillTag,"DO","Value","(GameplayTags=((TagName=""Skill"")))","","","GameplayTag","ReplicateToMyPlayerOnly","(RowName="""")","True","False","True","True","True","Melee skills cost 10% less energy"
ExperienceGainBonusPct,"FG","Value","(GameplayTags=)","","","None","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True","What percent more or less experience a player gains"
Experience,"CN","Value","(GameplayTags=)","","","None","ReplicateToMyPlayerOnly","(RowName="""")","False","False","False","True","True","Current experience value"
ExperienceValue,"CM","Value","(GameplayTags=)","","","None","DontReplicate","(RowName="""")","False","False","False","False","True","The experience value granted by killing this monster"
ExperiencePercent,"CR","Value","(GameplayTags=)","","","None","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True","The percent of the way through the current level that we have achieved"
ForgedHeat,"BJ","ActiveTrait","(GameplayTags=)","0","","None","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True","The energy pool for the Forged - which skills push up and down"
ForgedSteam,"MI","ActiveTrait","(GameplayTags=)","0","","None","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True",""
ForgedVentTier,"BN","Value","(GameplayTags=)","","","None","ReplicateToPlayersOnly","(RowName="""")","True","False","False","True","True","What level of vent the forged is on"
GetHitChance,"AS","Value","(GameplayTags=)","","","None","DontReplicate","(RowName="""")","True","False","False","True","True",""
GetHitCooldown,"AR","Value","(GameplayTags=)","","","None","DontReplicate","(RowName="""")","True","False","False","True","True",""
GetHitThreshold,"AQ","Value","(GameplayTags=)","","","None","DontReplicate","(RowName="""")","True","False","False","True","True",""
SizeScaleMultiplier,"BZ","Value","(GameplayTags=)","0","","None","ReplicateToAll","(RowName="""")","True","False","False","False","True",""
HarvestingProc,"AK","Proc","(GameplayTags=)","","","None","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True",""
HealthOnHit,"CG","Value","(GameplayTags=)","","","None","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True",""
HealthOnHitVsTarget,"CH","Value","(GameplayTags=((TagName=""Character"")))","","","GameplayTag","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True",""
HealthOnKillVsTarget,"CJ","Value","(GameplayTags=((TagName=""Character"")))","","","GameplayTag","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True",""
HealthOnKillVsTargetPct,"EX","Value","(GameplayTags=((TagName=""Character"")))","0","","GameplayTag","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True","Heals on kill as a percent of the attacker's health.  Filters by target tag"
HealthOnKill,"CI","Value","(GameplayTags=((TagName=""Character"")))","","","None","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True",""
HealthOnKillPct,"EW","Value","(GameplayTags=((TagName=""Character"")))","0","","None","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True","Heals on kill as a percent of the attackers health"
Hitpoints,"AA","ActiveTrait","(GameplayTags=)","","","None","ReplicateToAll","(RowName="""")","True","False","False","True","True",""
Invulnerable,"BB","Value","(GameplayTags=)","","","None","DontReplicate","(RowName="""")","False","False","False","True","True","Is the character invulnerable to all forms of damage?"
InvulnerableToElement,"BC","Value","(GameplayTags=((TagName=""Element"")))","","","GameplayTag","DontReplicate","(RowName="""")","False","False","False","True","True","Is the character invulnerable to a specific type of elemental damage?"
KnockbackChance,"AY","Proc","(GameplayTags=)","","0.8","None","ReplicateToMyPlayerOnly","(RowName="""")","True","False","True","True","True","Chance to cause knockback."
