---,QuestRewardText,QuestRewardIconGameplayTag,RequiredPlayerGameplayTags,QuestObjectFilter,RowType,NoPickWeight,MinLevel,bErrorIfOutputIsEmpty,bRetryIfPickIsEmpty,EntryType1,Entry1,WeightOrCount1,EntryType2,Entry2,WeightOrCount2,EntryType3,Entry3,WeightOrCount3,EntryType4,Entry4,WeightOrCount4,EntryType5,Entry5,WeightOrCount5,EntryType6,Entry6,WeightOrCount6,EntryType7,Entry7,WeightOrCount7,EntryType8,Entry8,WeightOrCount8,EntryType9,Entry9,WeightOrCount9,EntryType10,Entry10,WeightOrCount10,EntryType11,Entry11,WeightOrCount11,DataCurves,Entries,Notes
Default,"","(TagName="""")","(GameplayTags=)","(RowName="""")","Pick","0","0","False","False","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
NoLoot,"","(TagName="""")","(GameplayTags=)","(RowName="""")","Pick","0","0","False","False","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Popcorn,"","(TagName="""")","(GameplayTags=)","(RowName="""")","All","0","0","False","False","GotoItemSpawnRow","MonsterCurrency","1","RemoveStemGameplayTagAll","Currency.Monster","1","GotoItemSpawnRow","Popcorn_Normal","1","GotoItemSpawnRow","Popcorn_Luck_Gear","1","GotoItemSpawnRow","Popcorn_Luck_Potion","1","GotoItemSpawnRow","Popcorn_Luck_Gold","1","GotoItemSpawnRow","Popcorn_Luck_LifeboundScroll","1","GotoItemSpawnRow","Popcorn_Luck_Essence","1","None","","0","None","","0","None","","0","None","(None,None,None,None,None)",""
Popcorn_Woody,"","(TagName="""")","(GameplayTags=)","(RowName="""")","All","0","0","False","False","GotoItemSpawnRow","MonsterWood_Chance","1","GotoItemSpawnRow","Popcorn","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
MonsterWood_Chance,"","(TagName="""")","(GameplayTags=)","(RowName="""")","Pick","5","0","False","False","GotoItemSpawnRow","Clickable_T1_Ash_Bonus","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Popcorn_Stony,"","(TagName="""")","(GameplayTags=)","(RowName="""")","All","0","0","False","False","GotoItemSpawnRow","MonsterStone_Chance","1","GotoItemSpawnRow","Popcorn","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
MonsterStone_Chance,"","(TagName="""")","(GameplayTags=)","(RowName="""")","Pick","5","0","False","False","GotoItemSpawnRow","Clickable_T1_Sandstone_Bonus","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Popcorn_Normal,"","(TagName="""")","(GameplayTags=)","(RowName="""")","Pick","9650","0","False","False","GotoItemSpawnRow","PickLoot_Popcorn","350","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Popcorn_Luck_Gear,"","(TagName="""")","(GameplayTags=)","(RowName="""")","Pick_Curve","0","0","False","False","GotoItemSpawnRow","NoLoot","0","GotoItemSpawnRow","Gear_Lucky","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","Popcorn_NoGear;Popcorn_Gear-Item.Gear","(None,None)",""
Popcorn_Luck_Potion,"","(TagName="""")","(GameplayTags=)","(RowName="""")","Pick_Curve","0","0","False","False","GotoItemSpawnRow","NoLoot","0","GotoItemSpawnRow","Potion_Lucky","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","Popcorn_NoPotion;Popcorn_Potion-Item.Potion","(None,None)",""
Popcorn_Luck_Gold,"","(TagName="""")","(GameplayTags=)","(RowName="""")","Pick_Curve","0","0","False","False","GotoItemSpawnRow","NoLoot","0","GotoItemSpawnRow","Gold_Lucky","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","Popcorn_NoGold;Popcorn_Gold-Item.Currency.Gold","(None,None)",""
Standard,"","(TagName="""")","(GameplayTags=)","(RowName="""")","All","0","0","False","False","GotoItemSpawnRow","MonsterCurrency","1","RemoveStemGameplayTagAll","Currency.Monster","1","GotoItemSpawnRow","Standard_Normal","1","GotoItemSpawnRow","Standard_Luck_Gear","1","GotoItemSpawnRow","Standard_Luck_Potion","1","GotoItemSpawnRow","Standard_Luck_Gold","1","GotoItemSpawnRow","Standard_Luck_LifeboundScroll","1","GotoItemSpawnRow","Standard_Luck_Essence","1","None","","0","None","","0","None","","0","None","(None,None,None,None,None)",""
Standard_Metaly,"","(TagName="""")","(GameplayTags=)","(RowName="""")","All","0","0","False","False","GotoItemSpawnRow","MonsterMetal_Chance","1","GotoItemSpawnRow","Standard","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
MonsterMetal_Chance,"","(TagName="""")","(GameplayTags=)","(RowName="""")","Pick","5","0","False","False","GotoItemSpawnRow","Clickable_T1_Tin_Bonus","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Standard_Normal,"","(TagName="""")","(GameplayTags=)","(RowName="""")","Pick","8950","0","False","False","GotoItemSpawnRow","PickLoot","1050","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Standard_Luck_Gear,"","(TagName="""")","(GameplayTags=)","(RowName="""")","Pick_Curve","0","0","False","False","GotoItemSpawnRow","NoLoot","0","GotoItemSpawnRow","Gear_Lucky","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","Standard_NoGear;Standard_Gear-Item.Gear","(None,None)",""
Standard_Luck_Potion,"","(TagName="""")","(GameplayTags=)","(RowName="""")","Pick_Curve","0","0","False","False","GotoItemSpawnRow","NoLoot","0","GotoItemSpawnRow","Potion_Lucky","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","Standard_NoPotion;Standard_Potion-Item.Potion","(None,None)",""
Standard_Luck_Gold,"","(TagName="""")","(GameplayTags=)","(RowName="""")","Pick_Curve","0","0","False","False","GotoItemSpawnRow","NoLoot","0","GotoItemSpawnRow","Gold_Lucky","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","Standard_NoGold;Standard_Gold-Item.Currency.Gold","(None,None)",""
Tough,"","(TagName="""")","(GameplayTags=)","(RowName="""")","All","0","0","False","False","GotoItemSpawnRow","MonsterCurrency","1","RemoveStemGameplayTagAll","Currency.Monster","1","GotoItemSpawnRow","Tough_Normal","1","GotoItemSpawnRow","Tough_Luck_Gear","1","GotoItemSpawnRow","Tough_Luck_Potion","1","GotoItemSpawnRow","Tough_Luck_Gold","1","GotoItemSpawnRow","Tough_Luck_LifeboundScroll","1","GotoItemSpawnRow","Tough_Luck_Essence","1","None","","0","None","","0","None","","0","None","(None,None,None,None,None)",""
Tough_Woody,"","(TagName="""")","(GameplayTags=)","(RowName="""")","All","0","0","False","False","GotoItemSpawnRow","MonsterWood_Chance","1","GotoItemSpawnRow","Tough","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Tough_Metaly,"","(TagName="""")","(GameplayTags=)","(RowName="""")","All","0","0","False","False","GotoItemSpawnRow","MonsterMetal_Chance","1","GotoItemSpawnRow","Tough","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Tough_Normal,"","(TagName="""")","(GameplayTags=)","(RowName="""")","Pick","8250","0","False","False","GotoItemSpawnRow","PickLoot_Tough","1750","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Tough_Luck_Gear,"","(TagName="""")","(GameplayTags=)","(RowName="""")","Pick_Curve","0","0","False","False","GotoItemSpawnRow","NoLoot","0","GotoItemSpawnRow","Gear_Lucky","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","Tough_NoGear;Tough_Gear-Item.Gear","(None,None)",""
Tough_Luck_Potion,"","(TagName="""")","(GameplayTags=)","(RowName="""")","Pick_Curve","0","0","False","False","GotoItemSpawnRow","NoLoot","0","GotoItemSpawnRow","Potion_Lucky","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","Tough_NoPotion;Tough_Potion-Item.Potion","(None,None)",""
Tough_Luck_Gold,"","(TagName="""")","(GameplayTags=)","(RowName="""")","Pick_Curve","0","0","False","False","GotoItemSpawnRow","NoLoot","0","GotoItemSpawnRow","Gold_Lucky","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","Tough_NoGold;Tough_Gold-Item.Currency.Gold","(None,None)",""
MimicChest,"","(TagName="""")","(GameplayTags=)","(RowName="""")","All","0","0","False","False","RemoveStemGameplayTagAll","Currency.Monster","1","GotoItemSpawnRow","LootChest_Rare","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
StoneElemental_Goblin,"","(TagName="""")","(GameplayTags=)","(RowName="""")","Each","0","0","False","False","GotoItemSpawnRow","StoneNode_T1_Sandstone","1","GotoItemSpawnRow","Tough","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
StoneElemental_RedHaven,"","(TagName="""")","(GameplayTags=)","(RowName="""")","Each","0","0","False","False","GotoItemSpawnRow","StoneNode_T1_Flint","1","GotoItemSpawnRow","Tough","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Minion,"","(TagName="""")","(GameplayTags=)","(RowName="""")","All","0","0","False","False","GotoItemSpawnRow","MonsterCurrency","1","RemoveStemGameplayTagAll","Currency.Monster","1","GotoItemSpawnRow","Tough_Normal","1","GotoItemSpawnRow","Minion_Potion","1","GotoItemSpawnRow","Tough_Luck_Gear","1","GotoItemSpawnRow","Tough_Luck_Potion","1","GotoItemSpawnRow","Tough_Luck_Gold","1","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None)",""
Minion_Potion,"","(TagName="""")","(GameplayTags=)","(RowName="""")","Pick","3","0","False","False","GotoItemSpawnRow","Potion","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Champion,"","(TagName="""")","(GameplayTags=)","(RowName="""")","All","0","0","False","False","GotoItemSpawnRow","MonsterCurrency","1","RemoveStemGameplayTagAll","Currency.Monster","1","GotoItemSpawnRow","Champion_Loot_MagicMin","1","GotoItemSpawnRow","Potion_Champs","1","GotoItemSpawnRow","EnchantingRecipes","1","GotoItemSpawnRow","Fame_Champ","1","GotoItemSpawnRow","Champion_Luck","1","GotoItemSpawnRow","Fame_Champ_Luck","1","None","","0","None","","0","None","","0","None","(None,None,None,None,None)",""
Champion_Legendary,"","(TagName="""")","(GameplayTags=)","(RowName="""")","All","0","0","False","False","GotoItemSpawnRow","MonsterCurrency","1","RemoveStemGameplayTagAll","Currency.Monster","1","GotoItemSpawnRow","Champion_Loot_MagicMin","2","GotoItemSpawnRow","Potion_Champs","1","GotoItemSpawnRow","EnchantingRecipes","1","GotoItemSpawnRow","Fame_Champ","1","GotoItemSpawnRow","Champion_Luck","1","GotoItemSpawnRow","Fame_Champ_Luck","1","None","","0","None","","0","None","","0","None","(None,None,None,None,None)",""
Champion_Unique,"","(TagName="""")","(GameplayTags=)","(RowName="""")","All","0","0","False","False","GotoItemSpawnRow","MonsterCurrency","1","RemoveStemGameplayTagAll","Currency.Monster","1","GotoItemSpawnRow","Champion_Loot_MagicMin","1","GotoItemSpawnRow","Champion_Loot_RareMin","1","GotoItemSpawnRow","Potion_Champs","1","GotoItemSpawnRow","EnchantingRecipes","1","GotoItemSpawnRow","Fame_Boss","1","GotoItemSpawnRow","Champion_Luck","1","GotoItemSpawnRow","Fame_Boss_Luck","1","None","","0","None","","0","None","(None,None,None,None,None)",""
Champion_Loot_MagicMin,"","(TagName="""")","(GameplayTags=)","(RowName="""")","All","0","0","False","False","GotoItemSpawnRow","Gear_MagicMin","1","GotoItemSpawnRow","Gold","2","GotoItemSpawnRow","LifeboundScroll","1","GotoItemSpawnRow","Champ_Luck_LifeboundScroll","1","GotoItemSpawnRow","Champion_Luck_Essence","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None)",""
Champion_Loot_RareMin,"","(TagName="""")","(GameplayTags=)","(RowName="""")","All","0","0","False","False","GotoItemSpawnRow","Gear_RareMin","1","GotoItemSpawnRow","Gold","3","GotoItemSpawnRow","LifeboundScroll","1","GotoItemSpawnRow","Champ_Luck_LifeboundScroll","1","GotoItemSpawnRow","Champion_Luck_Essence","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None)",""
Champion_Luck,"","(TagName="""")","(GameplayTags=)","(RowName="""")","Each","0","0","False","False","GotoItemSpawnRow","Champ_Luck_Gear","1","GotoItemSpawnRow","Champ_Luck_Potion","1","GotoItemSpawnRow","Champ_Luck_Gold","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
MonsterCurrency,"","(TagName="""")","(GameplayTags=)","(RowName=""LuckTree"")","Pick","5","0","False","False","AddItemByFilter","Currency.Monster","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
RegretScroll,"","(TagName="""")","(GameplayTags=)","(RowName="""")","Pick","38","5","False","False","AddItemByName","SkillRegretScroll","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Boss,"","(TagName="""")","(GameplayTags=)","(RowName="""")","All","0","0","False","False","GotoItemSpawnRow","Champion_Unique","1","GotoItemSpawnRow","Respec_Boss","1","GotoItemSpawnRow","PhaseDungeon_Luck_LifeboundScroll","1","GotoItemSpawnRow","Essence_Legendary","1","GotoItemSpawnRow","Luck_FortDecos","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None)",""
Boss_NoFame,"","(TagName="""")","(GameplayTags=)","(RowName="""")","All","0","0","False","False","GotoItemSpawnRow","Champion_Unique","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None)",""
Champ_Luck_Gear,"","(TagName="""")","(GameplayTags=)","(RowName="""")","Pick_Curve","0","0","False","False","GotoItemSpawnRow","NoLoot","0","GotoItemSpawnRow","Gear_Lucky","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","Champ_NoGear;Champ_Gear-Item.Gear","(None,None)",""
Champ_Luck_Potion,"","(TagName="""")","(GameplayTags=)","(RowName="""")","Pick_Curve","0","0","False","False","GotoItemSpawnRow","NoLoot","0","GotoItemSpawnRow","Potion_Lucky","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","Champ_NoPotion;Champ_Potion-Item.Potion","(None,None)",""
Champ_Luck_Gold,"","(TagName="""")","(GameplayTags=)","(RowName="""")","Pick_Curve","0","0","False","False","GotoItemSpawnRow","NoLoot","0","GotoItemSpawnRow","Gold_Lucky","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","Champ_NoGold;Champ_Gold-Item.Currency.Gold","(None,None)",""
LootChest,"","(TagName="""")","(GameplayTags=)","(RowName="""")","Each","0","0","False","False","GotoItemSpawnRow","LootChest_Normal","1","GotoItemSpawnRow","LootChest_Potion","1","GotoItemSpawnRow","Chest_Luck_Gear","1","GotoItemSpawnRow","Chest_Luck_Potion","1","GotoItemSpawnRow","Chest_Luck_Gold","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None)",""
