---,RowType,NoPickWeight,MinLevel,bErrorIfOutputIsEmpty,bRetryIfPickIsEmpty,EntryType1,Entry1,WeightOrCount1,EntryType2,Entry2,WeightOrCount2,EntryType3,Entry3,WeightOrCount3,EntryType4,Entry4,WeightOrCount4,EntryType5,Entry5,WeightOrCount5,EntryType6,Entry6,WeightOrCount6,EntryType7,Entry7,WeightOrCount7,EntryType8,Entry8,WeightOrCount8,EntryType9,Entry9,WeightOrCount9,EntryType10,Entry10,WeightOrCount10,EntryType11,Entry11,WeightOrCount11,EntryType12,Entry12,WeightOrCount12,DataCurves,Entries,Notes
SpawnPet_Random,"Pick","0","0","True","False","GoToMinionSpawnRow","SpawnPet_Random_Common","40","GoToMinionSpawnRow","SpawnPet_Random_Magic","30","GoToMinionSpawnRow","SpawnPet_Random_Rare","20","GoToMinionSpawnRow","SpawnPet_Random_Legendary","10","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
SpawnPet_Random_RareMin,"Pick","0","0","True","False","GoToMinionSpawnRow","SpawnPet_Random_Rare","6","GoToMinionSpawnRow","SpawnPet_Random_Legendary","4","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
SpawnPet_Random_Common,"All","0","0","False","False","GoToMinionSpawnRow","AddSkill_Random_Common","1","AddMinionByFilter","ItemQuality.Normal","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
SpawnPet_Random_Magic,"All","0","0","False","False","GoToMinionSpawnRow","AddSkill_Random_Magic","1","AddMinionByFilter","ItemQuality.Magic","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
SpawnPet_Random_Rare,"All","0","0","False","False","GoToMinionSpawnRow","AddSkill_Random_Rare","1","AddMinionByFilter","ItemQuality.Rare","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
SpawnPet_Random_Legendary,"All","0","0","False","False","GoToMinionSpawnRow","AddSkill_Random_Legendary","1","AddMinionByFilter","ItemQuality.Legendary","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
SpawnPet_Alpaca01,"All","0","0","False","False","AddMinionByName","Alpaca01","1","GoToMinionSpawnRow","AddSkill_Random_Common","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","White Alpaca"
SpawnPet_Alpaca02,"All","0","0","False","False","AddMinionByName","Alpaca02","1","GoToMinionSpawnRow","AddSkill_Random_Common","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","Golden Alpaca"
SpawnPet_Alpaca03,"All","0","0","False","False","AddMinionByName","Alpaca03","1","GoToMinionSpawnRow","AddSkill_Random_Common","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","Chocolate Alpaca"
SpawnPet_Faerie05,"All","0","60","False","False","AddMinionByName","Faerie05","1","GoToMinionSpawnRow","AddSkill_Random_Rare","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
