---,RowType,NoPickWeight,MinLevel,bErrorIfOutputIsEmpty,bRetryIfPickIsEmpty,EntryType1,Entry1,WeightOrCount1,EntryType2,Entry2,WeightOrCount2,EntryType3,Entry3,WeightOrCount3,EntryType4,Entry4,WeightOrCount4,EntryType5,Entry5,WeightOrCount5,EntryType6,Entry6,WeightOrCount6,EntryType7,Entry7,WeightOrCount7,EntryType8,Entry8,WeightOrCount8,EntryType9,Entry9,WeightOrCount9,EntryType10,Entry10,WeightOrCount10,EntryType11,Entry11,WeightOrCount11,EntryType12,Entry12,WeightOrCount12,DataCurves,Entries,Notes
DungeonStart,"All","0","0","False","False","GoToDungeonSpawnRowIfEndOfCluster","Checkpoint|true","1","GoToDungeonSpawnRowIfEndOfCluster","RegularChallenge|false","1","AddUniqueMapworksRowByName","EndlessDungeon_SharedChanges","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Checkpoint,"All","0","0","False","False","GoToDungeonSpawnRowByChallengeLevel","OrdrakChallenge|251","1","GoToDungeonSpawnRowByChallengeLevel","BigBadChallenge|39;83;133;191","1","GoToDungeonSpawnRowByChallengeLevel","BossChallenge|1-38;40-68;69-82;84-132;134-149;150-190;192-250","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
RegularChallenge,"All","0","0","False","False","GoToDungeonSpawnRowByQuality","NormalChallenge|Normal","1","GoToDungeonSpawnRowByQuality","MagicChallenge|Magic","1","GoToDungeonSpawnRowByQuality","RareChallenge|Rare","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
NormalChallenge,"All","0","0","False","False","GoToDungeonSpawnRowByChallengeLevel","NormalChallenge_Tier1|1-68","1","GoToDungeonSpawnRowByChallengeLevel","NormalChallenge_Tier2|69-149","1","GoToDungeonSpawnRowByChallengeLevel","NormalChallenge_Tier3|150-251","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
MagicChallenge,"All","0","0","False","False","GoToDungeonSpawnRowByChallengeLevel","MagicChallenge_Tier1|1-68","1","GoToDungeonSpawnRowByChallengeLevel","MagicChallenge_Tier2|69-149","1","GoToDungeonSpawnRowByChallengeLevel","MagicChallenge_Tier3|150-251","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
RareChallenge,"All","0","0","False","False","GoToDungeonSpawnRowByChallengeLevel","RareChallenge_Tier1|1-68","1","GoToDungeonSpawnRowByChallengeLevel","RareChallenge_Tier2|69-149","1","GoToDungeonSpawnRowByChallengeLevel","RareChallenge_Tier3|150-251","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
NormalChallenge_Tier1,"All","0","0","False","False","AddUniqueMapworksRowByName","EndlessDungeon","1","AddUniqueMapworksRowByFilter","Dungeon.Affix.Negative","1","AddUniqueMapworksRowByFilter","Dungeon.Affix.Positive","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
MagicChallenge_Tier1,"All","0","0","False","False","AddUniqueMapworksRowByName","EndlessDungeon","1","AddUniqueMapworksRowByFilter","Dungeon.Affix.Negative","1","AddUniqueMapworksRowByFilter","Dungeon.Affix.Positive","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
RareChallenge_Tier1,"All","0","0","False","False","AddUniqueMapworksRowByName","EndlessDungeon","1","AddUniqueMapworksRowByFilter","Dungeon.Affix.Negative","1","AddUniqueMapworksRowByFilter","Dungeon.Affix.Positive","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
NormalChallenge_Tier2,"All","0","0","False","False","AddUniqueMapworksRowByName","EndlessDungeon","1","AddUniqueMapworksRowByFilter","Dungeon.Affix.Negative","1","AddUniqueMapworksRowByFilter","Dungeon.Affix.Positive","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
