---,ChargeTimeSeconds,DrainTimeSeconds,UnlockableAffix1,Affix1UnlockLevel,UnlockableAffix2,Affix2UnlockLevel,UnlockableAffix3,Affix3UnlockLevel,UnlockableSkillAffix1,Skill1UnlockLevel,UnlockableSkillAffix2,Skill2UnlockLevel,UnlockableSkillAffix3,Skill3UnlockLevel,MasteryBonus,MasteryBonusForShrine,LevelUpSkill,Notes
Bane,"120.000000","30.000000","(RowName=""Skill_Give_MissilesOnPoisonedHit"")","7","(RowName="""")","8","(RowName="""")","24","(RowName="""")","3","(RowName="""")","5","(RowName="""")","30","None","None","/Game/Skills/Blueprints/EmberWeapons/Skill_EmberWeaponLevelIUp.Skill_EmberWeaponLevelIUp_C",""
BloodDrinker,"120.000000","30.000000","(RowName=""RuptureBleedingTarget"")","5","(RowName=""HealthonHitBleeding"")","8","(RowName="""")","24","(RowName="""")","3","(RowName="""")","7","(RowName="""")","30","None","None","/Game/Skills/Blueprints/EmberWeapons/Skill_EmberWeaponLevelIUp.Skill_EmberWeaponLevelIUp_C",""
ClockworkStaff,"120.000000","30.000000","(RowName=""StatusEffect_ApplySlow"")","5","(RowName=""Affix_SlowOnCrit"")","8","(RowName=""Affix_DuplicateDuration"")","24","(RowName=""Skill_Give_Timesphere"")","3","(RowName=""Skill_Give_TemporalStaff"")","7","(RowName=""Skill_Give_Singularity"")","30","None","None","/Game/Skills/Blueprints/EmberWeapons/Skill_EmberWeaponLevelIUp.Skill_EmberWeaponLevelIUp_C",""
ColdHeartIceWall,"120.000000","30.000000","(RowName=""StatusEffect_Apply_Freeze_Unique"")","5","(RowName=""CriticalHit_Chance_vsFrozen"")","8","(RowName=""Thorns_vsChilled"")","24","(RowName=""Skill_Give_Glacier"")","3","(RowName=""Skill_Give_Icicles"")","7","(RowName=""Skill_Give_IceAge"")","30","None","None","/Game/Skills/Blueprints/EmberWeapons/Skill_EmberWeaponLevelIUp.Skill_EmberWeaponLevelIUp_C",""
Conduit,"120.000000","30.000000","(RowName="""")","5","(RowName="""")","8","(RowName="""")","5","(RowName=""Skill_Give_LocalizedStorm"")","3","(RowName="""")","7","(RowName="""")","30","None","None","/Game/Skills/Blueprints/EmberWeapons/Skill_EmberWeaponLevelIUp.Skill_EmberWeaponLevelIUp_C",""
CursedStaff,"120.000000","30.000000","(RowName=""Affix_ColdSickness_Summon"")","5","(RowName="""")","8","(RowName="""")","24","(RowName=""Affix_Give_ColdSickness"")","3","(RowName="""")","7","(RowName="""")","30","None","None","/Game/Skills/Blueprints/EmberWeapons/Skill_EmberWeaponLevelIUp.Skill_EmberWeaponLevelIUp_C",""
FireStriker,"120.000000","30.000000","(RowName=""Affix_FireStrikerMissiles"")","5","(RowName="""")","8","(RowName="""")","24","(RowName="""")","3","(RowName="""")","7","(RowName="""")","30","None","None","/Game/Skills/Blueprints/EmberWeapons/Skill_EmberWeaponLevelIUp.Skill_EmberWeaponLevelIUp_C",""
FlameTongue,"120.000000","30.000000","(RowName=""Affix_FlameTongue_Fear"")","5","(RowName="""")","8","(RowName="""")","24","(RowName=""Skill_Give_BurningExploding"")","3","(RowName="""")","7","(RowName="""")","30","None","None","/Game/Skills/Blueprints/EmberWeapons/Skill_EmberWeaponLevelIUp.Skill_EmberWeaponLevelIUp_C",""
FlamingDestroyer,"120.000000","30.000000","(RowName=""FlamingDestroyerAttackBonus"")","5","(RowName="""")","8","(RowName="""")","24","(RowName=""Skill_Give_FlamingDestroyer_SwordSmash"")","3","(RowName="""")","7","(RowName="""")","30","None","None","/Game/Skills/Blueprints/EmberWeapons/Skill_EmberWeaponLevelIUp.Skill_EmberWeaponLevelIUp_C",""
FlashFreeze,"120.000000","30.000000","(RowName=""FreezeWhenHit"")","5","(RowName=""AlwaysCritFrozenEnemies"")","8","(RowName="""")","24","(RowName="""")","3","(RowName="""")","7","(RowName="""")","30","None","None","/Game/Skills/Blueprints/EmberWeapons/Skill_EmberWeaponLevelIUp.Skill_EmberWeaponLevelIUp_C",""
PainandGain,"120.000000","30.000000","(RowName=""CriticalHit_Chance_vsStunned"")","5","(RowName=""HitPoints_OnKill"")","8","(RowName=""Affix_Give_BlockChance"")","24","(RowName=""Skill_Give_ShieldBash"")","3","(RowName=""Skill_Give_SpeedOnBlock"")","7","(RowName=""Skill_Give_VictoryPerformance"")","30","None","None","/Game/Skills/Blueprints/EmberWeapons/Skill_EmberWeaponLevelIUp.Skill_EmberWeaponLevelIUp_C",""
PlaguedOne,"120.000000","30.000000","(RowName=""Affix_Give_PoisonHazard"")","5","(RowName=""Affix_Give_PoisonOnKill"")","8","(RowName="""")","24","(RowName="""")","3","(RowName="""")","7","(RowName="""")","30","None","None","/Game/Skills/Blueprints/EmberWeapons/Skill_EmberWeaponLevelIUp.Skill_EmberWeaponLevelIUp_C",""
StaffofHolylFury,"120.000000","30.000000","(RowName=""Affix_LightningExplosionsOnHit"")","5","(RowName=""Affix_ShockBoltsOnKill"")","8","(RowName="""")","24","(RowName="""")","3","(RowName="""")","7","(RowName="""")","30","None","None","/Game/Skills/Blueprints/EmberWeapons/Skill_EmberWeaponLevelIUp.Skill_EmberWeaponLevelIUp_C",""
SwordoftheLostLegion,"120.000000","30.000000","(RowName=""Affix_Give_SkeletonHero"")","5","(RowName="""")","8","(RowName="""")","24","(RowName=""Skill_Give_SkeletonSummon"")","3","(RowName="""")","7","(RowName="""")","30","None","None","/Game/Skills/Blueprints/EmberWeapons/Skill_EmberWeaponLevelIUp.Skill_EmberWeaponLevelIUp_C",""
Thunderbuss,"120.000000","30.000000","(RowName=""Affix_Give_LightningStrikes"")","5","(RowName="""")","8","(RowName="""")","24","(RowName=""Skill_Give_LightningHit"")","3","(RowName="""")","7","(RowName="""")","30","None","None","/Game/Skills/Blueprints/EmberWeapons/Skill_EmberWeaponLevelIUp.Skill_EmberWeaponLevelIUp_C",""
UnboundBlade,"120.000000","30.000000","(RowName=""Affix_Give_MagicMissileOnSwing"")","5","(RowName="""")","8","(RowName="""")","24","(RowName=""Affix_SlowOnCrit"")","3","(RowName="""")","7","(RowName="""")","30","None","None","/Game/Skills/Blueprints/EmberWeapons/Skill_EmberWeaponLevelIUp.Skill_EmberWeaponLevelIUp_C",""
