---,TriggerType,TriggerEvent,TagFilter,EventNameParam,Trait,AccumulateRandomChance,TriggerSkill,CooldownTimeSeconds,Notes
AttackSpeedOnBlock,"Always","Block","(GameplayTags=)","None","ProcChance|AttackSpeedOnBlock","0.000000","/Game/Skills/Blueprints/EmberWeapons/ProcSkill_SpeedOnBlock.ProcSkill_SpeedOnBlock_C","0.000000",""
BlindOnBlock,"Random","Block","(GameplayTags=)","None","ProcChance|BlindOnBlock","0.000000","/Game/Skills/Blueprints/ProcSkill_BlindOnBlock.ProcSkill_BlindOnBlock_C","0.000000",""
ChillOnBlock,"Random","Block","(GameplayTags=)","None","ProcChance|ChillOnBlock","0.000000","/Game/Skills/Blueprints/Elements/ProcSkill_ChillOnBlock.ProcSkill_ChillOnBlock_C","0.000000",""
FearOnBlock,"Random","Block","(GameplayTags=)","None","ProcChance|FearOnBlock","0.000000","/Game/Skills/Blueprints/ProcSkill_FearOnBlock.ProcSkill_FearOnBlock_C","0.000000",""
AutoVent,"Always","ActiveTraitAtMax","(GameplayTags=)","ForgedHeat","AutoVentProc","0.000000","/Game/Skills/Blueprints/Forged/Skill_Forged_VentTrail.Skill_Forged_VentTrail_C","4.000000",""
Bleed,"Random","DoDamage","(GameplayTags=((TagName=""Element.Physical"")))","None","ElementalProcChance|Proc.Bleed","0.000000","/Game/Skills/Blueprints/Elements/ProcSkill_Bleed.ProcSkill_Bleed_C","0.000000",""
Blind,"Random","DoDamage","(GameplayTags=)","None","ElementalProcChance|Proc.Blind","0.000000","/Game/Skills/Blueprints/ProcSkill_Blind.ProcSkill_Blind_C","0.000000",""
Burn,"Random","DoDamage","(GameplayTags=((TagName=""Element.Fire"")))","None","ElementalProcChance|Proc.Burn","0.000000","/Game/Skills/Blueprints/Elements/ProcSkill_Burn.ProcSkill_Burn_C","0.000000",""
BurningExploding,"Random","DoDamage","(GameplayTags=)","None","ProcChance|BurningExploding","0.000000","/Game/Skills/Blueprints/EmberWeapons/Skill_Passive_BurningExploding.Skill_Passive_BurningExploding_C","1.000000",""
Chill,"Random","DoDamage","(GameplayTags=((TagName=""Element.Ice"")))","None","ElementalProcChance|Proc.Chill","0.000000","/Game/Skills/Blueprints/Elements/ProcSkill_Chill.ProcSkill_Chill_C","0.000000",""
DamageOnBlock,"Always","Block","(GameplayTags=)","None","ProcChance|AttackSpeedOnBlock","0.000000","/Game/Skills/Blueprints/GenericPassives/ProcSkill_DamageOnBlock.ProcSkill_DamageOnBlock_C","0.000000",""
