---,SkillClass,CharacterTag,Animation,AnimationOverride,MaximumSkillLevel,MinimumSkillLevel,GameplayTags,ExclusiveTags,RequiredSkillTab,RequiredPointsInSkillTab,TraitString,PerLevelDisplay,TraitCurve1,TraitCurve2,TraitCurve3,TraitCurve4,bCanNeverBeUnlocked,bHiddenBehindCheats,SkillPanelRow,SkillPanelColumn,TryStatusEffect,TryDuration,DefaultSkillSet,DefaultSkillSlot,Notes
DM_HolyBolt,"/Game/Skills/Blueprints/DuskMage/Skill_holybolt.Skill_holybolt_C","Character.Player.DuskMage","Default","None","20","0","(GameplayTags=((TagName=""Skill.DuskMage.Light""),(TagName=""Skill.Active"")))","(GameplayTags=)","(RowName="""")","0","DamagePctBySkillName|DM_HolyBolt=0.025;DamagePctBySkillTag|Skill.DuskMage.Dark=0.025","NSLOCTEXT(""SkillsTable"", ""964BEF0641FC317CD1D90D96A6DFDFBE"", ""{0} Holy Bolt damage\r\n{1} Dark skill damage"")","PerLevelByOnesStartWithOne","PerLevelByOnesStartWithOne","None","None","False","False","0","1","(RowName="""")","30.000000","Default","None",""
DM_UnholyBolt,"/Game/Skills/Blueprints/DuskMage/Skill_unholybolt.Skill_unholybolt_C","Character.Player.DuskMage","Default","None","20","0","(GameplayTags=((TagName=""Skill.DuskMage.Dark""),(TagName=""Skill.Active"")))","(GameplayTags=)","(RowName="""")","0","DamagePctBySkillName|DM_UnholyBolt=0.025;DamagePctBySkillTag|Skill.DuskMage.Light=0.025","NSLOCTEXT(""SkillsTable"", ""85CDD8BB4B3C8F5F55F7AF983FC1C7DF"", ""{0} Unholy Bolt damage\r\n{1} Light skill damage"")","PerLevelByOnesStartWithOne","PerLevelByOnesStartWithOne","None","None","False","False","0","2","(RowName="""")","30.000000","Default","None",""
DM_HolyFury,"/Game/Skills/Blueprints/DuskMage/Skill_HolyFury.Skill_HolyFury_C","Character.Player.DuskMage","Default","None","20","0","(GameplayTags=((TagName=""Skill.DuskMage.Light""),(TagName=""Skill.Active"")))","(GameplayTags=)","(RowName=""DM_Dark"")","1","EnergyCostPctBySkillName|DM_HolyFury=-0.025;EnergyCostPctBySkillTag|Skill.DuskMage.Dark=-0.0125","NSLOCTEXT(""SkillsTable"", ""636E2EC04DA3B401FDABE081A0F0A068"", ""{0} Holy Fury Mana cost\r\n{1} Dark skill Mana cost"")","PerLevelByOnesStartWithOne","PerLevelByOnesStartWithOne","None","None","False","False","1","0","(RowName=""TrySkill_DM_HolyFury"")","30.000000","Default","None",""
DM_LuminousRun,"/Game/Skills/Blueprints/DuskMage/Skill_LuminousRun.Skill_LuminousRun_C","Character.Player.DuskMage","Instant","None","20","0","(GameplayTags=((TagName=""Skill.DuskMage.Light""),(TagName=""Skill.Active"")))","(GameplayTags=)","(RowName=""DM_Dark"")","1","DurationPctBySkillName|DM_LuminousRun=0.05;DamagePctBySkillTag|Skill.EmberWeapon=0.01","NSLOCTEXT(""SkillsTable"", ""324D67E4410CC75DECEF5EA4E5685FE9"", ""{0} Luminous Run duration\r\n{1} Relic Weapon Damage"")","PerLevelByOnesStartWithOne","PerLevelByOnesStartWithOne","None","None","False","False","1","2","(RowName=""TrySkill_DM_LuminousRun"")","30.000000","Default","None",""
DM_Entropy,"/Game/Skills/Blueprints/DuskMage/Skill_Entropy.Skill_Entropy_C","Character.Player.DuskMage","Default","None","20","0","(GameplayTags=((TagName=""Skill.DuskMage.Dark""),(TagName=""Skill.Active"")))","(GameplayTags=)","(RowName=""DM_Light"")","1","EnergyCostPctBySkillName|DM_Entropy=-.025;CooldownPctBySkillTag|Skill.DuskMage.Light=-.01","NSLOCTEXT(""SkillsTable"", ""12474E4E428C91CC59C0E7856AB6154E"", ""{0} Entropy Mana Cost\r\n{1} Light Skill Cooldowns "")","PerLevelByOnesStartWithOne","PerLevelByOnesStartWithOne","None","None","False","False","1","2","(RowName=""TrySkill_DM_Entropy"")","30.000000","Default","None",""
DM_DarkSpears,"/Game/Skills/Blueprints/DuskMage/Skill_Darkspears.Skill_Darkspears_C","Character.Player.DuskMage","Default","None","20","0","(GameplayTags=((TagName=""Skill.DuskMage.Dark""),(TagName=""Skill.Active"")))","(GameplayTags=)","(RowName=""DM_Light"")","5","DurationPctBySkillName|DM_DarkSpears=0.05;EnergyCostPctBySkillTag|Skill.DuskMage.Light=-.01","NSLOCTEXT(""SkillsTable"", ""72BAE8A647672CFF6791B0970BF8DA1F"", ""{0} Dark Spears Duration\r\n{1} Light Skill Mana Costs"")","PerLevelByOnesStartWithOne","PerLevelByOnesStartWithOne","None","None","False","False","2","0","(RowName=""TrySkill_DM_DarkSpears"")","30.000000","Default","None",""
DM_Absolver,"/Game/Skills/Blueprints/DuskMage/Skill_Absolver.Skill_Absolver_C","Character.Player.DuskMage","Default","None","20","0","(GameplayTags=((TagName=""Skill.DuskMage.Light""),(TagName=""Skill.Active"")))","(GameplayTags=)","(RowName=""DM_Dark"")","5","DamagePctBySkillName|DM_Absolver=0.05;MiscBonusBySkillName|DM_Absolver=0.035","NSLOCTEXT(""SkillsTable"", ""8840C8BB4F292A9850467D824FCF8C39"", ""{0} Absolver damage\r\n{1} Dark Bar Charge gain"")","PerLevelByOnesStartWithOne","PerLevelByOnesStartWithOne","None","None","False","False","2","1","(RowName=""TrySkill_DM_Absolver"")","30.000000","Default","None",""
DM_ChaoticFury,"/Game/Skills/Blueprints/Skill_Placeholder.Skill_Placeholder_C","Character.Player.DuskMage","Default","None","20","0","(GameplayTags=((TagName=""Skill.DuskMage.Dark""),(TagName=""Skill.Active"")))","(GameplayTags=)","(RowName=""DM_Light"")","5","","","None","None","None","None","True","False","2","1","(RowName=""TrySkill_DM_DarkSpears"")","30.000000","Default","None",""
DM_RadiantBlast,"/Game/Skills/Blueprints/DuskMage/Skill_RadiantBlast.Skill_RadiantBlast_C","Character.Player.DuskMage","Default","None","20","0","(GameplayTags=((TagName=""Skill.DuskMage.Light""),(TagName=""Skill.Active"")))","(GameplayTags=)","(RowName=""DM_Dark"")","10","DamagePctBySkillName|DM_RadiantBlast=0.05;DurationPctBySkillName|DM_DarkSpears=0.0125","NSLOCTEXT(""SkillsTable"", ""44AE70534FF61AC5C0B778BBBB3D2A18"", ""{0} Radiant Blast damage\r\n{1} Dark Spears duration"")","PerLevelByOnesStartWithOne","PerLevelByOnesStartWithOne","None","None","False","False","3","0","(RowName=""TrySkill_DM_RadiantBlast"")","30.000000","Default","None",""
DM_SpiritWell,"/Game/Skills/Blueprints/DuskMage/Skill_SpiritWell.Skill_SpiritWell_C","Character.Player.DuskMage","Default","None","20","0","(GameplayTags=((TagName=""Skill.Active""),(TagName=""Skill.DuskMage.Dark"")))","(GameplayTags=)","(RowName=""DM_Light"")","10","DurationPctBySkillName|DM_SpiritWell=0.05;MiscBonusBySkillName|DM_SpiritWell=0.05","NSLOCTEXT(""SkillsTable"", ""5E772C984455874A60381D849959E893"", ""{0} Minion Duration\r\n{1} Dark Skill Buff Duration"")","PerLevelByOnesStartWithOne","PerLevelByOnesStartWithOne","None","None","False","False","3","2","(RowName=""TrySkill_DM_SpiritWell"")","30.000000","Default","None",""
