---,StatusEffectClass,Notes
Poisoned,"/Game/Skills/Blueprints/Elements/StatusEffect_Poisoned.StatusEffect_Poisoned_C",""
Burning,"/Game/Skills/Blueprints/Elements/StatusEffect_Burning.StatusEffect_Burning_C",""
Chilled,"/Game/Skills/Blueprints/Elements/StatusEffect_Chilled.StatusEffect_Chilled_C",""
Frozen,"/Game/Skills/Blueprints/Elements/StatusEffect_Frozen.StatusEffect_Frozen_C",""
Stun,"/Game/Skills/Blueprints/StatusEffects/StatusEffect_Stun.StatusEffect_Stun_C",""
Shocked,"/Game/Skills/Blueprints/Elements/StatusEffect_Shocked.StatusEffect_Shocked_C",""
Icicles,"/Game/Skills/Blueprints/StatusEffects/StatusEffect_Icicle.StatusEffect_Icicle_C",""
VoltBomberSelfDestruct,"/Game/Skills/Blueprints/Monsters/StatusEffect_VoltBomber_SelfDestructMode.StatusEffect_VoltBomber_SelfDestructMode_C",""
ShockedPlayer,"/Game/Skills/Blueprints/Elements/StatusEffect_Shocked_Player.StatusEffect_Shocked_Player_C",""
TrySkill_DM_DarkSpears,"/Game/Skills/Blueprints/TrySkillStatusEffects/TrySkill_DM_DarkSpears.TrySkill_DM_DarkSpears_C",""
TrySkill_DM_EnergySpike,"/Game/Skills/Blueprints/TrySkillStatusEffects/TrySkill_DM_EnergySpike.TrySkill_DM_EnergySpike_C",""
TrySkill_DM_LuminousRun,"/Game/Skills/Blueprints/TrySkillStatusEffects/TrySkill_DM_LuminousRun.TrySkill_DM_LuminousRun_C",""
TrySkill_DM_SpiritWell,"/Game/Skills/Blueprints/TrySkillStatusEffects/TrySkill_DM_SpiritWell.TrySkill_DM_SpiritWell_C",""
TrySkill_DM_RichHarvest,"/Game/Skills/Blueprints/TrySkillStatusEffects/TrySkill_DM_RichHarvest.TrySkill_DM_RichHarvest_C",""
TrySkill_DM_Consecration,"/Game/Skills/Blueprints/TrySkillStatusEffects/TrySkill_DM_Consecration.TrySkill_DM_Consecration_C",""
TrySkill_DM_Passive_UnlimitedPower,"/Game/Skills/Blueprints/TrySkillStatusEffects/TrySkill_DM_Passive_UnlimitedPower.TrySkill_DM_Passive_UnlimitedPower_C",""
TrySkill_DM_HolyFury,"/Game/Skills/Blueprints/TrySkillStatusEffects/TrySkill_DM_HolyFury.TrySkill_DM_HolyFury_C",""
TrySkill_DM_Entropy,"/Game/Skills/Blueprints/TrySkillStatusEffects/TrySkill_DM_Entropy.TrySkill_DM_Entropy_C",""
TrySkill_DM_Absolver,"/Game/Skills/Blueprints/TrySkillStatusEffects/TrySkill_DM_Absolver.TrySkill_DM_Absolver_C",""
TrySkill_DM_RadiantBlast,"/Game/Skills/Blueprints/TrySkillStatusEffects/TrySkill_DM_RadiantBlast.TrySkill_DM_RadiantBlast_C",""
TrySkill_Forged_LongBoreBarrel,"/Game/Skills/Blueprints/TrySkillStatusEffects/TrySkill_Forged_LongBoreBarrel.TrySkill_Forged_LongBoreBarrel_C",""
TrySkill_Forged_CycloneMode,"/Game/Skills/Blueprints/TrySkillStatusEffects/TrySkill_Forged_CycloneMode.TrySkill_Forged_CycloneMode_C",""
TrySkill_Forged_IncreasedVentilation,"/Game/Skills/Blueprints/TrySkillStatusEffects/TrySkill_Forged_IncreasedVentilation.TrySkill_Forged_IncreasedVentilation_C",""
TrySkill_Forged_PoisonDart,"/Game/Skills/Blueprints/TrySkillStatusEffects/TrySkill_Forged_PoisonDart.TrySkill_Forged_PoisonDart_C",""
TrySkill_Forged_RapidStrike,"/Game/Skills/Blueprints/TrySkillStatusEffects/TrySkill_Forged_RapidStrike.TrySkill_Forged_RapidStrike_C",""
TrySkill_Forged_ServoDrivenUppercut,"/Game/Skills/Blueprints/TrySkillStatusEffects/TrySkill_Forged_ServoDrivenUppercut.TrySkill_Forged_ServoDrivenUppercut_C",""
TrySkill_Forged_Passive_CycloneModeBonus,"/Game/Skills/Blueprints/TrySkillStatusEffects/TrySkill_Forged_Passive_CycloneModeBonus.TrySkill_Forged_Passive_CycloneModeBonus_C",""
TrySkill_Forged_Passive_RapidFireBoost,"/Game/Skills/Blueprints/TrySkillStatusEffects/TrySkill_Forged_Passive_RapidFireBoost.TrySkill_Forged_Passive_RapidFireBoost_C",""
TrySkill_Forged_ShotgonneShove,"/Game/Skills/Blueprints/TrySkillStatusEffects/TrySkill_Forged_ShotgonneShove.TrySkill_Forged_ShotgonneShove_C",""
TrySkill_Forged_RammingRobot,"/Game/Skills/Blueprints/TrySkillStatusEffects/TrySkill_Forged_RammingRobot.TrySkill_Forged_RammingRobot_C",""
TrySkill_Forged_RocketBarrage,"/Game/Skills/Blueprints/TrySkillStatusEffects/TrySkill_Forged_RocketBarrage.TrySkill_Forged_RocketBarrage_C",""
TrySkill_Forged_ShotgonneBlast,"/Game/Skills/Blueprints/TrySkillStatusEffects/TrySkill_Forged_ShotgonneBlast.TrySkill_Forged_ShotgonneBlast_C",""
TrySkill_Forged_SlugShot,"/Game/Skills/Blueprints/TrySkillStatusEffects/TrySkill_Forged_SlugShot.TrySkill_Forged_SlugShot_C",""
TrySkill_RM_RearCar_MortarTurret,"/Game/Skills/Blueprints/TrySkillStatusEffects/TrySkill_RM_RearCar_MortarTurret.TrySkill_RM_RearCar_MortarTurret_C",""
TrySkill_RM_BlastingCharge,"/Game/Skills/Blueprints/TrySkillStatusEffects/TrySkill_RM_BlastingCharge.TrySkill_RM_BlastingCharge_C",""
TrySkill_RM_GhostTrain,"/Game/Skills/Blueprints/TrySkillStatusEffects/TrySkill_RM_GhostTrain.TrySkill_RM_GhostTrain_C",""
TrySkill_RM_HammerSpin,"/Game/Skills/Blueprints/TrySkillStatusEffects/TrySkill_RM_HammerSpin.TrySkill_RM_HammerSpin_C",""
TrySkill_RM_SpikeThrow,"/Game/Skills/Blueprints/TrySkillStatusEffects/TrySkill_RM_SpikeThrow.TrySkill_RM_SpikeThrow_C",""
TrySkill_RM_MiddleCar_Shield,"/Game/Skills/Blueprints/TrySkillStatusEffects/TrySkill_RM_MiddleCar_Shield.TrySkill_RM_MiddleCar_Shield_C",""
TrySkill_Skill_Sharpshooter_TargetedStrikes,"/Game/Skills/Blueprints/TrySkillStatusEffects/TrySkill_Skill_Sharpshooter_TargetedStrikes.TrySkill_Skill_Sharpshooter_TargetedStrikes_C",""
TrySkill_Skill_Passive_BodyBlock,"/Game/Skills/Blueprints/TrySkillStatusEffects/TrySkill_Skill_Passive_BodyBlock.TrySkill_Skill_Passive_BodyBlock_C",""
