---,TwoCC,TraitType,ParamTagParents,ValueMin,ValueMax,ParamType,bShouldPersist,bPerAccount,bIsCombatTrait,Notes
StunResistance,"AX","Value","(GameplayTags=)","","","None","True","False","False","% reduction in stun duration. 1 means immune to stun. Can be negative."
AttackSpeedBonusMult,"BV","Value","(GameplayTags=((TagName=""Skill"")))","","","GameplayTag","True","False","False",""
BlockChance,"CF","Value","(GameplayTags=)","","0.4","None","True","False","False",""
ClassSkillObjectLevel,"BP","Value","(GameplayTags=((TagName=""Character.Player"")))","","","GameplayTag","True","False","False","Overall level of the player's fort"
CooldownPctBySkillName,"DL","Value","(GameplayTags=)","","","Skill","True","False","True","Cyclone is 10% faster"
CooldownPctBySkillTag,"DM","Value","(GameplayTags=((TagName=""Skill"")))","","","GameplayTag","True","False","True","Melee skills are 10% faster"
CriticalDamageBonus,"BX","Value","(GameplayTags=)","","","None","True","False","True",""
CriticalDamageBonusVs,"CQ","Value","(GameplayTags=((TagName=""StatusEffect""),(TagName=""Character"")))","","","GameplayTag","True","False","True",""
CriticalHitChance,"BW","Value","(GameplayTags=)","","","None","True","False","True",""
CriticalHitChanceVs,"CP","Value","(GameplayTags=((TagName=""StatusEffect""),(TagName=""Character.Monster"")))","","","GameplayTag","True","False","True",""
Currency,"BR","Value","(GameplayTags=)","","","Currency","True","False","False","How much of a currency the player has. Parameter is a row from the CraftingResource table."
Damage,"AB","BaseWithMult","(GameplayTags=((TagName=""Element"")))","","","GameplayTag","True","False","True","Base damage number that is then converted into different elements by DamagePctAsElement.  The only non-percent-based damage number"
DamageOverTime,"BI","Value","(GameplayTags=((TagName=""Element"")))","0","","GameplayTag","True","False","True",""
DamagePctByElement,"AN","Value","(GameplayTags=((TagName=""Element"")))","","","GameplayTag","True","False","True","50% damage as fire.  Monsters and Players currently hardcoded to 100% as physical."
DamageVsTarget,"CB","Value","(GameplayTags=((TagName=""Character.Monster"")))","0","","GameplayTag","True","False","True","+10 damage vs goblins"
DamagePctBySkillName,"EN","Value","(GameplayTags=)","","","Skill","True","False","True","This is for skill bonus by name +% Cyclone"
DamagePctBySkillTag,"DK","Value","(GameplayTags=((TagName=""Skill""),(TagName=""Item.Weapon"")))","","","GameplayTag","True","False","True","This is for skill bonus damage +% Melee skills"
DarkChargeBar,"BF","ActiveTrait","(GameplayTags=)","0","100","None","True","False","False","The Dusk Mage's charge bar for Dark"
Defense,"BL","BaseWithMult","(GameplayTags=)","","","None","True","False","False","+10 Defense - Applied in all situation to the Attack/Defense damage factor"
DefenseVsElementalProcDuration,"CK","Value","(GameplayTags=((TagName=""Proc"")))","0","","GameplayTag","True","False","False","When hit by an elemental effect, it is subtracted from the duration"
DefenseVsSource,"AU","Value","(GameplayTags=((TagName=""Character"")))","","","GameplayTag","True","False","False","+10 Defense vs Goblins - added to DefenseVsElement"
DefenseVsElement,"AO","BaseWithMult","(GameplayTags=((TagName=""Element"")))","","","GameplayTag","True","False","False","+10 Defense vs Fire - added to DefenseVsSource"
DestroyDeadDisabled,"EA","Value","(GameplayTags=)","0","1","None","False","False","False","Monster will never start the timer to be destroyed after death"
EmberWeaponAttackBonusUnlock,"ZZ","Value","(GameplayTags=)","0","","None","True","False","False","Unlocks a benefit on ember weapon basic attack."
ElementalProcChance,"BS","Proc","(GameplayTags=((TagName=""Proc"")))","","1","GameplayTag","True","False","True",""
ElementalProcCount,"BY","Value","(GameplayTags=((TagName=""Proc"")))","","","GameplayTag","True","False","True",""
ElementalProcDamage,"BU","Value","(GameplayTags=((TagName=""Proc"")))","","","GameplayTag","True","False","True",""
ElementalProcDuration,"BT","Value","(GameplayTags=((TagName=""Proc"")))","","","GameplayTag","True","False","True",""
Energy,"AC","ActiveTrait","(GameplayTags=)","","","None","True","False","False",""
EnergyCostPctBySkillName,"DN","Value","(GameplayTags=)","","","Skill","True","False","True","Cyclone cost 10% less energy"
EnergyCostPctBySkillTag,"DO","Value","(GameplayTags=((TagName=""Skill"")))","","","GameplayTag","True","False","True","Melee skills cost 10% less energy"
Experience,"CN","Value","(GameplayTags=)","","","None","False","False","False","Current experience value"
