---,DisplayName,bSave,bStartingPet,bIgnoreSpawnCollision,MinionOffset,MinionScaleMultiplier,Description,DefaultSkill,MinionClass,CharacterCreateMinionClass,Hitpoints,Damage,MinionGameplayTags,MinionTypeGameplayTag,TraitString1,TraitString2,TraitString3,TraitString4,TraitString5,Notes
Alpaca01,"NSLOCTEXT(""MinionsTable"", ""2BE78A974A5BB8070F717099C35A5FF0"", ""White Alpaca"")","True","True","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName=""Pet_Melee"")","/Game/Monsters/petalpaca/petalpaca_01.petalpaca_01_C","None","3.000000","0.500000","Character.Minion.Pet","None","PetSellItemsTime=120;PetRecoverTime=120","Immortal=1","","","",""
Alpaca02,"NSLOCTEXT(""MinionsTable"", ""8CD740C6413C857A33A127BF4F8F79D1"", ""Golden Alpaca"")","True","True","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName=""Pet_Melee"")","/Game/Monsters/petalpaca/petalpaca_02.petalpaca_02_C","None","3.000000","0.500000","Character.Minion.Pet","None","PetSellItemsTime=120;PetRecoverTime=120","Immortal=1","","","",""
Alpaca03,"NSLOCTEXT(""MinionsTable"", ""B36C5EDE496DA6E22AE85F8BF25AE039"", ""Chocolate Alpaca"")","True","True","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName=""Pet_Melee"")","/Game/Monsters/petalpaca/petalpaca_03.petalpaca_03_C","None","3.000000","0.500000","Character.Minion.Pet","None","PetSellItemsTime=120;PetRecoverTime=120","Immortal=1","","","",""
Dragonling01,"NSLOCTEXT(""MinionsTable"", ""106428A744AA74991C72BCA99C319560"", ""Red Dragonling"")","True","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName=""Pet_Melee"")","/Game/Monsters/petdragonling/petdragonling_01.petdragonling_01_C","None","3.000000","0.500000","Character.Minion.Pet","None","PetSellItemsTime=120;PetRecoverTime=120","Immortal=1","","","",""
Dragonling02,"NSLOCTEXT(""MinionsTable"", ""4CAC93C040AE9F348F2B619C42406097"", ""Teal Dragonling"")","True","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName=""Pet_Melee"")","/Game/Monsters/petdragonling/petdragonling_02.petdragonling_02_C","None","3.000000","0.500000","Character.Minion.Pet","None","PetSellItemsTime=120;PetRecoverTime=120","Immortal=1","","","",""
Dragonling03,"NSLOCTEXT(""MinionsTable"", ""D4B82E1E40930A757BBC1581BB7F5821"", ""Purple Dragonling"")","True","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName=""Pet_Melee"")","/Game/Monsters/petdragonling/petdragonling_03.petdragonling_03_C","None","3.000000","0.500000","Character.Minion.Pet","None","PetSellItemsTime=120;PetRecoverTime=120","Immortal=1","","","",""
Owl01,"NSLOCTEXT(""MinionsTable"", ""545DBEC0401E836388172A90FCD75D35"", ""Red Owl"")","True","True","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName=""Pet_Melee"")","/Game/Monsters/petowl/petowl_01.petowl_01_C","None","3.000000","0.500000","Character.Minion.Pet","None","PetSellItemsTime=120;PetRecoverTime=120","Immortal=1","","","",""
Owl02,"NSLOCTEXT(""MinionsTable"", ""45CAD30C449DDA36EA89D18405B75B08"", ""Golden Owl"")","True","True","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName=""Pet_Melee"")","/Game/Monsters/petowl/petowl_02.petowl_02_C","None","3.000000","0.500000","Character.Minion.Pet","None","PetSellItemsTime=120;PetRecoverTime=120","Immortal=1","","","",""
Owl03,"NSLOCTEXT(""MinionsTable"", ""ACCCE2734EA6FA2396F08D8153862CEC"", ""Teal Owl"")","True","True","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName=""Pet_Melee"")","/Game/Monsters/petowl/petowl_03.petowl_03_C","None","3.000000","0.500000","Character.Minion.Pet","None","PetSellItemsTime=120;PetRecoverTime=120","Immortal=1","","","",""
Retriever01,"NSLOCTEXT(""MinionsTable"", ""FAC1767846828BC52DB20B92F7BF7286"", ""Golden Retriever"")","True","True","True","(X=-200.000000,Y=300.000000,Z=0.000000)","1.000000","","(RowName=""Pet_Melee"")","/Game/Monsters/petretriever/petretriever_01.petretriever_01_C","None","3.000000","0.500000","Character.Minion.Pet","None","PetSellItemsTime=120;PetRecoverTime=120","Immortal=1","","","",""
Retriever02,"NSLOCTEXT(""MinionsTable"", ""2D5253A1432FECDE670FC4ADEE3C2B55"", ""Chocolate Retriever"")","True","True","True","(X=-200.000000,Y=300.000000,Z=0.000000)","1.000000","","(RowName=""Pet_Melee"")","/Game/Monsters/petretriever/petretriever_02.petretriever_02_C","None","3.000000","0.500000","Character.Minion.Pet","None","PetSellItemsTime=120;PetRecoverTime=120","Immortal=1","","","",""
Retriever03,"NSLOCTEXT(""MinionsTable"", ""88A5DCC94439FB83637DCC98D2A81137"", ""Silver Retriever"")","True","True","True","(X=-200.000000,Y=300.000000,Z=0.000000)","1.000000","","(RowName=""Pet_Melee"")","/Game/Monsters/petretriever/petretriever_03.petretriever_03_C","None","3.000000","0.500000","Character.Minion.Pet","None","PetSellItemsTime=120;PetRecoverTime=120","Immortal=1","","","",""
Wolf01,"NSLOCTEXT(""MinionsTable"", ""3558568E46D8051BBA1D28B1DABE2E99"", ""Brown Wolf"")","True","False","True","(X=-200.000000,Y=300.000000,Z=0.000000)","1.300000","","(RowName=""Pet_Melee"")","/Game/Monsters/petwolf/petwolf_01.petwolf_01_C","None","3.000000","0.500000","Character.Minion.Pet","None","PetSellItemsTime=120;PetRecoverTime=120","Immortal=1","","","",""
Wolf02,"NSLOCTEXT(""MinionsTable"", ""2D608751434018A27DB2609B8159E590"", ""White Wolf"")","True","False","True","(X=-200.000000,Y=300.000000,Z=0.000000)","1.300000","","(RowName=""Pet_Melee"")","/Game/Monsters/petwolf/petwolf_02.petwolf_02_C","None","3.000000","0.500000","Character.Minion.Pet","None","PetSellItemsTime=120;PetRecoverTime=120","Immortal=1","","","",""
Wolf03,"NSLOCTEXT(""MinionsTable"", ""37D13AFE4AF9C005E4E71DAAC17F5D03"", ""Grey Wolf"")","True","False","True","(X=-200.000000,Y=300.000000,Z=0.000000)","1.300000","","(RowName=""Pet_Melee"")","/Game/Monsters/petwolf/petwolf_03.petwolf_03_C","None","3.000000","0.500000","Character.Minion.Pet","None","PetSellItemsTime=120;PetRecoverTime=120","Immortal=1","","","",""
Wolf04,"NSLOCTEXT(""MinionsTable"", ""A6AB2AB84BF717B634AFD9B3AB7EDE15"", ""Alpha Wolf"")","True","False","True","(X=-200.000000,Y=300.000000,Z=0.000000)","1.300000","","(RowName=""Pet_Melee"")","/Game/Monsters/petwolf/petwolf_01_alpha_bp.petwolf_01_alpha_bp_C","None","3.000000","0.500000","Character.Minion.Pet","None","PetSellItemsTime=120;PetRecoverTime=120","Immortal=1","","","",""
RailmanTurret,"","False","False","False","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Monsters/rmturrett1a/Railman_Turret_Actor1a.Railman_Turret_Actor1a_C","None","0.000000","0.500000","Character.Minion.Turret","None","","","","","",""
RailmanTrackBuffer,"","False","False","False","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Skills/Blueprints/Railman/RailmanTrackBuffer.RailmanTrackBuffer_C","None","0.000000","0.000000","Character.Minion.Track","None","","","","","",""
mountbuffalope,"","False","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Monsters/mountbuffalope/mountbuffalope.mountbuffalope_C","None","1.000000","1.000000","Character.Minion.Pet","None","","","","","",""
DuskMageSpiritWell,"NSLOCTEXT(""MinionsTable"", ""2A68BD024762380B7C3DF99B1ED7B7B1"", ""Spirit Well"")","False","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Skills/Blueprints/DuskMage/SpiritWellSummoner.SpiritWellSummoner_C","None","0.250000","1.000000","Character.Minion.SpiritWell","None","","","","","",""
DuskMageSpiritSummon,"NSLOCTEXT(""MinionsTable"", ""ACF15E2744640ED5F8147CB10CBC8E7A"", ""Soulless"")","False","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Monsters/prototypes/spiritwell_minion/SpiritWellMinion.SpiritWellMinion_C","None","0.250000","0.600000","Character.Minion.SpiritSummon","None","","","","","",""
EnergySpikeMinion,"NSLOCTEXT(""MinionsTable"", ""B250554D444FBFF0EC9502A482C53639"", ""Soulless"")","False","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Monsters/prototypes/spiritwell_minion/EnergySpikeMinion.EnergySpikeMinion_C","None","0.250000","0.250000","Character.Minion.EnergySpike","None","","","","","",""
RailmasterFreightCar,"","False","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Monsters/rmturrett1a/Railman_FreightCar_Actor.Railman_FreightCar_Actor_C","None","0.000000","0.000000","Character.Minion.Turret","None","","","","","",""
RailmasterCabooseCar,"","False","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Monsters/rmturrett1a/Railman_CabooseCar_Actor.Railman_CabooseCar_Actor_C","None","0.000000","0.000000","Character.Minion.Turret","None","","","","","",""
RailmasterTurretCar,"","False","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Monsters/rmturrett1a/Railman_Turret_Follow_Actor.Railman_Turret_Follow_Actor_C","None","0.000000","0.500000","Character.Minion.Turret","None","","","","","",""
RailmasterMortarTurret,"","False","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Monsters/rmturrett1a/Railman_MortarCar_Actor.Railman_MortarCar_Actor_C","None","0.000000","0.500000","Character.Minion.Turret","None","","","","","",""
LostLegion,"NSLOCTEXT(""MinionsTable"", ""8E0A71D7455A6570515D46AD1EAD923F"", ""Lost Legion"")","False","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Monsters/skeleton/Skeleton_01_melee_friendly_ghostly_b.Skeleton_01_melee_friendly_ghostly_b_C","None","0.350000","0.800000","Character.Minion.LostLegion","None","","","","","",""
LostLegionHero,"NSLOCTEXT(""MinionsTable"", ""28568C004626A0374D3B40A0CB1251D4"", ""Lost Legion Hero"")","False","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Monsters/skeleton/skeleton_shield_ghost_minion.skeleton_shield_ghost_minion_C","None","0.750000","1.000000","Character.Minion.LostLegionHero","None","","","","","",""
ColdSicknessMinion,"NSLOCTEXT(""MinionsTable"", ""CDDBD0B54E5FF0F6257F3ABD01453742"", ""Cold Sickness Minion"")","False","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Monsters/prototypes/spiritwell_minion/ColdSicknessMinion.ColdSicknessMinion_C","None","0.250000","0.250000","Character.Minion.ColdSickness","None","","","","","",""
InfestedLarvae,"NSLOCTEXT(""MinionsTable"", ""240A081948D7ED2419447DA5700F47BD"", ""Hyvid Larva"")","False","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Monsters/vsplarvae/vsplarvae_minion_bp.vsplarvae_minion_bp_C","None","0.250000","0.250000","Character.Minion.InfestedLarvae","None","","","","","",""
EggGuard,"NSLOCTEXT(""MinionsTable"", ""36AC0678476372032894FD871B759635"", ""Egg Guard"")","False","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Monsters/vspsoldier/vspeggguard_b.vspeggguard_b_C","None","1.000000","0.250000","Character.Minion.EggGuard","None","","","","","",""
Spellbreaker_Netherling,"NSLOCTEXT(""MinionsTable"", ""4F0C611041081C309A95F7845F150B70"", ""Netherling"")","False","False","True","(X=-450.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Monsters/netherling/netherling_minion_b.netherling_minion_b_C","None","0.115000","0.500000","Character.Minion.Netherling","None","","","","","",""
