---,Category,Description,bSupported,ItemTableRowHandle,FortPropTableRowHandle,RecipeName,MailboxFrom,MailboxBody,PurchaseDetails,RotationGroup,RealMoneyCost,PurchaseLimit,Notes
Vendor_Buy_Wolf_Brown,"(TagName=""Store.Vendor"")","Vendor_Buy_Wolf_Brown","True","(RowName="""")","(RowName="""")","Vendor_Buy_Wolf_Brown","","","","(RowName="""")","0","0",""
Vendor_Buy_Potion_Health,"(TagName=""Store.Vendor"")","","True","(RowName=""Potion_Health"")","(RowName="""")","Vendor_Buy_Potion","","","","(RowName="""")","0","0",""
Vendor_Buy_Potion_Poison,"(TagName=""Store.Vendor"")","","True","(RowName=""Potion_Poison"")","(RowName="""")","Vendor_Buy_Potion_Poison","","","","(RowName="""")","0","0",""
Vendor_Buy_Digitus_Normal_Newbie,"(TagName=""Store.Vendor"")","","True","(RowName=""Weapon_Global_Digitus_Normal_Newbie_01"")","(RowName="""")","Vendor_Buy_Digitus_Normal_Newbie","","","","(RowName="""")","0","0",""
Vendor_Buy_Focus_Normal_Newbie,"(TagName=""Store.Vendor"")","","True","(RowName=""Weapon_Global_Focus_Normal_Newbie_01"")","(RowName="""")","Vendor_Buy_Focus_Normal_Newbie","","","","(RowName="""")","0","0",""
Vendor_Buy_Shield_Normal_Newbie,"(TagName=""Store.Vendor"")","","True","(RowName=""Weapon_Global_Shield_Normal_Newbie_01"")","(RowName="""")","Vendor_Buy_Shield_Normal_Newbie","","","","(RowName="""")","0","0",""
Vendor_Buy_Sword_Normal_Newbie,"(TagName=""Store.Vendor"")","","True","(RowName=""Weapon_Global_Sword_Normal_Newbie_01"")","(RowName="""")","Vendor_Buy_Sword_Normal_Newbie","","","","(RowName="""")","0","0",""
Storage_RelicSlot,"(TagName=""Store.Static"")","Storage_RelicSlot","True","(RowName="""")","(RowName="""")","Store_RelicStorageSlot","","","NSLOCTEXT(""CatalogTable"", ""61D3746C47D100CBE9378EA352FA2D13"", ""Two additional storage slots for your Reliquary"")","(RowName="""")","0","0",""
Storage_StashTab,"(TagName=""Store.Static"")","Storage_StashTab","True","(RowName="""")","(RowName="""")","Store_StashTab","","","NSLOCTEXT(""CatalogTable"", ""D49DC87B49C167388CA3E29457F474B9"", ""An additonal storage tab for your Shared Stash"")","(RowName="""")","0","0",""
Relic_Bane,"(TagName=""Store.Rotator.Top"")","Relic_Bane","True","(RowName=""Weapon_Global_Staff_Unique_Poison_01"")","(RowName="""")","Store_RelicStorageSlot","","","NSLOCTEXT(""CatalogTable"", ""F9C8C0774DBAF54E5F68D4994764D473"", ""Includes a free Relic Storage Slot with purchase"")","(RowName="""")","0","0",""
Relic_BloodDrinker,"(TagName=""Store.Rotator.Top"")","Relic_Blood Drinker","True","(RowName=""Weapon_Global_Sword_Unique_Physical_01"")","(RowName="""")","Store_RelicStorageSlot","NSLOCTEXT(""CatalogTable"", ""0729D6294DBF459622A385A178D25146"", ""Algamash"")","NSLOCTEXT(""CatalogTable"", ""91D1C24744557717A8F9F28DA746E316"", ""It is not often that someone requests an item such as this.  Beware the powers within this sword.  Although it may slay many and provide healing, it will be hard to put down."")","NSLOCTEXT(""CatalogTable"", ""823776854D928CD401D27A85D716EA42"", ""Includes a free Relic Storage Slot with purchase"")","(RowName="""")","0","0",""
Relic_FlamingDestroyer,"(TagName=""Store.Rotator.Top"")","Relic_FlamingDestroyer","True","(RowName=""Weapon_Global_Sword_Unique_Fire_01"")","(RowName="""")","Store_RelicStorageSlot","","","NSLOCTEXT(""CatalogTable"", ""DD8817744830FD12DFA4DC9CB13C21B9"", ""Includes a free Relic Storage Slot with purchase"")","(RowName="""")","0","0",""
EmberCore_Bane,"(TagName=""Store.Rotator.Bottom"")","EmberCore_Bane","True","(RowName=""EmberCore_Bane"")","(RowName="""")","None","","","","(RowName="""")","0","0",""
EmberCore_BloodDrinker,"(TagName=""Store.Rotator.Bottom"")","EmberCore_BloodDrinker","True","(RowName=""EmberCore_BloodDrinker"")","(RowName="""")","None","","","","(RowName="""")","0","0",""
EmberCore_FlamingDestroyer,"(TagName=""Store.Rotator.Bottom"")","EmberCore_FlamingDestroyer","True","(RowName=""EmberCore_FlamingDestroyer"")","(RowName="""")","None","","","","(RowName="""")","0","0",""
