---,Speakers,Type,Text,Voiceover,ContextType1,ContextParam1,ContextType2,ContextParam2,ContextType3,ContextParam3,Weight,ContextEntries,bDefaultSet,Notes
Quest_DemoFinish,"((RowName=""GeneralGraye_DenOfEvil""))","Quest","NSLOCTEXT(""DialogueTable"", ""8639D5294C1AFE5A10379488D8D9CB68"", ""This stinking hole is full of goblins that raided our forward camp.\r\n\r\nThe gobs are led by some big goblin boss named \""Wideload.\""\r\nGet in there and make him pay!"")","(AssetGuid=35F42952D3F94782B31536241E1BE043)","None","None","None","None","None","None","1","","True",""
Quest_DemoStart:Task_TurnIn,"((RowName=""GeneralGraye_DenOfEvil""))","Quest","NSLOCTEXT(""DialogueTable"", ""7F50FDEF477B8C5B98DEB0A5F6A1423F"", ""Well done. That\'s a good choice of gear. You look much more capable."")","(AssetGuid=35F42952D3F94782B31536241E1BE043)","None","None","None","None","None","None","1","","True",""
Quest_DemoStart:Task_Talk,"((RowName=""GeneralGraye_Demo""))","Quest","NSLOCTEXT(""DialogueTable"", ""0090B2E142E9DC39928D2A9993B324D5"", ""Welcome, adventurer! You\'re here just in time.\r\n\r\nWe\'re recovering from a goblin raid — they slaughtered our soldiers and stole our gear.\r\n\r\nKill those goblins, gear up with what you find and meet me outside the Den of Upheaval.\r\n\r\nWe don\'t have much time. Go!"")","(AssetGuid=35F42952D3F94782B31536241E1BE043)","None","None","None","None","None","None","1","","True",""
Default_GeneralGrayeDoSE_Quip5,"((RowName=""GeneralGraye_DenOfEvil""))","Bubble","NSLOCTEXT(""DialogueTable"", ""F07B875A4DE434309AE96BA6A0354E1A"", ""Hi, can I help you with something?"")","(AssetGuid=35F42952D3F94782B31536241E1BE043)","None","None","None","None","None","None","1","","True",""
PLACEHOLDER_Guard,"((RowName=""Guard""))","Modal","NSLOCTEXT(""DialogueTable"", ""5CCF13A34922A4480F95508BE0017D27"", ""Why don\'t I ever get patrol duty?"")","(AssetGuid=DE5BA51EF5294D2F8B0473C2E28698A4)","None","None","None","None","None","None","1","","True",""
PLACEHOLDER_Guard_CollectArmorSet,"((RowName=""Guard""))","Modal","NSLOCTEXT(""DialogueTable"", ""81FD943F44DD95AEDA1F75A9CD34748F"", ""Going after the greenskins, are you?\r\n\r\nI don\'t envy you. Our corporal was part of the spelunking division - says there\'s one out there who enjoys making flatcakes out of human flesh."")","(AssetGuid=DE5BA51EF5294D2F8B0473C2E28698A4)","QuestActive","Quest_CollectArmorSet","None","None","None","None","1","","True",""
Quest_Fort_InitialCollection,"((RowName=""GeneralGraye""),(RowName=""GeneralGraye_DenOfEvil""))","Quest","NSLOCTEXT(""DialogueTable"", ""F0F311FB49A4497C83ADE5B4BE916DA4"", ""I\'ve heard you\'re making some good progress out there. You\'ll make even more progress if you gain some new skills.\r\n\r\nSlay the monsters that live in the woods, collect <span color=\""#FFD700\"">Skill Points</> and <span color=\""#FFD700\"">Gold</>. You\'ll need them to upgrade your <span color=\""#FFD700\"">Skill Station</>.\r\n\r\nWe\'ll speak again when the tasks are finished."")","(AssetGuid=35F42952D3F94782B31536241E1BE043)","None","None","None","None","None","None","1","","True",""
Quest_Fort_InitialCollection:Task_TurnIn,"((RowName=""GeneralGraye""),(RowName=""GeneralGraye_DenOfEvil""))","Quest","NSLOCTEXT(""DialogueTable"", ""F3B0155A4B515D6BB265499888784F96"", ""The resources you gathered will be useful to establish yourself in your new fort.\r\n\r\nI feel like you\'re ready for the next step…"")","(AssetGuid=35F42952D3F94782B31536241E1BE043)","None","None","None","None","None","None","1","","True",""
Quest_Fort_UpgradeFort,"((RowName=""GeneralGraye""))","Quest","NSLOCTEXT(""DialogueTable"", ""A20C42574930D315325CED86521EEDF0"", ""Pass through the <span color=\""#FFD700\"">portal</> here in town and go to your <span color=\""#FFD700\"">fort</>. There you\'ll meet with an <span color=\""#FFD700\"">Imperial liason</> and learn how to advance your skills as you make your new home your own."")","(AssetGuid=35F42952D3F94782B31536241E1BE043)","None","None","None","None","None","None","1","","True",""
Quest_Fort_UpgradeFort:Talk_InteractSgtKlive,"((RowName=""SgtKlive""))","Quest","NSLOCTEXT(""DialogueTable"", ""CDAA86B44284E2B31609308BF76FC523"", ""Oh, great, our \""mighty\"" hero arrives. Here\'s your fort — such as it is. As per our agreement according to the Frontiers accord, this fort is yours to do with as you choose.\r\n\r\nYou\'ll want to take my advice though: you\'ll need a <span color=\""#FFD700\"">Skill Station</> to focus on improving your skills. You\'ll need to keep improving yourself to survive in the frontiers."")","(AssetGuid=4DB097D67FAE48BABAAE2B16BBA260A1)","None","None","None","None","None","None","1","","True",""
