---,DisplayName,Type,Dye,SkinHairGradient,MinLevel,MaxLevel,DropWeight,AreaTags,Notes
IconicDM,"NSLOCTEXT(""DyeTable"", ""62C4C372471F881BC289C497770DEBC6"", ""Iconic DM"")","GearDye","/Game/Items/Dyes/Dye_IconicDM.Dye_IconicDM_C","None","0.000000","0.000000","0","None",""
IconicRM,"NSLOCTEXT(""DyeTable"", ""2B9248114E3D8CB76D96A98AC7A2BC6E"", ""Iconic RM"")","GearDye","/Game/Items/Dyes/Dye_IconicRM.Dye_IconicRM_C","None","0.000000","0.000000","0","None",""
IconicForged,"NSLOCTEXT(""DyeTable"", ""A09B6C184AC0AC255B2A20B1A5611CEB"", ""Iconic Forged"")","GearDye","/Game/Items/Dyes/Dye_IconicForged.Dye_IconicForged_C","None","0.000000","0.000000","0","None",""
Undies,"NSLOCTEXT(""DyeTable"", ""768604144CAADE615F0070ABD57A3116"", ""Undies"")","GearDye","/Game/Items/Dyes/Dye_Undies.Dye_Undies_C","None","0.000000","0.000000","0","None",""
Rags,"NSLOCTEXT(""DyeTable"", ""85951E664202D0DFBACF7F93DF47E8EB"", ""Rags"")","GearDye","/Game/Items/Dyes/Dye_Rags.Dye_Rags_C","None","0.000000","0.000000","0","None",""
ViridianDirt,"NSLOCTEXT(""DyeTable"", ""195D6343417A6D9B10D324BA213F6F3A"", ""Viridian Dirt"")","GearDye","/Game/Items/Dyes/Dye_ViridianDirt.Dye_ViridianDirt_C","None","1.000000","4.000000","1000","Region.Global",""
SageOcher,"NSLOCTEXT(""DyeTable"", ""288D6094479C9280A5C7D580CEED68B2"", ""Sage Ocher"")","GearDye","/Game/Items/Dyes/Dye_SageOcher.Dye_SageOcher_C","None","1.000000","4.000000","1000","Region.GoblinIsle.GoblinForest",""
RobinsNest,"NSLOCTEXT(""DyeTable"", ""BEDF941844C8778F442C8094B0E8485E"", ""Robins Nest"")","GearDye","/Game/Items/Dyes/Dye_RobinsNest.Dye_RobinsNest_C","None","5.000000","8.000000","1000","Region.Global",""
Caramel,"NSLOCTEXT(""DyeTable"", ""6B8D2E8842CC3BD74D123BB1DC3BD0DD"", ""Caramel"")","GearDye","/Game/Items/Dyes/Dye_Caramel.Dye_Caramel_C","None","5.000000","8.000000","1000","Region.GoblinIsle.GoblinForest",""
WoodlandGreen,"NSLOCTEXT(""DyeTable"", ""3389A3A74A4AE1DDBE236C990F6B462F"", ""Woodland Green"")","GearDye","/Game/Items/Dyes/Dye_Woodland_Green.Dye_Woodland_Green_C","None","5.000000","8.000000","1000","Region.GoblinIsle.GoblinForest",""
BurgundyBark,"NSLOCTEXT(""DyeTable"", ""5CD6AF9C447E94EF909FC18C02F74505"", ""Burgandy Bark"")","GearDye","/Game/Items/Dyes/Dye_Burgundy_Bark.Dye_Burgundy_Bark_C","None","11.000000","15.000000","1000","Region.GoblinIsle.GoblinForest",""
GuildedStorm,"NSLOCTEXT(""DyeTable"", ""BB4346534F541DF0FFF504BF460329AB"", ""Guilded Storm"")","GearDye","/Game/Items/Dyes/Dye_GuildedStorm.Dye_GuildedStorm_C","None","11.000000","15.000000","1000","Region.GoblinIsle.GoblinForest",""
Goldenrod,"NSLOCTEXT(""DyeTable"", ""1EA83F8C4076D7159C546CB94C999A73"", ""Goldenrod"")","GearDye","/Game/Items/Dyes/Dye_Goldenrod.Dye_Goldenrod_C","None","1.000000","4.000000","1000","Region.GoblinIsle.InfestedForest",""
NavyChocolate,"NSLOCTEXT(""DyeTable"", ""BC97ECE6430627EBCE94CB9E08F5769A"", ""Navy Chocolate"")","GearDye","/Game/Items/Dyes/Dye_NavyChocolate.Dye_NavyChocolate_C","None","1.000000","4.000000","1000","Region.Global",""
PinkLemonade,"NSLOCTEXT(""DyeTable"", ""EF606FDB435574141B2E0B8B4095E86D"", ""Pink Lemonade"")","GearDye","/Game/Items/Dyes/Dye_PinkLemonade.Dye_PinkLemonade_C","None","16.000000","20.000000","1000","Region.GoblinIsle.GoblinForest",""
Scarab,"NSLOCTEXT(""DyeTable"", ""2A46755047F6D746DE414CB46E2855CB"", ""Scarab"")","GearDye","/Game/Items/Dyes/Dye_Scarab.Dye_Scarab_C","None","1.000000","4.000000","1000","Region.GoblinIsle.InfestedForest",""
PurpleBrown,"NSLOCTEXT(""DyeTable"", ""1CF172884BB94E5C3E3AEA86D1F8C8F9"", ""Purple Brown"")","GearDye","/Game/Items/Dyes/Dye_PurpleBrown.Dye_PurpleBrown_C","None","5.000000","8.000000","1000","Region.Global",""
MonoYellow,"NSLOCTEXT(""DyeTable"", ""CA355FFB49EEA9552557259F218A59E3"", ""Mono Yellow"")","GearDye","/Game/Items/Dyes/Dye_MonoYellow.Dye_MonoYellow_C","None","1.000000","4.000000","1000","Region.GoblinIsle.InfestedForest",""
Tan,"NSLOCTEXT(""DyeTable"", ""5698A7334BF5E5DF993BF2BCD6D5A929"", ""Tan"")","GearDye","/Game/Items/Dyes/Dye_Tan.Dye_Tan_C","None","5.000000","8.000000","1000","Region.GoblinIsle.InfestedForest",""
Midnight,"NSLOCTEXT(""DyeTable"", ""3E41AEFE46A178C7AF04F4B43472B907"", ""Midnight"")","GearDye","/Game/Items/Dyes/Dye_Midnight.Dye_Midnight_C","None","26.000000","30.000000","1000","Region.Global",""
Crimson,"NSLOCTEXT(""DyeTable"", ""D658062F4CB6415B2EF76F86B9A3D381"", ""Crimson"")","GearDye","/Game/Items/Dyes/Dye_Crimson.Dye_Crimson_C","None","26.000000","30.000000","1000","Region.Global",""
Snow,"NSLOCTEXT(""DyeTable"", ""57A74F8546C0031A35E4E29ABFE2DBB8"", ""Snow"")","GearDye","/Game/Items/Dyes/Dye_Snow.Dye_Snow_C","None","26.000000","30.000000","1000","Region.GoblinIsle.InfestedForest",""
Tangerine,"NSLOCTEXT(""DyeTable"", ""0F8B4D3D4B3E446FB049C48A88782FFD"", ""Tangerine"")","GearDye","/Game/Items/Dyes/Dye_Tangerine.Dye_Tangerine_C","None","26.000000","30.000000","1000","Region.GoblinIsle.InfestedForest",""
SkeletonDigitus,"NSLOCTEXT(""DyeTable"", ""C73746B74DDD96EA4AB2B3BD0FBC7E7E"", ""Skeleton Digitus"")","GearDye","/Game/Items/Dyes/Dye_SkeletonDigitus.Dye_SkeletonDigitus_C","None","0.000000","0.000000","0","None",""
IconicDigitus,"NSLOCTEXT(""DyeTable"", ""D17063114824A3FA17BB77BF545F3923"", ""Iconic Digitus"")","GearDye","/Game/Items/Dyes/Dye_IconicDigitus.Dye_IconicDigitus_C","None","0.000000","0.000000","0","None",""
Iconic2Digitus,"NSLOCTEXT(""DyeTable"", ""AEF6667C431AD3E266F6D0BAF9F12399"", ""Iconic2 Digitus"")","GearDye","/Game/Items/Dyes/Dye_Iconic2Digitus.Dye_Iconic2Digitus_C","None","0.000000","0.000000","0","None",""
Iconic3Digitus,"NSLOCTEXT(""DyeTable"", ""A035E77440B8253431AB83838E5972E6"", ""Iconic3 Digitus"")","GearDye","/Game/Items/Dyes/Dye_Iconic3Digitus.Dye_Iconic3Digitus_C","None","0.000000","0.000000","0","None",""
Iconic4Digitus,"NSLOCTEXT(""DyeTable"", ""6FF3F99845CF77F922294EBE123B2F77"", ""Iconic4 Digitus"")","GearDye","/Game/Items/Dyes/Dye_Iconic4Digitus.Dye_Iconic4Digitus_C","None","0.000000","0.000000","0","None",""
NewbieDigitus,"NSLOCTEXT(""DyeTable"", ""B1DC734F466EA3985457828A419B9D8D"", ""Newbie Digitus"")","GearDye","/Game/Items/Dyes/Dye_NewbieDigitus.Dye_NewbieDigitus_C","None","0.000000","0.000000","0","None",""
Newbie2Digitus,"NSLOCTEXT(""DyeTable"", ""7B7C189D4EC15FC2830986AD9FFD160A"", ""Newbie2 Digitus"")","GearDye","/Game/Items/Dyes/Dye_Newbie2Digitus.Dye_Newbie2Digitus_C","None","0.000000","0.000000","0","None",""
