---,BackgroundWidget,ForegroundWidget,Text,PlayerClassAny,SpokeTagsAny,RegionTagsAny,PrimaryElementTagsAny,AreaLoadingScreenTagsAny,CompletedQuestsAny,UncompletedQuestsAny,HasQuestsAny,CompletedQuestTasksAny,HasQuestTasksAny,Weight,Notes
GoblinForest,"/Game/UI/Loading/LoaderBackground1.LoaderBackground1_C","/Game/UI/Loading/LoaderForeground1.LoaderForeground1_C","","","(GameplayTags=((TagName=""Region.GoblinIsle.GoblinForest"")))","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
MainMenu,"/Game/UI/Loading/MainMenuLoadingScreenBackground.MainMenuLoadingScreenBackground_C","None","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=((TagName=""Loading.Menu"")))","","","","","","0",""
WideloadsLair,"/Game/UI/Loading/StaticLoadingScreenBackgroundGoblinForest.StaticLoadingScreenBackgroundGoblinForest_C","/Game/UI/Loading/StaticLoadingScreenForegroundWideload.StaticLoadingScreenForegroundWideload_C","NSLOCTEXT(""LoadingScreenTable"", ""D16DE8554D3466E6377794BABFB564E9"", ""Whoever vanquishes Wideload will earn the trust of all Imperial Soldiers. The reward for his death will be Wideload’s Ceremonial Shield, a trophy worthy of a hero."")","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","0",""
InfestedForest,"/Game/UI/Loading/StaticLoadingScreenBackgroundInfestedForest.StaticLoadingScreenBackgroundInfestedForest_C","/Game/UI/Loading/StaticLoadingScreenForegroundInfestedForest.StaticLoadingScreenForegroundInfestedForest_C","","","(GameplayTags=((TagName=""Region.GoblinIsle.InfestedForest"")))","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
Misc_Discord,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""06D383DA4D7ADDC66961E39F75380BC6"", ""Join the official Torchlight Frontiers Discord server via http://discord.gg/playtorchlight"")","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=((TagName=""Loading.Menu"")))","","","","","","1",""
Keybind_MapArea,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""F04758CF41A38A600316448C3040040E"", ""Press Tab on the keyboard to toggle a map of the area and quest log."")","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
Keybind_MapFrontier,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""862BCAD84888B3E0D1DEDF9218A04640"", ""Press M or Left Arrow on the D-Pad to toggle the frontier map and quest log."")","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
Keybind_AttackInPlace,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""0DC0E2B74EF264C044E028A407FD24E4"", ""Hold Shift to attack in place."")","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
Keybind_Portal,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""4C86B0934ED6ACB88910CF97C0D1011B"", ""Press Z to open a travel portal. This can be used anywhere except in boss arenas, hardcore dungeons, towns, and forts."")","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
Keybind_Potion,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""F422EDCE46448A8D2FE12980B1342607"", ""Press Q to use a potion."")","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
