---,RowType,NoPickWeight,MinLevel,EntryType1,Entry1,WeightOrCount1,EntryType2,Entry2,WeightOrCount2,EntryType3,Entry3,WeightOrCount3,EntryType4,Entry4,WeightOrCount4,EntryType5,Entry5,WeightOrCount5,EntryType6,Entry6,WeightOrCount6,EntryType7,Entry7,WeightOrCount7,EntryType8,Entry8,WeightOrCount8,EntryType9,Entry9,WeightOrCount9,EntryType10,Entry10,WeightOrCount10,EntryType11,Entry11,WeightOrCount11,DataCurves,bHideInDemo,Entries,Notes
PickFormat,"All","0","0","InitializeName","{BaseName}","1","GoToNameSpawnRow","MaybeAddTitles","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","False","",""
MaybeAddTitles,"Pick","12","0","GoToNameSpawnRow","AddPreTitle","6","GoToNameSpawnRow","AddPostTitle","6","GoToNameSpawnRow","AddBothTitles","2","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","False","",""
MaybeAddPreTitle,"Pick","3","0","GoToNameSpawnRow","AddPreTitle","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","False","",""
AddPreTitle,"Pick","0","0","SetNameParameter","BaseName|{PreTitle} {BaseName}","2","SetNameParameter","BaseName|{PreTitlePrefix}{PreTitleSuffix} {BaseName}","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","False","",""
AddPostTitle,"Pick","0","0","SetNameParameter","BaseName|{BaseName} the {TheTitle}","3","SetNameParameter","BaseName|{BaseName}, {OfTitleFirst} of {OfTitleSecond}","2","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","False","",""
AddBothTitles,"All","0","0","GoToNameSpawnRow","AddPreTitle","1","GoToNameSpawnRow","AddPostTitle","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","False","",""
PickFormatNoPostTitle,"All","0","0","InitializeName","{BaseName}","1","GoToNameSpawnRow","MaybeAddPreTitle","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","False","",""
GoblinName,"All","0","0","GoToNameSpawnRow","PickFormat","1","GoToNameSpawnRow","GoblinPrefixSuffix","1","GoToNameSpawnRow","GoblinOfTitle","1","GoToNameSpawnRow","GoblinTheTitleExpansion","1","GoToNameSpawnRow","GoblinTheTitle","1","GoToNameSpawnRow","GoblinPreTitle","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","False","",""
GoblinPrefixSuffix,"All","0","0","SetNameParameter","BaseName|{Prefix}{Suffix}","1","SetNameParameter","Prefix|Gob/Grim/Shim/Yub/Nub/Lub/Krig/Ur/Big/Frig/Dig/Yap/Slip/Kur/Zub/Zib/Woo/Igg/Stig/Pork/Pum","1","SetNameParameter","Suffix|lips/snuck/bog/blip/wim/smip/lobble/wobble/stink/shanks/tik/rim/licker/zim/grob/oo/vikler/per","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","False","",""
GoblinTheTitleExpansion,"Pick","3","0","SetNameParameter","TheTitle|{TheTitleModifier} {TheTitle}","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","False","",""
