---,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
Normal,9389,9162,8935,8708,8530,8351,8173,7994,7816,7686,7556,7426,7297,7167,7065,6962,6860,6758,6656,6577,6498,6420,6341,6262,6207,6152,6097,6042,5987,5955,5924,5892,5861,5829,5822,5814,5806,5798,5790,5787,5784,5781,5777,5774,5771,5768,5765,5762,5759,5756,5753,5750,5746,5743,5740,5737,5734,5731,5728,5725,5722,5719,5715,5712,5709,5706,5703,5700,5697,5694,5691,5688,5684,5681,5678,5675,5672,5669,5666,5663,5660,5657,5653,5650,5647,5644,5641,5638,5635,5632,5629,5626,5622,5619,5616,5613,5610,5607,5604,5601
Magic,500,670,840,1010,1156,1303,1449,1596,1742,1865,1988,2111,2233,2356,2455,2555,2654,2753,2852,2928,3004,3079,3155,3231,3283,3335,3387,3439,3491,3520,3548,3577,3605,3634,3638,3643,3648,3653,3658,3658,3658,3658,3659,3659,3659,3659,3659,3659,3659,3659,3659,3659,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3661,3661,3661,3661,3661,3661,3661,3661,3661,3661,3662,3662,3662,3662,3662,3662,3662,3662,3662,3662,3663,3663,3663,3663,3663,3663,3663,3663,3663,3663,3664,3664,3664,3664,3664,3664,3664,3664
Magic_Min,9889,9832,9775,9718,9686,9654,9622,9590,9558,9551,9544,9537,9530,9523,9520,9517,9514,9511,9508,9505,9502,9499,9496,9493,9490,9487,9484,9481,9478,9475,9472,9469,9466,9463,9460,9457,9454,9451,9448,9445,9442,9439,9436,9433,9430,9427,9424,9421,9418,9415,9412,9409,9406,9403,9400,9397,9394,9391,9388,9385,9382,9379,9376,9373,9370,9367,9364,9361,9358,9355,9352,9349,9346,9343,9340,9337,9334,9331,9328,9325,9322,9319,9316,9313,9310,9307,9304,9301,9298,9295,9292,9289,9286,9283,9280,9277,9274,9271,9268,9265
Rare,100,155,210,265,295,325,355,385,415,420,425,430,435,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,500,501,502,503,504,505,506,507,508,509,510,511,512,513,514,515,516,517,518,519,520,521,522,523,524,525,526
Rare_Min,9989,9987,9985,9983,9981,9979,9977,9975,9973,9971,9969,9967,9965,9963,9961,9959,9957,9955,9953,9951,9949,9947,9945,9943,9941,9939,9937,9935,9933,9931,9929,9927,9925,9923,9921,9919,9917,9915,9913,9911,9909,9907,9905,9903,9901,9899,9897,9895,9893,9891,9889,9887,9885,9883,9881,9879,9877,9875,9873,9871,9869,9867,9865,9863,9861,9859,9857,9855,9853,9851,9849,9847,9845,9843,9841,9839,9837,9835,9833,9831,9829,9827,9825,9823,9821,9819,9817,9815,9813,9811,9809,9807,9805,9803,9801,9799,9797,9795,9793,9791
RareLucky,100,155,210,265,295,325,355,385,415,420,425,430,435,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,500,501,502,503,504,505,506,507,508,509,510,511,512,513,514,515,516,517,518,519,520,521,522,523,524,525,526
Legendary,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129,131,133,135,137,139,141,143,145,147,149,151,153,155,157,159,161,163,165,167,169,171,173,175,177,179,181,183,185,187,189,191,193,195,197,199,201,203,205,207,209
Unique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Potion,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Popcorn_NoGear,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
