---,SkillClass,CharacterTag,Animation,AnimationOverride,MaximumSkillLevel,MinimumSkillLevel,GameplayTags,ExclusiveTags,RequiredSkillTab,RequiredPointsInSkillTab,TraitString,PerLevelDisplay,PerLevelDisplayTexts,TraitCurve1,TraitCurve2,TraitCurve3,TraitCurve4,bCanNeverBeUnlocked,bHiddenBehindCheats,SkillPanelRow,SkillPanelColumn,TryStatusEffect,TryDuration,DefaultSkillSet,DefaultSkillSlot,Notes
DM_HolyBolt,"/Game/Skills/Blueprints/DuskMage/Skill_holybolt.Skill_holybolt_C","Character.Player.DuskMage","Default","None","12","0","(GameplayTags=((TagName=""Skill.DuskMage.Light""),(TagName=""Skill.Active"")))","(GameplayTags=)","(RowName="""")","0","DamagePctBySkillName|DM_HolyBolt=0.0425;DamagePctBySkillTag|Skill.DuskMage.Dark=0.042","NSLOCTEXT(""SkillsTable"", ""042D2B814C7E90ECC32D10A39E54DAD7"", ""Holy Bolt damage\r\nDark skill damage"")","(NSLOCTEXT("""", ""58DC86684865D208F9EADFB06676CD00"", ""Holy Bolt damage""),NSLOCTEXT("""", ""6E35C5F84BBF7A87AE0E3E82DC4E966C"", ""Dark skill damage""))","PerLevelByOnesStartWithOne","PerLevelByOnesStartWithOne","None","None","False","False","0","1","(RowName="""")","30.000000","Default","None",""
DM_UnholyBolt,"/Game/Skills/Blueprints/DuskMage/Skill_unholybolt.Skill_unholybolt_C","Character.Player.DuskMage","Default","None","12","0","(GameplayTags=((TagName=""Skill.DuskMage.Dark""),(TagName=""Skill.Active"")))","(GameplayTags=)","(RowName="""")","0","DamagePctBySkillName|DM_UnholyBolt=0.0425;DamagePctBySkillTag|Skill.DuskMage.Light=0.042","NSLOCTEXT(""SkillsTable"", ""4EC2E755493C4D451D8DF594836A8E9C"", ""Unholy Bolt damage\r\nLight skill damage"")","(NSLOCTEXT("""", ""112DF9AE40750FFA98AAB1A19ABCD8D4"", ""Unholy Bolt damage""),NSLOCTEXT("""", ""C41E6218418174B8524B189ADBBC8592"", ""Light skill damage""))","PerLevelByOnesStartWithOne","PerLevelByOnesStartWithOne","None","None","False","False","0","2","(RowName="""")","30.000000","Default","None",""
DM_HolyFury,"/Game/Skills/Blueprints/DuskMage/Skill_HolyFury.Skill_HolyFury_C","Character.Player.DuskMage","Default","None","12","0","(GameplayTags=((TagName=""Skill.DuskMage.Light""),(TagName=""Skill.Active"")))","(GameplayTags=)","(RowName=""DM_Dark"")","1","EnergyCostPctBySkillName|DM_HolyFury=-0.02917;EnergyCostPctBySkillTag|Skill.DuskMage.Dark=-0.021","NSLOCTEXT(""SkillsTable"", ""220DD4DE47BFFD6891ABF0938EA6B5A5"", ""Holy Fury Mana cost\r\nDark skill Mana cost"")","(NSLOCTEXT("""", ""74C22362457BC97F554CCD8BCE3B1729"", ""Holy Fury Mana cost""),NSLOCTEXT("""", ""0BEDC4BC45886DC19AD20F88E4E7D670"", ""Dark skill Mana cost""))","PerLevelByOnesStartWithOne","PerLevelByOnesStartWithOne","None","None","False","False","1","0","(RowName=""TrySkill_DM_HolyFury"")","30.000000","Default","None",""
DM_LuminousRun,"/Game/Skills/Blueprints/DuskMage/Skill_LuminousRun.Skill_LuminousRun_C","Character.Player.DuskMage","Instant","None","12","0","(GameplayTags=((TagName=""Skill.DuskMage.Light""),(TagName=""Skill.Active"")))","(GameplayTags=)","(RowName=""DM_Dark"")","1","DurationPctBySkillName|DM_LuminousRun=0.085;DamagePctBySkillTag|Skill.EmberWeapon=0.0168","NSLOCTEXT(""SkillsTable"", ""20EDFD9A4BAEDC15CF7294807F420718"", ""Luminous Run duration\r\nRelic Weapon Damage"")","(NSLOCTEXT("""", ""3ACC629E40C26999E13280A3385B0CA7"", ""Luminous Run duration""),NSLOCTEXT("""", ""573EFCC746DF89F3B69640A08374455D"", ""Relic Weapon Damage""))","PerLevelByOnesStartWithOne","PerLevelByOnesStartWithOne","None","None","False","False","1","2","(RowName=""TrySkill_DM_LuminousRun"")","30.000000","Default","None",""
DM_Entropy,"/Game/Skills/Blueprints/DuskMage/Skill_Entropy.Skill_Entropy_C","Character.Player.DuskMage","Default","None","12","0","(GameplayTags=((TagName=""Skill.DuskMage.Dark""),(TagName=""Skill.Active"")))","(GameplayTags=)","(RowName=""DM_Light"")","1","EnergyCostPctBySkillName|DM_Entropy=-.0425;CooldownPctBySkillTag|Skill.DuskMage.Light=-.0168","NSLOCTEXT(""SkillsTable"", ""7C18DED04EC0F783B825A9900F4DF8D1"", ""Entropy Mana Cost\r\nLight Skill Cooldowns "")","(NSLOCTEXT("""", ""61474AE8488B5C8FE06DC79D8D33E901"", ""Entropy Mana Cost""),NSLOCTEXT("""", ""859EFEEF452FB05929BAC09A604F20A8"", ""Light Skill Cooldowns ""))","PerLevelByOnesStartWithOne","PerLevelByOnesStartWithOne","None","None","False","False","1","2","(RowName=""TrySkill_DM_Entropy"")","30.000000","Default","None",""
DM_DarkSpears,"/Game/Skills/Blueprints/DuskMage/Skill_Darkspears.Skill_Darkspears_C","Character.Player.DuskMage","Default","None","12","0","(GameplayTags=((TagName=""Skill.DuskMage.Dark""),(TagName=""Skill.Active"")))","(GameplayTags=)","(RowName=""DM_Light"")","5","DurationPctBySkillName|DM_DarkSpears=0.085;EnergyCostPctBySkillTag|Skill.DuskMage.Light=-.0168","NSLOCTEXT(""SkillsTable"", ""2F8BF98D4972DAACF1ABF2A09C880A8F"", ""Dark Spears Duration\r\nLight Skill Mana Costs"")","(NSLOCTEXT("""", ""E5A977A240E72FCA796773814500C1BB"", ""Dark Spears Duration""),NSLOCTEXT("""", ""660D152A4B5CEB82BF8DEBB12841AD21"", ""Light Skill Mana Costs""))","PerLevelByOnesStartWithOne","PerLevelByOnesStartWithOne","None","None","False","False","2","0","(RowName=""TrySkill_DM_DarkSpears"")","30.000000","Default","None",""
DM_Absolver,"/Game/Skills/Blueprints/DuskMage/Skill_Absolver.Skill_Absolver_C","Character.Player.DuskMage","Default","None","12","0","(GameplayTags=((TagName=""Skill.DuskMage.Light""),(TagName=""Skill.Active"")))","(GameplayTags=)","(RowName=""DM_Dark"")","5","DamagePctBySkillName|DM_Absolver=0.085;MiscBonusBySkillName|DM_Absolver=0.0588","NSLOCTEXT(""SkillsTable"", ""CF290E1F4E6BECAD9478B4850576F33F"", ""Absolver damage\r\nDark Bar Charge gain"")","(NSLOCTEXT("""", ""413E873A4B115C554F2C8FBA86C0886C"", ""Absolver damage""),NSLOCTEXT("""", ""0631A09C4D5766D4E6927F94189F24DA"", ""Dark Bar Charge gain""))","PerLevelByOnesStartWithOne","PerLevelByOnesStartWithOne","None","None","False","False","2","1","(RowName=""TrySkill_DM_Absolver"")","30.000000","Default","None",""
DM_ChaoticFury,"/Game/Skills/Blueprints/Skill_Placeholder.Skill_Placeholder_C","Character.Player.DuskMage","Default","None","12","0","(GameplayTags=((TagName=""Skill.DuskMage.Dark""),(TagName=""Skill.Active"")))","(GameplayTags=)","(RowName=""DM_Light"")","5","","","","None","None","None","None","True","False","2","1","(RowName=""TrySkill_DM_DarkSpears"")","30.000000","Default","None",""
DM_RadiantBlast,"/Game/Skills/Blueprints/DuskMage/Skill_RadiantBlast.Skill_RadiantBlast_C","Character.Player.DuskMage","Default","None","12","0","(GameplayTags=((TagName=""Skill.DuskMage.Light""),(TagName=""Skill.Active"")))","(GameplayTags=)","(RowName=""DM_Dark"")","10","DamagePctBySkillName|DM_RadiantBlast=0.417;DurationPctBySkillName|DM_DarkSpears=0.021","NSLOCTEXT(""SkillsTable"", ""B79B5E07467786E95027C6AC78A58196"", ""Radiant Blast damage\r\nDark Spears duration"")","(NSLOCTEXT("""", ""AA0B72EE4DE6A32431ACEC97A37151E7"", ""Radiant Blast damage""),NSLOCTEXT("""", ""1E6811A348FF9A1CDD1AFA9623B96AC2"", ""Dark Spears duration""))","PerLevelByOnesStartWithOne","PerLevelByOnesStartWithOne","None","None","False","False","3","0","(RowName=""TrySkill_DM_RadiantBlast"")","30.000000","Default","None",""
DM_SpiritWell,"/Game/Skills/Blueprints/DuskMage/Skill_SpiritWell.Skill_SpiritWell_C","Character.Player.DuskMage","Default","None","12","0","(GameplayTags=((TagName=""Skill.Active""),(TagName=""Skill.DuskMage.Dark"")))","(GameplayTags=)","(RowName=""DM_Light"")","10","DurationPctBySkillName|DM_SpiritWell=0.085;MiscBonusBySkillName|DM_SpiritWell=0.084","NSLOCTEXT(""SkillsTable"", ""0661801F493EC51ABB7B6999D1AD0F64"", ""Minion Duration\r\nDark Skill Buff Duration"")","(NSLOCTEXT("""", ""D43A721B41990F57EA9509BCBE0DCD33"", ""Minion Duration""),NSLOCTEXT("""", ""4E9D4785488D3418A555428065A2A259"", ""Dark Skill Buff Duration""))","PerLevelByOnesStartWithOne","PerLevelByOnesStartWithOne","None","None","False","False","3","2","(RowName=""TrySkill_DM_SpiritWell"")","30.000000","Default","None",""
