---,RowType,NoPickWeight,MinLevel,bErrorIfOutputIsEmpty,EntryType1,Entry1,WeightOrCount1,EntryType2,Entry2,WeightOrCount2,EntryType3,Entry3,WeightOrCount3,EntryType4,Entry4,WeightOrCount4,EntryType5,Entry5,WeightOrCount5,EntryType6,Entry6,WeightOrCount6,EntryType7,Entry7,WeightOrCount7,EntryType8,Entry8,WeightOrCount8,EntryType9,Entry9,WeightOrCount9,EntryType10,Entry10,WeightOrCount10,EntryType11,Entry11,WeightOrCount11,DataCurves,Entries,Notes
Default,"All","0","0","False","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","Required Default entry"
Armor_Starter_Large,"Each","0","0","False","AddAffixByName","Defense_Physical_Large_Primary_Newbie","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Armor_Starter_Medium,"Each","0","0","False","AddAffixByName","Defense_Physical_Medium_Primary_Newbie","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Armor_Normal,"All","0","0","False","GameplayTagExclude","Affix.LifeBound","1","AddAreaTagsToAny","1","1","AddAffixByFilter","Affix.Primary;Affix.Defense","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
Armor_Magic,"All","0","0","False","GameplayTagExclude","Affix.LifeBound","1","AddAreaTagsToAny","1","1","AddAffixByFilter","Affix.Primary;Affix.Defense","1","GotoAffixSpawnRow","Armor_Secondary","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
Armor_Rare,"All","0","0","False","GameplayTagExclude","Affix.LifeBound","1","AddAreaTagsToAny","1","1","GotoAffixSpawnRow","Armor_Primary","1","GotoAffixSpawnRow","Armor_Secondary","2","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
Armor_Legendary,"All","0","0","False","GameplayTagExclude","Affix.LifeBound","1","AddAreaTagsToAny","1","1","GotoAffixSpawnRow","Armor_Primary","1","GotoAffixSpawnRow","Armor_Secondary","3","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
Armor_Normal_LifeBound,"All","0","0","False","GameplayTagAll","Affix.LifeBound","1","AddAffixByName","LifeBound","1","AddAffixByFilter","Affix.Primary;Affix.Defense","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
Armor_Magic_LifeBound,"All","0","0","False","GameplayTagAll","Affix.LifeBound","1","AddAffixByName","LifeBound","1","AddAffixByFilter","Affix.Primary;Affix.Defense","1","GotoAffixSpawnRow","Armor_Secondary","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None)",""
Armor_Rare_LifeBound,"All","0","0","False","GameplayTagAll","Affix.LifeBound","1","AddAffixByName","LifeBound","1","GotoAffixSpawnRow","Armor_Primary","1","GotoAffixSpawnRow","Armor_Secondary","2","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None)",""
