---,AreaName,AreaName_MapWorks,AreaGroup,AreaGroupType,AreaClass,AreaSize,PrevAreaRow0,NextAreaRow1,NextAreaRow2,NextAreaRow3,NextAreaRow4,NextAreaRow5,NextAreaRow6,RequiredQuestTask,FortCount,bShowClockUI,bIsOutdoors,bIsBossArea,bMonstersCanTargetNPC,MonsterLevel,MonsterLevelDelta,MonstersRespawn,MonstersDisabledByDistance,bGadgetsReset,BossMonster,bTriggerSpawnersHelpDrama,bTriggerSpawnersCheckDrama,MonsterAffixes,GadgetItemLevel,GadgetItemLevelDelta,ItemLevelBonus,HazardDamage,ItemSpokeMaxDelta,ItemSpokeMinDelta,CameraDistance,PrimaryElement,SpokeTag,MonsterManagerDaytimeTags,MonsterManagerNighttimeTags,ThemedPropTags,QuestPoolTags,LootLuck,CritterDensity,Critter1,Critter2,Critter3,AreaSkill1,AreaSkill2,AreaSkill3,CameraYawRandomRange,bReviveInTown,bCanReviveInPlace,bCanReviveInTown,bLifeBoundItemsOnly,DisallowedSkillTags,LoadingScreenBackgroundOverride,LoadingScreenForegroundOverride,LoadingScreenTextOverride,LoadingScreenTags,ItemQualityLevelBoost,MapworksTags,SelectionWeight,QuestTags,MonsterSpawnerActiveChance,MonsterSpawnerNightActiveChance,ItemGameplayTags,ItemExcludeGameplayTags,AffixGameplayTags,MonsterGameplayTags,RegionGameplayTag,bPvPEnabled,Notes
ImperialOutpost_Intro,"NSLOCTEXT(""AreaTable"", ""796B29A44A9B810CC7EF60A0593A07CC"", ""Occupied Imperial Outpost"")","NSLOCTEXT(""AreaTable"", ""7805C9FE436F992E0088F6ABE75AB1FB"", ""The Occupied"")","ImperialOutpost_Intro","Progressive","/Game/Environments/Levels/ImperialOutpost/rules/Area_ImperialOutpost_Intro.Area_ImperialOutpost_Intro_C","1.000000","(RowName=""ImperialOutpost"")","(RowName=""Fort_Intro"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","None","0","True","True","False","False","1.000000","0.000000","True","True","False","(RowName=""GoblinStabby_Story_Boss"")","False","False","","1.000000","0.000000","0.000000","10.000000","1.000000","-3.000000","3000.000000","(TagName=""Element.Fire"")","(TagName=""Region.GoblinIsle.GoblinForest"")","(GameplayTags=((TagName=""Character.Monster.Day"")))","(GameplayTags=((TagName=""Character.Monster.Day"")))","(GameplayTags=((TagName=""Character.NPC.QuestGiver.Kenik""),(TagName=""Character.NPC.QuestGiver.GeneralGraye"")))","(GameplayTags=)","(Map=())","1.000000","None","None","None","(RowName=""Skill_Potion"")","(RowName="""")","(RowName="""")","(X=-20.000000,Y=20.000000)","False","True","False","False","(GameplayTags=((TagName=""Skill.Portal"")))","(RowName="""")","(RowName="""")","(RowName="""")","(GameplayTags=)","0","(GameplayTags=)","0","(GameplayTags=)","1.000000","1.000000","Region.GoblinIsle.GoblinForest","None","None","Character.Monster.IntroGoblin","Region.GoblinIsle.GoblinForest","False",""
Fort_Intro,"NSLOCTEXT(""AreaTable"", ""2E2D66B348DA2F4ACFFD5F9A81AAE880"", ""Invaded Fort"")","NSLOCTEXT(""AreaTable"", ""400577ED42A8310E0A2E1396268CBE1A"", ""Occupied Fort"")","Fort_Intro","Progressive","/Game/Environments/Levels/Forts/rules/Goblinland/Area_gob_YourFort_intro.Area_gob_YourFort_intro_C","1.000000","(RowName=""ImperialOutpost"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","None","0","True","True","False","False","1.000000","0.000000","False","True","False","(RowName=""GoblinBomber_Story_Boss"")","False","False","","1.000000","0.000000","0.000000","10.000000","1.000000","-3.000000","3000.000000","(TagName=""Element.Fire"")","(TagName=""Region.GoblinIsle.GoblinForest"")","(GameplayTags=((TagName=""Character.Monster.Day"")))","(GameplayTags=((TagName=""Character.Monster.Day"")))","(GameplayTags=)","(GameplayTags=)","(Map=())","1.000000","None","None","None","(RowName=""Skill_Potion"")","(RowName="""")","(RowName="""")","(X=-20.000000,Y=20.000000)","False","True","False","False","(GameplayTags=((TagName=""Skill.Portal"")))","(RowName="""")","(RowName="""")","(RowName="""")","(GameplayTags=)","0","(GameplayTags=)","0","(GameplayTags=)","1.000000","1.000000","Region.GoblinIsle.GoblinForest","None","None","Character.Monster.IntroGoblin","Region.GoblinIsle.GoblinForest","False",""
PlayerFort,"NSLOCTEXT(""AreaTable"", ""0DE95D694C3ABA58CB9F7A85C698C3D6"", ""Fort"")","NSLOCTEXT(""AreaTable"", ""B187CC504F5461E92961E4A48AB4481F"", ""Fortress"")","Fort","Fort","/Game/Environments/Levels/Forts/rules/Goblinland/Area_gob_YourFort.Area_gob_YourFort_C","3.000000","(RowName=""ImperialOutpost"")","(RowName=""GoblinForest1"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","None","1","True","True","False","False","1.000000","0.000000","False","True","False","(RowName="""")","False","False","","1.000000","0.000000","0.000000","10.000000","1.000000","-3.000000","3000.000000","(TagName="""")","(TagName=""Region.GoblinIsle.GoblinForest"")","(GameplayTags=)","(GameplayTags=)","(GameplayTags=((TagName=""Theme.None""),(TagName=""Character.NPC.QuestGiver.SgtKlive""),(TagName=""Theme.Generic"")))","(GameplayTags=)","(Map=())","1.000000","None","None","None","(RowName=""Skill_Potion"")","(RowName="""")","(RowName="""")","(X=0.000000,Y=0.000000)","False","True","True","False","(GameplayTags=)","(RowName=""YourFort"")","(RowName="""")","(RowName="""")","(GameplayTags=)","0","(GameplayTags=)","0","(GameplayTags=)","0.000000","1.000000","None","None","None","None","Region.Global","False",""
ImperialOutpost,"NSLOCTEXT(""AreaTable"", ""C7EFB7744F4231041E5E2A978E887F73"", ""Imperial Outpost"")","NSLOCTEXT(""AreaTable"", ""136052434A4D1AD741558887733AEC2D"", ""The Outpost"")","ImperialOutpost","Town","/Game/Environments/Levels/ImperialOutpost/rules/Area_ImperialOutpost.Area_ImperialOutpost_C","1.000000","(RowName="""")","(RowName=""GoblinForest1"")","(RowName=""InfestedForest1"")","(RowName=""EM0-1pass"")","(RowName="""")","(RowName="""")","(RowName="""")","None","0","True","True","False","False","1.000000","0.000000","False","True","False","(RowName="""")","False","False","","1.000000","0.000000","0.000000","10.000000","1.000000","-3.000000","3000.000000","(TagName="""")","(TagName=""Region.GoblinIsle.GoblinForest"")","(GameplayTags=)","(GameplayTags=)","(GameplayTags=((TagName=""Theme.Generic""),(TagName=""Character.NPC.QuestGiver"")))","(GameplayTags=)","(Map=())","1.000000","None","None","None","(RowName=""Skill_Potion"")","(RowName="""")","(RowName="""")","(X=-20.000000,Y=20.000000)","False","True","True","False","(GameplayTags=)","(RowName=""ImperialOutpost"")","(RowName="""")","(RowName="""")","(GameplayTags=)","0","(GameplayTags=)","0","(GameplayTags=)","1.000000","1.000000","Region.GoblinIsle.GoblinForest","None","None","None","Region.Global","False",""
GoblinForest1,"NSLOCTEXT(""AreaTable"", ""64F72229449DF666B6D088A026EF9922"", ""Wood\'s Edge"")","NSLOCTEXT(""AreaTable"", ""C1F1535943C1CEDE421DF1998C8A69D1"", ""Forested Cliffside"")","GFO1","Open","/Game/Environments/Levels/Goblinland/rules/GoblinForest1/Area_GoblinForest1.Area_GoblinForest1_C","3.000000","(RowName=""ImperialOutpost"")","(RowName=""GF1-2_pass"")","(RowName=""GF1_Cave1_gc1"")","(RowName=""GF1_Forest1"")","(RowName=""GF1_Cave2_gc1"")","(RowName=""PlayerFort"")","(RowName="""")","None","0","True","True","False","False","1.000000","5.990000","True","True","True","(RowName="""")","False","True","","1.000000","5.990000","0.000000","10.000000","1.000000","-3.000000","3000.000000","(TagName=""Element.Fire"")","(TagName=""Region.GoblinIsle.GoblinForest"")","(GameplayTags=((TagName=""Character.Monster.Day"")))","(GameplayTags=((TagName=""Character.Monster.Day"")))","(GameplayTags=((TagName=""Theme.Generic""),(TagName=""Theme.Mine""),(TagName=""Theme.Battle""),(TagName=""Theme.GoblinForest""),(TagName=""Character.NPC.QuestGiver.SgtWilx""),(TagName=""Gadget.Shrine.Global""),(TagName=""Gadget.Shrine.Goblin""),(TagName=""Gadget.HarvestingNode.Metal.T1.GoblinIsle""),(TagName=""Gadget.HarvestingNode.Stone.T1.GoblinIsle""),(TagName=""Gadget.HarvestingNode.Wood.T1.GoblinIsle.GoblinForest"")))","(GameplayTags=)","(Map=())","1.000000","/Game/Critters/testrat/critter_testrat_b.critter_testrat_b_C","None","None","(RowName=""Skill_Potion"")","(RowName="""")","(RowName="""")","(X=-20.000000,Y=20.000000)","False","True","True","False","(GameplayTags=)","(RowName="""")","(RowName="""")","(RowName="""")","(GameplayTags=((TagName=""Loading.Wideload"")))","0","(GameplayTags=)","0","(GameplayTags=)","0.500000","1.000000","Region.GoblinIsle.GoblinForest","None","Affix.Damage.Goblin;Affix.vsMonsterType.Goblins&Affix.Defense.Goblin","Region.GoblinIsle.AllForests;Region.GoblinIsle.GoblinForest.Forest;Region.Global;Region.Public","Region.GoblinIsle.GoblinForest","False",""
GF1_Cave1_gc1,"NSLOCTEXT(""AreaTable"", ""A109242A493E76FC0D1CF191536F2589"", ""Den of Upheaval"")","NSLOCTEXT(""AreaTable"", ""63BAA7384EE3683456AAA7AC79FBEDBC"", ""Den of Reveal"")","GFO1_Progressive_Cave1","Progressive","/Game/Environments/Levels/Goblinland/rules/GF1_Cave1/Area_GF1_Cave1_gc1.Area_GF1_Cave1_gc1_C","1.000000","(RowName=""GoblinForest1"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","GFQ_ClearDenOfEvil:Task_GoToDenofEvil","0","False","False","False","False","2.000000","1.990000","False","True","False","(RowName=""GoblinChanter_Rando_Boss2"")","False","False","","2.000000","1.990000","0.000000","5.000000","1.000000","-3.000000","3000.000000","(TagName=""Element.Fire"")","(TagName=""Region.GoblinIsle.GoblinForest"")","(GameplayTags=)","(GameplayTags=)","(GameplayTags=((TagName=""Theme.Mine""),(TagName=""Theme.Generic""),(TagName=""Theme.GoblinForest""),(TagName=""Gadget.HarvestingNode.Metal.T1.GoblinIsle""),(TagName=""Gadget.HarvestingNode.Stone.T1.GoblinIsle""),(TagName=""Gadget.Shrine.Global""),(TagName=""Gadget.Shrine.Goblin"")))","(GameplayTags=((TagName=""QuestPool.GoblinCaves"")))","(Map=())","1.000000","None","None","None","(RowName=""Skill_Potion"")","(RowName="""")","(RowName="""")","(X=-20.000000,Y=20.000000)","False","True","True","False","(GameplayTags=)","(RowName="""")","(RowName="""")","(RowName="""")","(GameplayTags=)","0","(GameplayTags=)","0","(GameplayTags=)","1.000000","1.000000","Region.GoblinIsle.GoblinForest","None","Affix.Damage.Goblin;Affix.vsMonsterType.Goblins&Affix.Defense.Goblin","Region.GoblinIsle.GoblinForest.Caves","Region.GoblinIsle.GoblinForest","False",""
GF1_Forest1,"NSLOCTEXT(""AreaTable"", ""90DE8A814EF430730973E08C36D844EA"", ""Lost Woods"")","NSLOCTEXT(""AreaTable"", ""0529DA3D40E6881AF246279A787DA8D4"", ""Hidden Forest"")","GFO1_Progressive_Forest1","Progressive","/Game/Environments/Levels/Goblinland/rules/GF1_Forest1/Area_GF1_Forest1.Area_GF1_Forest1_C","2.000000","(RowName=""GoblinForest1"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","GFQ_RescueGuards:Task_GoToLostWoods","0","True","True","False","False","3.000000","1.990000","False","True","False","(RowName=""GoblinStabby_Rando_Boss"")","False","False","","3.000000","1.990000","0.000000","10.000000","1.000000","-3.000000","3000.000000","(TagName=""Element.Fire"")","(TagName=""Region.GoblinIsle.GoblinForest"")","(GameplayTags=((TagName=""Character.Monster.Day"")))","(GameplayTags=((TagName=""Character.Monster.Night"")))","(GameplayTags=((TagName=""Theme.Generic""),(TagName=""Gadget.Quest.GoblinCage""),(TagName=""Gadget.Quest.Prisoner""),(TagName=""Theme.GoblinForest""),(TagName=""Gadget.HarvestingNode.Metal.T1.GoblinIsle""),(TagName=""Gadget.HarvestingNode.Stone.T1.GoblinIsle""),(TagName=""Gadget.HarvestingNode.Wood.T1.GoblinIsle.GoblinForest""),(TagName=""Gadget.Shrine.Global""),(TagName=""Gadget.Shrine.Goblin""),(TagName=""Gadget.Quest.ImprisonedGuard"")))","(GameplayTags=)","(Map=())","1.000000","None","None","None","(RowName=""Skill_Potion"")","(RowName="""")","(RowName="""")","(X=-20.000000,Y=20.000000)","False","True","True","False","(GameplayTags=)","(RowName="""")","(RowName="""")","(RowName="""")","(GameplayTags=)","0","(GameplayTags=)","0","(GameplayTags=)","0.500000","1.000000","Region.GoblinIsle.GoblinForest","None","Affix.Damage.Goblin;Affix.vsMonsterType.Goblins&Affix.Defense.Goblin","Region.GoblinIsle.AllForests;Region.GoblinIsle.GoblinForest.Forest;Region.Global","Region.GoblinIsle.GoblinForest","False",""
GF1_Cave2_gc1,"NSLOCTEXT(""AreaTable"", ""9EF55ABD434FA2230EF3918FC3305F4F"", ""Cave of Sorrows"")","NSLOCTEXT(""AreaTable"", ""7B63BA9D4405C500C007048613665294"", ""Cavern of Sadness"")","GFO1_Progressive_Cave2","Progressive","/Game/Environments/Levels/Goblinland/rules/GF1_Cave2/Area_GF1_Cave2_gc1.Area_GF1_Cave2_gc1_C","3.000000","(RowName=""GoblinForest1"")","(RowName=""GF1_Cave2a_boss_gc1"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","GFQ_DestroySecretWeapon:Task_GoToGF1_Cave2","0","False","False","False","False","5.000000","1.990000","False","True","False","(RowName=""Automaton_Story_Boss"")","False","False","","5.000000","1.990000","0.000000","10.000000","1.000000","-3.000000","3000.000000","(TagName=""Element.Physical"")","(TagName=""Region.GoblinIsle.GoblinForest"")","(GameplayTags=)","(GameplayTags=)","(GameplayTags=((TagName=""Theme.Mine""),(TagName=""Theme.Generic""),(TagName=""Theme.GoblinForest""),(TagName=""Gadget.HarvestingNode.Metal.T1.GoblinIsle""),(TagName=""Gadget.HarvestingNode.Stone.T1.GoblinIsle""),(TagName=""Gadget.Shrine.Global"")))","(GameplayTags=)","(Map=())","1.000000","None","None","None","(RowName=""Skill_Potion"")","(RowName="""")","(RowName="""")","(X=-20.000000,Y=20.000000)","False","True","True","False","(GameplayTags=)","(RowName="""")","(RowName="""")","(RowName="""")","(GameplayTags=)","0","(GameplayTags=)","0","(GameplayTags=)","1.000000","1.000000","Region.GoblinIsle.GoblinForest","None","Affix.Damage.Goblin;Affix.vsMonsterType.Goblins&Affix.Defense.Goblin","Region.GoblinIsle.GoblinForest.Caves","Region.GoblinIsle.GoblinForest","False",""
GF1_Cave2a_boss_gc1,"NSLOCTEXT(""AreaTable"", ""B154123B486AA378170A9E9FBCF4570C"", ""Deeper Sorrows"")","NSLOCTEXT(""AreaTable"", ""F90D2E4248B2CEDE9027B8BD13CA1E14"", ""Cavern of Deep Sadness"")","GFO1_Progressive_Cave2","Progressive","/Game/Environments/Levels/Goblinland/rules/GF1_Cave2a_boss/Area_GF1_Cave2a_boss_gc1.Area_GF1_Cave2a_boss_gc1_C","1.000000","(RowName=""GF1_Cave2_gc1"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","GFQ_DestroySecretWeapon:Task_SeeBoss","0","False","False","False","False","6.000000","0.000000","False","False","False","(RowName=""Automaton_Story_Boss"")","False","False","","6.000000","0.000000","0.000000","10.000000","1.000000","-3.000000","3000.000000","(TagName=""Element.Physical"")","(TagName=""Region.GoblinIsle.GoblinForest"")","(GameplayTags=)","(GameplayTags=)","(GameplayTags=((TagName=""Theme.Generic""),(TagName=""Theme.GoblinForest""),(TagName=""Gadget.HarvestingNode.Metal.T1.GoblinIsle""),(TagName=""Gadget.HarvestingNode.Stone.T1.GoblinIsle"")))","(GameplayTags=)","(Map=())","1.000000","None","None","None","(RowName=""Skill_Potion"")","(RowName="""")","(RowName="""")","(X=-20.000000,Y=20.000000)","False","False","True","False","(GameplayTags=)","(RowName="""")","(RowName="""")","(RowName="""")","(GameplayTags=)","0","(GameplayTags=)","0","(GameplayTags=)","1.000000","1.000000","Region.GoblinIsle.GoblinForest","None","Affix.Damage.Goblin;Affix.vsMonsterType.Goblins&Affix.Defense.Goblin","Region.GoblinIsle.GoblinForest.Caves","Region.GoblinIsle.GoblinForest","False",""
GF1-2_pass,"NSLOCTEXT(""AreaTable"", ""2F52C28D4C05C54EEAC418965A984386"", ""Pathfinder\'s Trail"")","NSLOCTEXT(""AreaTable"", ""92A051354B88AF776C2300AC478EE4FF"", ""Pathfinder\'s Trek"")","GFO1_Pass","Open","/Game/Environments/Levels/Forts/rules/Goblinland/Area_gob_PlayerFort.Area_gob_PlayerFort_C","1.000000","(RowName=""GoblinForest1"")","(RowName=""GoblinForest2"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","None","1","True","True","False","False","7.000000","0.000000","False","True","False","(RowName="""")","False","False","","7.000000","0.000000","0.000000","10.000000","1.000000","-3.000000","3000.000000","(TagName="""")","(TagName=""Region.GoblinIsle.GoblinForest"")","(GameplayTags=)","(GameplayTags=)","(GameplayTags=((TagName=""Theme.Generic""),(TagName=""Character.NPC.Gatekeeper""),(TagName=""Character.NPC.QuestGiver"")))","(GameplayTags=)","(Map=())","1.000000","None","None","None","(RowName=""Skill_Potion"")","(RowName="""")","(RowName="""")","(X=-20.000000,Y=20.000000)","False","True","True","False","(GameplayTags=)","(RowName="""")","(RowName="""")","(RowName="""")","(GameplayTags=)","0","(GameplayTags=)","0","(GameplayTags=)","0.000000","1.000000","Region.GoblinIsle.GoblinForest","None","Affix.Damage.Goblin;Affix.vsMonsterType.Goblins&Affix.Defense.Goblin","None","Region.GoblinIsle.GoblinForest","False",""
