---,RowType,NoPickWeight,MinLevel,bErrorIfOutputIsEmpty,EntryType1,Entry1,WeightOrCount1,EntryType2,Entry2,WeightOrCount2,EntryType3,Entry3,WeightOrCount3,EntryType4,Entry4,WeightOrCount4,EntryType5,Entry5,WeightOrCount5,EntryType6,Entry6,WeightOrCount6,EntryType7,Entry7,WeightOrCount7,EntryType8,Entry8,WeightOrCount8,EntryType9,Entry9,WeightOrCount9,EntryType10,Entry10,WeightOrCount10,EntryType11,Entry11,WeightOrCount11,DataCurves,Entries,Notes
SpawnMonsters,"All","0","0","False","AddAreaTagsToAny","","1","GameplayTagAll","Character.Monster.Day","1","GotoMonsterSpawnRow","ChooseMonsters","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
SpawnMonsters_Night,"All","0","0","False","AddAreaTagsToAny","","1","GameplayTagAll","Character.Monster.Night","1","GotoMonsterSpawnRow","ChooseMonsters_Night","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
SpawnMonsters_Hyvid,"All","0","0","False","GotoMonsterSpawnRow","PickMonsters_Hyvid","1","GotoMonsterSpawnRow","ChooseMonsters","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
SpawnMonsters_Hyvid_Public,"All","0","0","False","GameplayTagAny","Region.Public","1","GotoMonsterSpawnRow","PickMonsters_Hyvid","1","GotoMonsterSpawnRow","ChooseMonsters","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
PickMonsters_Hyvid,"Pick","0","0","False","AddAreaTagsToAny","","8","GameplayTagAny","Region.Global","2","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
SpawnMonsters_DayOrNight,"All","0","0","False","AddAreaTagsToAny","","1","GotoMonsterSpawnRow","ChooseMonsters","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
SpawnMonsters_Caves,"All","0","0","False","AddAreaTagsToAny","","1","GotoMonsterSpawnRow","ChooseMonsters_Night","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
SpawnMonsters_Intro,"Pick","0","0","False","GotoMonsterSpawnRow","SpawnStabbyGoblins_Intro","2","GotoMonsterSpawnRow","SpawnShootyGoblins_Intro","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
SpawnMonsters_Intro_1,"Pick","0","0","False","GotoMonsterSpawnRow","SpawnStabbyGoblins_Intro_1","2","GotoMonsterSpawnRow","SpawnShootyGoblins_Intro_1","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
SpawnMonsters_Intro_2,"Pick","0","0","False","GotoMonsterSpawnRow","SpawnStabbyGoblins_Intro_2","2","GotoMonsterSpawnRow","SpawnShootyGoblins_Intro_2","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
SpawnMonsters_Intro_3,"Pick","0","0","False","GotoMonsterSpawnRow","SpawnStabbyGoblins_Intro_3","2","GotoMonsterSpawnRow","SpawnShootyGoblins_Intro_3","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
SpawnStabbyGoblins_Intro,"Pick","0","0","False","GotoMonsterSpawnRow","SpawnStabbyGoblins_Intro_1","5","GotoMonsterSpawnRow","SpawnStabbyGoblins_Intro_2","3","GotoMonsterSpawnRow","SpawnStabbyGoblins_Intro_3","2","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
SpawnStabbyGoblins_Intro_1,"All","0","0","False","AddMonsterByName","Goblin_Stabby_Intro_Single","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
SpawnStabbyGoblins_Intro_2,"All","0","0","False","AddMonsterByName","Goblin_Stabby_Intro_Double","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
SpawnStabbyGoblins_Intro_3,"All","0","0","False","AddMonsterByName","Goblin_Stabby_Intro_Triple","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
SpawnShootyGoblins_Intro,"Pick","0","0","False","GotoMonsterSpawnRow","SpawnShootyGoblins_Intro_1","5","GotoMonsterSpawnRow","SpawnShootyGoblins_Intro_2","3","GotoMonsterSpawnRow","SpawnShootyGoblins_Intro_3","2","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
SpawnShootyGoblins_Intro_1,"All","0","0","False","AddMonsterByName","Goblin_Gunner_Intro_Single","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
SpawnShootyGoblins_Intro_2,"All","0","0","False","AddMonsterByName","Goblin_Gunner_Intro_Double","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
SpawnShootyGoblins_Intro_3,"All","0","0","False","AddMonsterByName","Goblin_Gunner_Intro_Triple","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
SpawnMonsters_BossRoom,"All","0","0","False","AddAreaTagsToAny","","1","GotoMonsterSpawnRow","ChooseMonsters_BossRoom","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
SpawnMonsters_Champions,"All","0","0","False","AddAreaTagsToAny","","1","GameplayTagAll","Character.Monster.Day","1","GotoMonsterSpawnRow","ChampionOrBetter","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
SpawnMonsters_ChampionsNight,"All","0","0","False","AddAreaTagsToAny","","1","GameplayTagAll","Character.Monster.Night","1","GotoMonsterSpawnRow","ChampionOrBetter","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
ChooseMonsters,"Pick","0","0","False","GotoMonsterSpawnRow","Common","250","GotoMonsterSpawnRow","Common+Uncommon","100","GotoMonsterSpawnRow","Common+Rare","50","GotoMonsterSpawnRow","Uncommon+Rare","30","GotoMonsterSpawnRow","VeryRare","5","GotoMonsterSpawnRow","ChampionOrBetter","25","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None,None)",""
ChooseMonsters_Night,"Pick","0","0","False","GotoMonsterSpawnRow","Common","120","GotoMonsterSpawnRow","Common+Uncommon","80","GotoMonsterSpawnRow","Common+Rare","50","GotoMonsterSpawnRow","Uncommon+Rare","30","GotoMonsterSpawnRow","VeryRare","5","GotoMonsterSpawnRow","ChampionOrBetter","25","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None,None)",""
ChooseMonsters_BossRoom,"All","0","0","False","GotoMonsterSpawnRow","BossRoom","1","IncrementMonsterPackSize","","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
ChoosePackSize,"Range","0","0","False","SetMonsterPackSize","Medium","1","SetMonsterPackSize","Large","2","SetMonsterPackSize","ExtraLarge","6","SetMonsterPackSize","ExtraLarge","10","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None)",""
IncreasePackSize,"Pick","3","0","False","IncrementMonsterPackSize","","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Common,"All","0","0","False","GotoMonsterSpawnRow","ChoosePackSize","1","GotoMonsterSpawnRow","IncreasePackSize","1","AddMonsterByFilter","Character.Monster.Common","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
Uncommon,"All","0","0","False","GotoMonsterSpawnRow","ChoosePackSize","1","GotoMonsterSpawnRow","IncreasePackSize","1","AddMonsterByFilter","Character.Monster.Uncommon","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
