---,StatusEffect,Weight,MinimumMonsterLevel,MaximumMonsterLevel,RequireSpokeTags,RequireAny,RequireAll,ExcludeAny,Notes
Damage,"/Game/Skills/Blueprints/Monsters/Affixes/StatusEffect_MonsterAffixDamage.StatusEffect_MonsterAffixDamage_C","1","0.000000","0.000000","(GameplayTags=)","(GameplayTags=((TagName=""Area.Affix"")))","(GameplayTags=)","(GameplayTags=((TagName=""Character.Monster.Champion.Legendary""),(TagName=""Character.Monster.Tough"")))",""
Fast,"/Game/Skills/Blueprints/Monsters/Affixes/StatusEffect_MonsterAffix_MoveSpeed.StatusEffect_MonsterAffix_MoveSpeed_C","0","0.000000","0.000000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)",""
Stun,"/Game/Skills/Blueprints/Monsters/Affixes/StatusEffect_MonsterAffix_Stun.StatusEffect_MonsterAffix_Stun_C","1","4.000000","0.000000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=((TagName=""Character.Monster.Champion""),(TagName=""Character.Monster.Championable.Solo"")))","(GameplayTags=((TagName=""Character.Monster.Championable.Pack"")))",""
Knockback,"/Game/Skills/Blueprints/Monsters/Affixes/StatusEffect_MonsterAffix_Knockback.StatusEffect_MonsterAffix_Knockback_C","1","0.000000","0.000000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=((TagName=""Character.Monster.Champion"")))","(GameplayTags=)",""
Nimble,"/Game/Skills/Blueprints/Monsters/Affixes/StatusEffect_MonsterAffix_Nimble.StatusEffect_MonsterAffix_Nimble_C","1","4.000000","0.000000","(GameplayTags=)","(GameplayTags=((TagName=""Area.Affix"")))","(GameplayTags=)","(GameplayTags=)",""
Lethal,"/Game/Skills/Blueprints/Monsters/Affixes/StatusEffect_MonsterAffix_Lethal.StatusEffect_MonsterAffix_Lethal_C","1","0.000000","0.000000","(GameplayTags=)","(GameplayTags=((TagName=""Area.Affix"")))","(GameplayTags=)","(GameplayTags=((TagName=""Character.Monster.Tough""),(TagName=""Character.Monster.Champion.Legendary"")))",""
Bonded,"/Game/Skills/Blueprints/Monsters/Affixes/StatusEffect_MonsterAffix_Bonded.StatusEffect_MonsterAffix_Bonded_C","1","0.000000","0.000000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=((TagName=""Character.Monster.Champion""),(TagName=""Character.Monster.Championable.Pack"")))","(GameplayTags=((TagName=""Character.Monster.Champion.Unique"")))",""
Phalanx,"/Game/Skills/Blueprints/Monsters/Affixes/StatusEffect_MonsterAffix_Phalanx.StatusEffect_MonsterAffix_Phalanx_C","1","0.000000","0.000000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=((TagName=""Character.Monster.Champion.Champion""),(TagName=""Character.Monster.Championable.Pack"")))","(GameplayTags=((TagName=""Character.Monster.Champion.Unique"")))",""
InvigoratedChamps,"/Game/Skills/Blueprints/Monsters/Affixes/StatusEffect_MonsterAffix_Invigorated.StatusEffect_MonsterAffix_Invigorated_C","1","0.000000","0.000000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=((TagName=""Character.Monster.Champion"")))","(GameplayTags=)",""
Invigorated,"/Game/Skills/Blueprints/Monsters/Affixes/StatusEffect_MonsterAffix_Invigorated.StatusEffect_MonsterAffix_Invigorated_C","0","0.000000","0.000000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)",""
Health,"/Game/Skills/Blueprints/Monsters/Affixes/StatusEffect_MonsterAffix_Health.StatusEffect_MonsterAffix_Health_C","1","0.000000","0.000000","(GameplayTags=)","(GameplayTags=((TagName=""Area.Affix"")))","(GameplayTags=)","(GameplayTags=((TagName=""Character.Monster.HighHealth"")))",""
Blazing,"/Game/Skills/Blueprints/Monsters/Affixes/StatusEffect_MonsterAffix_Blazing.StatusEffect_MonsterAffix_Blazing_C","1","0.000000","0.000000","(GameplayTags=((TagName=""Region.GoblinIsle.GoblinForest"")))","(GameplayTags=)","(GameplayTags=((TagName=""Character.Monster.Champion"")))","(GameplayTags=)",""
Immolator,"/Game/Skills/Blueprints/Monsters/Affixes/StatusEffect_MonsterAffix_Immolator.StatusEffect_MonsterAffix_Immolator_C","1","0.000000","0.000000","(GameplayTags=((TagName=""Region.GoblinIsle.GoblinForest"")))","(GameplayTags=((TagName=""Area.Affix"")))","(GameplayTags=)","(GameplayTags=)",""
Noxious,"/Game/Skills/Blueprints/Monsters/Affixes/StatusEffect_MonsterAffix_Noxious.StatusEffect_MonsterAffix_Noxious_C","1","0.000000","0.000000","(GameplayTags=((TagName=""Region.GoblinIsle.InfestedForest"")))","(GameplayTags=((TagName=""Area.Affix"")))","(GameplayTags=)","(GameplayTags=)",""
Toxic,"/Game/Skills/Blueprints/Monsters/Affixes/StatusEffect_MonsterAffix_Toxic.StatusEffect_MonsterAffix_Toxic_C","1","0.000000","0.000000","(GameplayTags=((TagName=""Region.GoblinIsle.InfestedForest"")))","(GameplayTags=((TagName=""Area.Affix"")))","(GameplayTags=)","(GameplayTags=)",""
FireDefense,"/Game/Skills/Blueprints/Monsters/Affixes/StatusEffect_MonsterAffixFireDefense.StatusEffect_MonsterAffixFireDefense_C","1","0.000000","0.000000","(GameplayTags=((TagName=""Region.GoblinIsle.GoblinForest"")))","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)",""
PoisonDefense,"/Game/Skills/Blueprints/Monsters/Affixes/StatusEffect_MonsterAffixPoisonDefense.StatusEffect_MonsterAffixPoisonDefense_C","1","0.000000","0.000000","(GameplayTags=((TagName=""Region.GoblinIsle.InfestedForest"")))","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)",""
PotionDropper,"/Game/Skills/Blueprints/Monsters/Affixes/StatusEffect_Monster_PotionDropper.StatusEffect_Monster_PotionDropper_C","0","0.000000","0.000000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)",""
