---,DisplayName,bSave,bStartingPet,bIgnoreSpawnCollision,MinionOffset,MinionScaleMultiplier,Description,DefaultSkill,MinionClass,CharacterCreateMinionClass,ClosestDyeColor,bIsFlying,CharacterSelectIdle,Hitpoints,Damage,LifetimeSeconds,MinionGameplayTags,MinionTypeGameplayTag,TraitString1,TraitString2,TraitString3,TraitString4,TraitString5,Notes
Alpaca01,"NSLOCTEXT(""MinionsTable"", ""2BE78A974A5BB8070F717099C35A5FF0"", ""White Alpaca"")","True","True","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName=""PetBuff_BattleCry"")","/Game/Monsters/petalpaca/petalpaca_01.petalpaca_01_C","/Game/Player/CharacterCreate/petalpaca_charactercreate_01.petalpaca_charactercreate_01_C","(RowName=""PetAlpacaWhite"")","False","None","3.000000","0.500000","0.000000","Character.Minion.Pet","Character.Minion.Alpaca","PetSellItemsTime=120;PetRecoverTime=120","Immortal=1","","","",""
Alpaca02,"NSLOCTEXT(""MinionsTable"", ""8CD740C6413C857A33A127BF4F8F79D1"", ""Golden Alpaca"")","True","True","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName=""PetBuff_BattleCry"")","/Game/Monsters/petalpaca/petalpaca_02.petalpaca_02_C","/Game/Player/CharacterCreate/petalpaca_charactercreate_02.petalpaca_charactercreate_02_C","(RowName=""PetAlpacaGolden"")","False","None","3.000000","0.500000","0.000000","Character.Minion.Pet","Character.Minion.Alpaca","PetSellItemsTime=120;PetRecoverTime=120","Immortal=1","","","",""
Alpaca03,"NSLOCTEXT(""MinionsTable"", ""B36C5EDE496DA6E22AE85F8BF25AE039"", ""Chocolate Alpaca"")","True","True","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName=""PetBuff_BattleCry"")","/Game/Monsters/petalpaca/petalpaca_03.petalpaca_03_C","/Game/Player/CharacterCreate/petalpaca_charactercreate_03.petalpaca_charactercreate_03_C","(RowName=""PetAlpacaChocolate"")","False","None","3.000000","0.500000","0.000000","Character.Minion.Pet","Character.Minion.Alpaca","PetSellItemsTime=120;PetRecoverTime=120","Immortal=1","","","",""
Dragonling01,"NSLOCTEXT(""MinionsTable"", ""106428A744AA74991C72BCA99C319560"", ""Red Dragonling"")","True","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName=""PetBuff_BattleCry"")","/Game/Monsters/petdragonling/petdragonling_01.petdragonling_01_C","None","(RowName="""")","True","/Game/Monsters/petdragonling/animation/petdragonling_idle_03_sitloop.petdragonling_idle_03_sitloop","3.000000","0.500000","0.000000","Character.Minion.Pet","Character.Minion.Dragonling","PetSellItemsTime=120;PetRecoverTime=120","Immortal=1","","","",""
Dragonling02,"NSLOCTEXT(""MinionsTable"", ""4CAC93C040AE9F348F2B619C42406097"", ""Teal Dragonling"")","True","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName=""PetBuff_BattleCry"")","/Game/Monsters/petdragonling/petdragonling_02.petdragonling_02_C","None","(RowName="""")","True","/Game/Monsters/petdragonling/animation/petdragonling_idle_03_sitloop.petdragonling_idle_03_sitloop","3.000000","0.500000","0.000000","Character.Minion.Pet","Character.Minion.Dragonling","PetSellItemsTime=120;PetRecoverTime=120","Immortal=1","","","",""
Dragonling03,"NSLOCTEXT(""MinionsTable"", ""D4B82E1E40930A757BBC1581BB7F5821"", ""Purple Dragonling"")","True","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName=""PetBuff_BattleCry"")","/Game/Monsters/petdragonling/petdragonling_03.petdragonling_03_C","None","(RowName="""")","True","/Game/Monsters/petdragonling/animation/petdragonling_idle_03_sitloop.petdragonling_idle_03_sitloop","3.000000","0.500000","0.000000","Character.Minion.Pet","Character.Minion.Dragonling","PetSellItemsTime=120;PetRecoverTime=120","Immortal=1","","","",""
Owl01,"NSLOCTEXT(""MinionsTable"", ""545DBEC0401E836388172A90FCD75D35"", ""Red Owl"")","True","True","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName=""PetBuff_BattleCry"")","/Game/Monsters/petowl/petowl_01.petowl_01_C","/Game/Player/CharacterCreate/petowl_charactercreate_01.petowl_charactercreate_01_C","(RowName=""PetOwlRed"")","True","/Game/Monsters/petowl/animation/petowl_idle_03_sit.petowl_idle_03_sit","3.000000","0.500000","0.000000","Character.Minion.Pet","Character.Minion.Owl","PetSellItemsTime=120;PetRecoverTime=120","Immortal=1","","","",""
Owl02,"NSLOCTEXT(""MinionsTable"", ""45CAD30C449DDA36EA89D18405B75B08"", ""Golden Owl"")","True","True","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName=""PetBuff_BattleCry"")","/Game/Monsters/petowl/petowl_02.petowl_02_C","/Game/Player/CharacterCreate/petowl_charactercreate_02.petowl_charactercreate_02_C","(RowName=""PetOwlGolden"")","True","/Game/Monsters/petowl/animation/petowl_idle_03_sit.petowl_idle_03_sit","3.000000","0.500000","0.000000","Character.Minion.Pet","Character.Minion.Owl","PetSellItemsTime=120;PetRecoverTime=120","Immortal=1","","","",""
Owl03,"NSLOCTEXT(""MinionsTable"", ""ACCCE2734EA6FA2396F08D8153862CEC"", ""Teal Owl"")","True","True","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName=""PetBuff_BattleCry"")","/Game/Monsters/petowl/petowl_03.petowl_03_C","/Game/Player/CharacterCreate/petowl_charactercreate_03.petowl_charactercreate_03_C","(RowName=""PetOwlTeal"")","True","/Game/Monsters/petowl/animation/petowl_idle_03_sit.petowl_idle_03_sit","3.000000","0.500000","0.000000","Character.Minion.Pet","Character.Minion.Owl","PetSellItemsTime=120;PetRecoverTime=120","Immortal=1","","","",""
Retriever01,"NSLOCTEXT(""MinionsTable"", ""FAC1767846828BC52DB20B92F7BF7286"", ""Golden Retriever"")","True","True","True","(X=-200.000000,Y=300.000000,Z=0.000000)","1.000000","","(RowName=""PetBuff_BattleCry"")","/Game/Monsters/petretriever/petretriever_01.petretriever_01_C","/Game/Player/CharacterCreate/petretriever_charactercreate_01.petretriever_charactercreate_01_C","(RowName=""PetRetrieverGolden"")","False","None","3.000000","0.500000","0.000000","Character.Minion.Pet","Character.Minion.Retriever","PetSellItemsTime=120;PetRecoverTime=120","Immortal=1","","","",""
