---,AffixText,RowType,NoPickWeight,EntryType1,Entry1,WeightOrCount1,EntryType2,Entry2,WeightOrCount2,EntryType3,Entry3,WeightOrCount3,EntryType4,Entry4,WeightOrCount4,EntryType5,Entry5,WeightOrCount5,EntryType6,Entry6,WeightOrCount6,EntryType7,Entry7,WeightOrCount7,EntryType8,Entry8,WeightOrCount8,DataCurves,Entries,Notes
ExampleProperties,"","All","0","SetProperty","bReviveInTown|true","1","SetProperty","AreaGroup|MapWorks","1","SetProperty","MonsterLevelDelta|3","1","SetGameplayTag","SpokeTag|Region.GoblinIsle.GoblinForest","1","SetGameplayTagContainer","ThemedPropTags|Theme.None","1","None","","0","None","","0","None","","0","None","(None,None,None,None,None,None,None,None)",""
MapWorksDungeon_Global,"","Pick","0","GotoRow","MapWorksDungeon_GoblinForest","1","GotoRow","MapWorksDungeon_InfestedForest","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None,None,None,None)",""
MapWorksDungeon_GoblinForest,"","Pick","0","GotoRow","WideLoad","1","GotoRow","Dast","1","GotoRow","Pyro","1","GotoRow","Olgarth","1","GotoRow","Dogjockey","1","None","","0","None","","0","None","","0","None","(None,None,None,None,None,None,None,None)",""
MapWorksDungeon_InfestedForest,"","Pick","0","GotoRow","Krronk","1","GotoRow","Klack","1","GotoRow","Skryck","1","GotoRow","Shrree","1","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None,None,None,None)",""
WideLoad,"","All","0","AddAreaChain","GF2_Caves3_gc1","1","GotoRow","SharedChanges","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None,None,None,None)",""
SpeedRun1,"","All","0","AddAreaChain","SpeedRun1","1","GotoRow","SharedChanges","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Krronk,"","All","0","AddAreaChain","IF2_Forest1","1","None","","0","GotoRow","SharedChanges","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None,None,None,None)",""
Dast,"","All","0","AddAreaChain","GF4_Cave2_gc2","1","None","","0","GotoRow","SharedChanges","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None,None,None,None)",""
Pyro,"","All","0","AddAreaChain","GF3_Forest2","1","None","","0","GotoRow","SharedChanges","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None,None,None,None)",""
Olgarth,"","All","0","AddAreaChain","GF2_Caves2_gc2","1","None","","0","GotoRow","SharedChanges","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None,None,None,None)",""
Dogjockey,"","All","0","AddAreaChain","GF6_Forest2","1","None","","0","GotoRow","SharedChanges","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None,None,None,None)",""
DQ_Dogjockey,"","All","0","AddAreaChain","GF6_Forest2","1","None","","0","GotoRow","SharedChanges","1","GotoRow","AddAffixes_Global","1","None","","0","None","","0","None","","0","None","","0","None","",""
Klack,"","All","0","AddAreaChain","IF1_Caves1","1","None","","0","GotoRow","SharedChanges","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None,None,None,None)",""
Skryck,"","All","0","AddAreaChain","IF1_Caves2","1","None","","0","GotoRow","SharedChanges","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None,None,None,None)",""
Shrree,"","All","0","AddAreaChain","IF3_Caves2_ic2","1","None","","0","GotoRow","SharedChanges","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None,None,None,None)",""
Rotgord,"","All","0","AddAreaChain","GF5_Forest2","1","None","","0","GotoRow","SharedChanges","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","Cemetery"
SharedChanges,"","All","0","GotoRow","AdjustLevels","1","SetProperty","RequiredQuestTask|None","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
AdjustLevels,"","PerArea","0","None","","0","AdjustLevel","1","1","AdjustLevel","2","1","AdjustLevel","3","1","AdjustLevel","3","1","AdjustLevel","3","1","AdjustLevel","3","1","AdjustLevel","3","1","None","(None,None,None,None,None,None,None,None)",""
AddAffixes_Global,"","All","0","AddMonsterAffixByTags","Area.Affix","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None,None,None,None)",""
AddAffixes_GoblinForest,"","Pick","0","AddMonsterAffixByTags","Area.Affix","1","AddMonsterAffixByTags","Region.GoblinIsle.GoblinForest","2","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None,None,None,None)",""
AddAffixes_HyvidForest,"","Pick","0","AddMonsterAffixByTags","Area.Affix","1","AddMonsterAffixByTags","Region.GoblinIsle.InfestedForest","2","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None,None,None,None)",""
ItemLevelBoost,"NSLOCTEXT(""MapWorksTable"", ""ADBC4C9B4D20DA00F38F5CAA40A833D3"", ""+1 Item Level"")","All","0","SetProperty","ItemLevelBonus|1","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None,None,None,None)",""
Hardcore,"NSLOCTEXT(""MapWorksTable"", ""EE5201754E87E4733CBF8089A05FCDB0"", ""Hardcore: Revive in Town"")","All","0","SetProperty","bReviveInTown|true","1","GotoRow","DisablePortal","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None,None,None,None)",""
AreaSize_Epic,"","PerArea","0","SetProperty","AreaSize|2","1","SetProperty","AreaSize|3","1","SetProperty","AreaSize|4","1","SetProperty","AreaSize|4","1","SetProperty","AreaSize|4","1","SetProperty","AreaSize|4","1","SetProperty","AreaSize|4","1","SetProperty","AreaSize|4","1","None","(None,None,None,None,None,None,None,None)",""
DisablePortal,"","All","0","SetGameplayTagContainer","DisallowedSkillTags|Skill.Portal","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None,None,None,None)",""
DisablePotion,"NSLOCTEXT(""MapWorksTable"", ""54C94D254C395D872DE2E5BDB9E4BCB3"", ""Potions Disabled"")","All","0","SetGameplayTagContainer","DisallowedSkillTags|Skill.Potion","1","AppendProperty","ItemExcludeGameplayTags|Item.Potion","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None,None,None,None)",""
PhaseDungeon,"","All","0","SetProbabilisticGameplayTag","LootLuck|Affix.Lifebound=0.4","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None,None,None,None)",""
FortDungeon,"","All","0","AppendProperty","ItemGameplayTags|Item.Currency.FortMapworksChampToken","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None,None,None,None)",""
Monsters_Random,"","Pick","0","GotoRow","Monsters_Goblins","1","GotoRow","Monsters_Hyvid","1","GotoRow","Monsters_Undead","1","None","","0","None","","0","None","","0","None","","0","0","","0","None","(None,None,None,None,None,None,None,None)",""
Monsters_Goblins,"","All","0","SetProperty","MonsterGameplayTags|Region.GoblinIsle.AllForests;Region.GoblinIsle.GoblinForest.Forest","1","SetProperty","PrimaryElement|Element.Fire","1","GotoRow","AddAffixes_GoblinForest","1","SetGameplayTag","SpokeTag|Region.GoblinIsle.GoblinForest","1","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None,None,None,None)",""
Monsters_Dogriders,"","All","0","SetProperty","MonsterGameplayTags|Character.Monster.Goblin.Hounds","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Monsters_Hyvid,"","All","0","SetProperty","MonsterGameplayTags|Character.Monster.Day;Region.GoblinIsle.InfestedForest","1","SetProperty","PrimaryElement|Element.Poison","1","GotoRow","AddAffixes_HyvidForest","1","SetGameplayTag","SpokeTag|Region.GoblinIsle.InfestedForest","1","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None,None,None,None)",""
Monsters_Undead,"","All","0","SetProperty","MonsterGameplayTags|Character.Monster.Undead","1","SetProperty","PrimaryElement|Element.Physical","1","GotoRow","AddAffixes_Global","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None,None,None,None)",""
PickArea,"","All","0","AddAreaChainByFilter","Mapworks.Dungeon.Goblin","1","AddAreaChainByFilter","Mapworks.Dungeon.Infested","1","None","","0","GotoRow","AdjustLevels","1","GotoRow","AddAffixes_Global","1","None","","0","None","","0","None","","0","None","(None,None,None,None,None,None,None,None)",""
ItemLuck_Magic,"NSLOCTEXT(""MapWorksTable"", ""261AA7AD45FFC0A6AAC73B8BDE1599B5"", ""+20% Bonus Gear Luck"")","All","0","SetProbabilisticGameplayTag","LootLuck|Item.Gear=.2","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
GoldLuck_Magic,"NSLOCTEXT(""MapWorksTable"", ""C803A62C446B46797A396B9F86B6F4D4"", ""+30% Bonus Gold Luck"")","All","0","SetProbabilisticGameplayTag","LootLuck|Item.Currency.Gold=.3","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
ItemLuck_Common,"NSLOCTEXT(""MapWorksTable"", ""8DDE74EA4BE4BFEC851E589D82F05BAF"", ""+10% Bonus Gear Luck"")","All","0","SetProbabilisticGameplayTag","LootLuck|Item.Gear=.1","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
GoldLuck_Common,"NSLOCTEXT(""MapWorksTable"", ""0EBEB6654C4F9146F1348A987DF5BA8D"", ""+20% Bonus Gold Luck"")","All","0","SetProbabilisticGameplayTag","LootLuck|Item.Currency.Gold=.2","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
ItemLuck_Rare,"NSLOCTEXT(""MapWorksTable"", ""4B994F7C4C98E10C532C379617D97D89"", ""+35% Bonus Gear Luck"")","All","0","SetProbabilisticGameplayTag","LootLuck|Item.Gear=.35","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
GoldLuck_Rare,"NSLOCTEXT(""MapWorksTable"", ""2B714B9B4A0D4CC9F3498CBFD10BDA92"", ""+50% Bonus Gold Luck"")","All","0","SetProbabilisticGameplayTag","LootLuck|Item.Currency.Gold=.5","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
ItemLuck_Legendary,"NSLOCTEXT(""MapWorksTable"", ""A85DF57444306804CF390989416ED574"", ""+50% Bonus Gear Luck"")","All","0","SetProbabilisticGameplayTag","LootLuck|Item.Gear=.5","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
GoldLuck_Legendary,"NSLOCTEXT(""MapWorksTable"", ""BC4E45A5410D85E33F815091054DF0EE"", ""+70% Bonus Gold Luck"")","All","0","SetProbabilisticGameplayTag","LootLuck|Item.Currency.Gold=.7","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Intro_Fort,"","All","0","AddAreaChain","PlayerFort","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
