---,DisplayName,BaseMonster,AffixString,ShouldSpawnReturnPortal,DestroyAllMonstersOnDie,ScaleMultiplier,HitpointBonusMultiplier,DamageBonusMultiplier,SpeedBonusMultiplier,ExperienceBonusMultiplier,StatusEffect,ItemSpawn,TraitString1,TraitString2,TraitString3,ItemSpawnGameplayTags,Notes
Automaton_Story_Boss,"NSLOCTEXT(""BossTable"", ""17AF97C04B9C39C71E26038D7694C573"", ""Secret Weapon"")","(RowName=""Automaton_Sentry_Fire_Boss"")","Fast","True","True","1.500000","16.000000","0.940000","0.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_MiniBoss_EndCap.StatusEffect_MiniBoss_EndCap_C","Boss","KnockbackResistance=1","","","None","Quest_Goblin_DestroySecretWeapon"
Automaton_Rando_Boss,"NSLOCTEXT(""BossTable"", ""AA1317DB4DD46C771DA28DB95A870936"", ""Frackmaster 2000"")","(RowName=""Automaton_Sentry_Poison_Boss"")","Health","True","False","1.500000","24.000000","0.875000","0.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_MiniBoss_EndCap.StatusEffect_MiniBoss_EndCap_C","Boss","KnockbackResistance=1","","","None",""
Goblin_Brute_Story_Boss,"NSLOCTEXT(""BossTable"", ""090058C94BC0E2A3310CC09671C8556B"", ""Wideload, Mancrusher"")","(RowName=""Goblin_Brute_Boss"")","Knockback","True","True","1.600000","24.000000","1.125000","0.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_MonsterBoss_Wideload.StatusEffect_MonsterBoss_Wideload_C","Goblin_Brute_Story_Boss_Drop","KnockbackResistance=1","Energy.Max=4;Energy.RegenMax=4;Energy.Regen=4","","None",""
Goblin_Brute_Story_Boss2,"NSLOCTEXT(""BossTable"", ""529D7C4647D0D8DD352D7DB8E0F90651"", ""The Overseer"")","(RowName=""Goblin_Brute"")","Lethal","True","True","1.600000","24.000000","1.065000","0.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_Champion_Unique.StatusEffect_Champion_Unique_C","Boss","KnockbackResistance=1","","","None",""
Goblin_Brute_Story_Boss_Demo,"NSLOCTEXT(""BossTable"", ""C234147949CD0CE1D905A1AD06433E52"", ""Wideload, Mancrusher"")","(RowName=""Goblin_Brute_Boss"")","Knockback","True","True","1.600000","24.000000","0.875000","0.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_MonsterBoss_Wideload_Demo.StatusEffect_MonsterBoss_Wideload_Demo_C","Boss","KnockbackResistance=1","Energy.Max=4;Energy.RegenMax=4;Energy.Regen=4","","None",""
GoblinEngineer_Story_Boss,"NSLOCTEXT(""BossTable"", ""F0D028724728999F2C544684FDE89F65"", ""Olgarth"")","(RowName=""Goblin_Engineer2"")","Invigorated","True","True","1.350000","16.000000","1.190000","0.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_Boss_Olgarth.StatusEffect_Boss_Olgarth_C","Boss","KnockbackResistance=1","","","None",""
GoblinEngineer_Story_Boss2,"NSLOCTEXT(""BossTable"", ""0DC79A484DBED7D4ADD2118B8951FC1A"", ""Chief Wingnut"")","(RowName=""Goblin_Engineer"")","Lethal;Blazing","True","True","1.350000","24.000000","1.125000","0.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_MiniBoss_EndCap.StatusEffect_MiniBoss_EndCap_C","Boss","","","","None",""
GoblinRider_Story_Boss,"NSLOCTEXT(""BossTable"", ""1F373E274B23B4DEAE684A9E2814C070"", ""Dogjockey, Goblin Trader"")","(RowName=""Goblin_Rider"")","Knockback","True","True","1.250000","20.000000","0.845000","0.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_MiniBoss_EndCap.StatusEffect_MiniBoss_EndCap_C","Boss","KnockbackResistance=1","","","None",""
Skeleton_Shield_Story_Boss,"NSLOCTEXT(""BossTable"", ""EF8A836748F3A1E811882AB014762F6A"", ""Dast, Fallen Imperial Captain"")","(RowName=""Skeleton_Shield"")","Knockback","True","True","1.350000","20.000000","0.940000","0.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_Boss.StatusEffect_Boss_C","Boss","KnockbackResistance=1","","","None",""
SkeletonShield_Rando_Boss,"NSLOCTEXT(""BossTable"", ""AF72F82F40D4C11D9C35BA9C68AEC430"", ""Darkspell, Spawn of the Well"")","(RowName=""Skeleton_Shield"")","Lethal;Knockback","True","False","1.350000","20.000000","0.940000","0.500000","24.000000","/Game/Monsters/Blueprints/StatusEffect_MiniBoss_EndCap.StatusEffect_MiniBoss_EndCap_C","Boss","KnockbackResistance=1","","","None",""
