---,RowType,NoPickWeight,MinLevel,bErrorIfOutputIsEmpty,EntryType1,Entry1,WeightOrCount1,EntryType2,Entry2,WeightOrCount2,EntryType3,Entry3,WeightOrCount3,EntryType4,Entry4,WeightOrCount4,EntryType5,Entry5,WeightOrCount5,EntryType6,Entry6,WeightOrCount6,EntryType7,Entry7,WeightOrCount7,EntryType8,Entry8,WeightOrCount8,EntryType9,Entry9,WeightOrCount9,EntryType10,Entry10,WeightOrCount10,EntryType11,Entry11,WeightOrCount11,DataCurves,Entries,Notes
SpawnPet_Random,"Pick","0","0","True","GoToMinionSpawnRow","SpawnPet_Random_Common","60","GoToMinionSpawnRow","SpawnPet_Random_Magic","30","GoToMinionSpawnRow","SpawnPet_Random_Rare","9","GoToMinionSpawnRow","SpawnPet_Random_Legendary","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
SpawnPet_Random_Common,"Pick","0","0","True","GoToMinionSpawnRow","SpawnRetriever01","1","GoToMinionSpawnRow","SpawnRetriever02","1","GoToMinionSpawnRow","SpawnRetriever03","1","GoToMinionSpawnRow","SpawnAlpaca01","1","GoToMinionSpawnRow","SpawnAlpaca02","1","GoToMinionSpawnRow","SpawnAlpaca03","1","GoToMinionSpawnRow","SpawnOwl01","1","GoToMinionSpawnRow","SpawnOwl02","1","GoToMinionSpawnRow","SpawnOwl03","1","None","","0","None","","0","None","",""
SpawnPet_Random_Magic,"Pick","0","0","True","GoToMinionSpawnRow","SpawnDragonling02","1","GoToMinionSpawnRow","SpawnWolf01","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
SpawnPet_Random_Rare,"Pick","0","0","True","GoToMinionSpawnRow","SpawnDragonling03","1","GoToMinionSpawnRow","SpawnWolf03","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
SpawnPet_Random_Legendary,"Pick","0","0","True","GoToMinionSpawnRow","SpawnDragonling01","1","GoToMinionSpawnRow","SpawnWolf02","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
SpawnAlpaca01,"All","0","0","False","AddMinionByName","Alpaca01","1","GoToMinionSpawnRow","AddSkill_Random_Common","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","White Alpaca"
SpawnAlpaca02,"All","0","0","False","AddMinionByName","Alpaca02","1","GoToMinionSpawnRow","AddSkill_Random_Common","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","Golden Alpaca"
SpawnAlpaca03,"All","0","0","False","AddMinionByName","Alpaca03","1","GoToMinionSpawnRow","AddSkill_Random_Common","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","Chocolate Alpaca"
SpawnRetriever01,"All","0","0","False","AddMinionByName","Retriever01","1","GoToMinionSpawnRow","AddSkill_Random_Common","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","Golden Retriever"
SpawnRetriever02,"All","0","0","False","AddMinionByName","Retriever02","1","GoToMinionSpawnRow","AddSkill_Random_Common","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","Chocolate Retriever"
SpawnRetriever03,"All","0","0","False","AddMinionByName","Retriever03","1","GoToMinionSpawnRow","AddSkill_Random_Common","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","Silver Retriever"
SpawnOwl01,"All","0","0","False","AddMinionByName","Owl01","1","GoToMinionSpawnRow","AddSkill_Random_Common","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","Red Owl"
SpawnOwl02,"All","0","0","False","AddMinionByName","Owl02","1","GoToMinionSpawnRow","AddSkill_Random_Common","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","Golden Owl"
SpawnOwl03,"All","0","0","False","AddMinionByName","Owl03","1","GoToMinionSpawnRow","AddSkill_Random_Common","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","Teal Owl"
SpawnDragonling01,"All","0","0","False","AddMinionByName","Dragonling01","1","GoToMinionSpawnRow","AddSkill_Random_Legendary","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","Red Dragonling"
SpawnDragonling02,"All","0","0","False","AddMinionByName","Dragonling02","1","GoToMinionSpawnRow","AddSkill_Random_Magic","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","Teal Dragonling"
SpawnDragonling03,"All","0","0","False","AddMinionByName","Dragonling03","1","GoToMinionSpawnRow","AddSkill_Random_Rare","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","Purple Dragonling"
