---,AssignableSkillSet,DisplayName,Icon,Background,EmberWeaponHeaderBackground,EmberWeaponIcon,EmberWeaponFlavorText,UIColor,SkillTabType,GameplayTagRequireAny,GameplayTagExcludeAny,Notes
DM_Light,"Default","NSLOCTEXT(""SkillsTabTable"", ""A493CE874B95208A882AAC9FCD02B0E7"", ""Light"")","PaperSprite'/Game/UI/Textures/Atlases/Inventory/Frames/T_UI-SkillLightIcon_png.T_UI-SkillLightIcon_png'","Texture2D'/Game/UI/Textures/LooseIcons/T_UI-SkillTabBackground-light.T_UI-SkillTabBackground-light'","None","None","","(R=1.000000,G=0.768600,B=0.109800,A=1.000000)","PlayerClass","(GameplayTags=((TagName=""Skill.DuskMage.Light"")))","(GameplayTags=)",""
DM_Dark,"Default","NSLOCTEXT(""SkillsTabTable"", ""54BB7EF34032EDA164098893DA106009"", ""Dark"")","PaperSprite'/Game/UI/Textures/Atlases/Inventory/Frames/T_UI-SkillDarkIcon_png.T_UI-SkillDarkIcon_png'","Texture2D'/Game/UI/Textures/LooseIcons/T_UI-SkillTabBackground-dark.T_UI-SkillTabBackground-dark'","None","None","","(R=0.690000,G=0.000000,B=1.000000,A=1.000000)","PlayerClass","(GameplayTags=((TagName=""Skill.DuskMage.Dark"")))","(GameplayTags=)",""
RM_Melee,"Default","NSLOCTEXT(""SkillsTabTable"", ""2ABA1EEA4345367B06B73D81E00E5C31"", ""Lineage"")","PaperSprite'/Game/UI/Textures/Atlases/Inventory/Frames/T_UI-SkillLineageIcon_png.T_UI-SkillLineageIcon_png'","Texture2D'/Game/UI/Textures/LooseIcons/T_UI-SkillTabBackground-Lineage.T_UI-SkillTabBackground-Lineage'","None","None","","(R=0.031114,G=0.132755,B=0.161458,A=1.000000)","PlayerClass","(GameplayTags=((TagName=""Skill.Railman.Melee"")))","(GameplayTags=)",""
RM_Turret,"Default","NSLOCTEXT(""SkillsTabTable"", ""25CF220645F801200EC2DFB2B8F78526"", ""Conductor"")","PaperSprite'/Game/UI/Textures/Atlases/Inventory/Frames/T_UI-SkillTrainIcon_png.T_UI-SkillTrainIcon_png'","Texture2D'/Game/UI/Textures/LooseIcons/T_UI-SkillTabBackground-Train.T_UI-SkillTabBackground-Train'","None","None","","(R=0.385417,G=0.123993,B=0.022081,A=1.000000)","PlayerClass","(GameplayTags=((TagName=""Skill.Railman.Turret"")))","(GameplayTags=)",""
Forged_Melee,"Default","NSLOCTEXT(""SkillsTabTable"", ""8D93CD264D1A1597E304B19471F0AD2E"", ""Brawl"")","PaperSprite'/Game/UI/Textures/Atlases/Inventory/Frames/T_UI-SkillMeleeIcon_png.T_UI-SkillMeleeIcon_png'","Texture2D'/Game/UI/Textures/LooseIcons/T_UI-SkillTabBackground-Forged-Melee.T_UI-SkillTabBackground-Forged-Melee'","None","None","","(R=0.312500,G=0.081886,B=0.013021,A=1.000000)","PlayerClass","(GameplayTags=((TagName=""Skill.Forged.Melee"")))","(GameplayTags=)",""
Forged_Ranged,"Default","NSLOCTEXT(""SkillsTabTable"", ""C6B053994B332610B2D070890FD797E3"", ""Barrage"")","PaperSprite'/Game/UI/Textures/Atlases/Inventory/Frames/T_UI-SkillRangeIcon_png.T_UI-SkillRangeIcon_png'","Texture2D'/Game/UI/Textures/LooseIcons/T_UI-SkillTabBackground-Forged-Ranged.T_UI-SkillTabBackground-Forged-Ranged'","None","None","","(R=0.066626,G=0.283149,B=0.496933,A=1.000000)","PlayerClass","(GameplayTags=((TagName=""Skill.Forged.Ranged"")))","(GameplayTags=)",""
Pet,"Pet","NSLOCTEXT(""SkillsTabTable"", ""12EB88C64F1152A4E492319E3AE95779"", ""Pet"")","PaperSprite'/Game/UI/Textures/Atlases/Inventory/Frames/T_UI-inventoryPet_png.T_UI-inventoryPet_png'","Texture2D'/Game/UI/Textures/LooseIcons/T_UI-SkillTabBackground-Range.T_UI-SkillTabBackground-Range'","None","None","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","Pet","(GameplayTags=((TagName=""Skill.Pet"")))","(GameplayTags=((TagName=""Skill.Pet.Basic"")))",""
NoEmberWeapon,"None","","PaperSprite'/Game/UI/Textures/Atlases/Inventory/Frames/T_UI-SkillRelicIcon_png.T_UI-SkillRelicIcon_png'","None","None","None","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","NoEmberWeapon","(GameplayTags=)","(GameplayTags=)","Mostly here to help keep the code clean and select the no ember weapon tab"
BloodDrinker,"Default","NSLOCTEXT(""SkillsTabTable"", ""775516034B441E128840BC933B2E3F61"", ""Blood Drinker"")","PaperSprite'/Game/UI/Textures/Atlases/Inventory/Frames/T_UI-SkillRelicIcon_png.T_UI-SkillRelicIcon_png'","Texture2D'/Game/UI/Textures/LooseIcons/T_UI-RelicPanelBkgrndArea-Blood.T_UI-RelicPanelBkgrndArea-Blood'","Texture2D'/Game/UI/Textures/LooseIcons/T_UI-RelicPanelTopArea-Blood.T_UI-RelicPanelTopArea-Blood'","Texture2D'/Game/UI/Textures/LooseIcons/T_UI-RelicWeapon-BloodDrinker.T_UI-RelicWeapon-BloodDrinker'","NSLOCTEXT(""SkillsTabTable"", ""D0F6BFFB4DE37D6985A0EC832469E887"", ""Blood Drinker always thirsts."")","(R=0.380208,G=0.017697,B=0.000000,A=1.000000)","EmberWeapon","(GameplayTags=((TagName=""Skill.EmberWeapon.BloodDrinker"")))","(GameplayTags=)",""
FlamingDestroyer,"Default","NSLOCTEXT(""SkillsTabTable"", ""66AF5DA1485051075E84C99BB90D649A"", ""Flaming Destroyer"")","PaperSprite'/Game/UI/Textures/Atlases/Inventory/Frames/T_UI-SkillRelicIcon_png.T_UI-SkillRelicIcon_png'","Texture2D'/Game/UI/Textures/LooseIcons/T_UI-RelicPanelBkgrndArea-Fire.T_UI-RelicPanelBkgrndArea-Fire'","Texture2D'/Game/UI/Textures/LooseIcons/T_UI-RelicPanelTopArea-Fire.T_UI-RelicPanelTopArea-Fire'","Texture2D'/Game/UI/Textures/LooseIcons/T_UI-RelicWeapon-FlamingDestroyer.T_UI-RelicWeapon-FlamingDestroyer'","NSLOCTEXT(""SkillsTabTable"", ""A779C632499AED432C9C60A4D23F66DD"", ""Smash.  Burn.  Explode."")","(R=1.000000,G=0.062500,B=0.062500,A=1.000000)","EmberWeapon","(GameplayTags=((TagName=""Skill.EmberWeapon.FlamingDestroyer"")))","(GameplayTags=)",""
