---,RowType,NoPickWeight,MinLevel,bErrorIfOutputIsEmpty,EntryType1,Entry1,WeightOrCount1,EntryType2,Entry2,WeightOrCount2,EntryType3,Entry3,WeightOrCount3,EntryType4,Entry4,WeightOrCount4,EntryType5,Entry5,WeightOrCount5,EntryType6,Entry6,WeightOrCount6,EntryType7,Entry7,WeightOrCount7,EntryType8,Entry8,WeightOrCount8,EntryType9,Entry9,WeightOrCount9,EntryType10,Entry10,WeightOrCount10,EntryType11,Entry11,WeightOrCount11,DataCurves,Entries,Notes
PickFormat,"All","0","0","False","InitializeName","{BaseName}","1","GoToNameSpawnRow","MaybeAddTitles","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
MaybeAddTitles,"Pick","12","0","False","GoToNameSpawnRow","AddPreTitle","6","GoToNameSpawnRow","AddPostTitle","6","GoToNameSpawnRow","AddBothTitles","2","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
MaybeAddPreTitle,"Pick","3","0","False","GoToNameSpawnRow","AddPreTitle","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
AddPreTitle,"Pick","0","0","False","SetNameParameter","BaseName|{PreTitle} {BaseName}","2","SetNameParameter","BaseName|{PreTitlePrefix}{PreTitleSuffix} {BaseName}","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
AddPostTitle,"Pick","0","0","False","SetNameParameter","BaseName|{BaseName} the {TheTitle}","3","SetNameParameter","BaseName|{BaseName}, {OfTitleFirst} of {OfTitleSecond}","2","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
AddBothTitles,"All","0","0","False","GoToNameSpawnRow","AddPreTitle","1","GoToNameSpawnRow","AddPostTitle","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
PickFormatNoPostTitle,"All","0","0","False","InitializeName","{BaseName}","1","GoToNameSpawnRow","MaybeAddPreTitle","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
GoblinName,"All","0","0","False","GoToNameSpawnRow","PickFormat","1","GoToNameSpawnRow","GoblinPrefixSuffix","1","GoToNameSpawnRow","GoblinOfTitle","1","GoToNameSpawnRow","GoblinTheTitleExpansion","1","GoToNameSpawnRow","GoblinTheTitle","1","GoToNameSpawnRow","GoblinPreTitle","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
GoblinPrefixSuffix,"All","0","0","False","SetNameParameter","BaseName|{Prefix}{Suffix}","1","SetNameParameter","Prefix|Gob/Grim/Shim/Yub/Nub/Lub/Krig/Ur/Big/Frig/Dig/Yap/Slip/Kur/Zub/Zib/Woo/Igg/Stig/Pork/Pum","1","SetNameParameter","Suffix|lips/snuck/bog/blip/wim/smip/lobble/wobble/stink/shanks/tik/rim/licker/zim/grob/oo/vikler/per","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
GoblinTheTitleExpansion,"Pick","3","0","False","SetNameParameter","TheTitle|{TheTitleModifier} {TheTitle}","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
GoblinTheTitle,"All","0","0","False","SetNameParameter","TheTitle|Moldy/Gross/Bold/Wild/Cowardly/Unpleasant/Wicked/Slow/Stupid/Moist/Dank","1","SetNameParameter","TheTitleModifier|Least/Most/Very/Mostly/Sometimes/Occasionally/Would-Be","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
GoblinOfTitle,"All","0","0","False","SetNameParameter","OfTitleFirst|Keeper/Holder/Master/Sweeper/Grabber/Snatcher/Borrower/Lord/","1","SetNameParameter","OfTitleSecond|Spoons/Swords/Guts/Bones/Trinkets/Shinies/Skulls/Blood/Slime/Foulness/Stinks","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
GoblinPreTitle,"All","0","0","False","SetNameParameter","PreTitle|Watcher/Farmer/Leader/Master/Lord/Father/Mother/Sir","1","SetNameParameter","PreTitlePrefix|Pack/Team/Gaggle/Foe/Dog/Hound/Muck/Gob/Dead","1","SetNameParameter","PreTitleSuffix|leader/master/lord/tamer/mother/father/farmer","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
SkeletonName,"All","0","0","False","GoToNameSpawnRow","PickFormat","1","GoToNameSpawnRow","SkeletonNameStyle","1","GoToNameSpawnRow","SkeletonOfTitle","1","SetNameParameter","TheTitle|Atrocious/Barbaric/Vile/Grim/Cruel/Bloodthirsty/Unkillable/Immortal/Foul/Fetid/Fierce/Endless/Unending/Unyielding/Indomitable/Incorrigable","1","GoToNameSpawnRow","SkeletonPreTitle","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
SkeletonNameStyle,"Pick","0","0","False","GoToNameSpawnRow","SkeletonGibberishPrefixSuffix","1","GoToNameSpawnRow","SkeletonEnglishPrefixSuffix","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
SkeletonGibberishPrefixSuffix,"All","0","0","False","SetNameParameter","BaseName|{Prefix}{Suffix}","1","SetNameParameter","Prefix|Kreig/Ur'/Pal/Yur'/Reig/Lau/Vice/Xer/Wrath/Rawn/Wrik/Our/Corth/Sinn/Ar'","1","SetNameParameter","Suffix|baur/win/yek/ir/volin/lin/er/az/ets/alor/nath","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
SkeletonEnglishPrefixSuffix,"All","0","0","False","SetNameParameter","BaseName|{Prefix}{Suffix}","1","SetNameParameter","Prefix|Rattle/Brittle/Dry/Grim/Dark/Dust/Pale/Stark/Break/Snap/Clatter","1","SetNameParameter","Suffix|bones/lock/knees/joints/fiend/lord","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
