---,Type,Item,Prop,Trait,Currency,Pet,PetSpawn,Spawn,AffixSpawn,SpawnLevelFrom,SpawnLevelFixed,SpawnLevelAdd,SpawnLevelMult,Query,RequiredItemLevel,Tags,TagQuery,Quantity,bDropOnGround,TraitParameterRowName,bLimitedTime,bApplyToFortProp,StatusEffectClass,StatusEffectDuration,Notes
ContractReward_TestEmberWeapon,Item,"(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",0,FALSE,None,TRUE,FALSE,None,0,
ContractReward_TestFortProp,FortProp,"(RowName="""")","(RowName=""GoblinMinerStatue_Copper"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",0,FALSE,None,FALSE,FALSE,None,0,
SpokeReward_Fame,RandomDrop,"(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName=""Fame_500"")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
GoldBag,Item,"(RowName=""GoldBag"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
MagicItemBag,Item,"(RowName=""RandomMagicItemBag"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
RareItemBag,Item,"(RowName=""RandomRareItemBag"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
WoodLogs_25,Currency,"(RowName="""")","(RowName="""")","(RowName="""")","(RowName=""WoodLog_T1_Ash"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",25,FALSE,None,FALSE,FALSE,None,0,
WoodLogs_100,Item,"(RowName=""WoodLogsBag"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
WoodPlanks_90,Item,"(RowName=""WoodPlanksBag"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
MetalNuggets_25,Currency,"(RowName="""")","(RowName="""")","(RowName="""")","(RowName=""MetalNugget_T1_Tin"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",25,FALSE,None,FALSE,FALSE,None,0,
MetalNuggets_100,Item,"(RowName=""MetalNuggetsBag"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
MetalBars_90,Item,"(RowName=""MetalBarsBag"")","(RowName="""")","(RowName="""")","(RowName=""BloodGems"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
StoneRocks_25,Currency,"(RowName="""")","(RowName="""")","(RowName="""")","(RowName=""StoneBlock_T1_Sandstone"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",25,FALSE,None,FALSE,FALSE,None,0,
StoneRocks_100,Item,"(RowName=""StoneRocksBag"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
StoneBlocks_90,Item,"(RowName=""StoneBlocksBag"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
RareWood_10,Item,"(RowName=""RareWoodBag"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
RareStone_10,Item,"(RowName=""RareStoneBag"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
RareMetal_10,Item,"(RowName=""RareMetalBag"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
RelicCore_TBD,Item,"(RowName=""EmberCore_FireStriker"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
RelicSlot,Currency,"(RowName="""")","(RowName="""")","(RowName="""")","(RowName=""RelicStorageSlots"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
FortProp_Common_Crates_Quantity5,FortProp,"(RowName="""")","(RowName=""CrateGroup"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",5,FALSE,None,FALSE,FALSE,None,0,
FortProp_Common_Campfire_Quanity2,FortProp,"(RowName="""")","(RowName=""Campfire_Stone"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",2,FALSE,None,FALSE,FALSE,None,0,
FortProp_Rare_GoblinSkulls_Quantity5,FortProp,"(RowName="""")","(RowName=""SkullsPile_Goblins"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",5,FALSE,None,FALSE,FALSE,None,0,
FortProp_Magic_CartographersRug_Quantity1,FortProp,"(RowName="""")","(RowName=""Rug_ImperialOutpost_02"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
