---,QuestRewardText,QuestRewardIconGameplayTag,RowType,NoPickWeight,MinLevel,bErrorIfOutputIsEmpty,bRetryIfPickIsEmpty,EntryType1,Entry1,WeightOrCount1,EntryType2,Entry2,WeightOrCount2,EntryType3,Entry3,WeightOrCount3,EntryType4,Entry4,WeightOrCount4,EntryType5,Entry5,WeightOrCount5,EntryType6,Entry6,WeightOrCount6,EntryType7,Entry7,WeightOrCount7,EntryType8,Entry8,WeightOrCount8,EntryType9,Entry9,WeightOrCount9,EntryType10,Entry10,WeightOrCount10,EntryType11,Entry11,WeightOrCount11,DataCurves,Entries,Notes
NoLoot,"","(TagName="""")","Pick","0","0","False","False","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Popcorn,"","(TagName="""")","Each","0","0","False","False","GotoItemSpawnRow","Popcorn_Normal","1","GotoItemSpawnRow","Popcorn_Luck_Gear","1","GotoItemSpawnRow","Popcorn_Luck_Potion","1","GotoItemSpawnRow","Popcorn_Luck_Gold","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None)",""
Popcorn_Normal,"","(TagName="""")","Pick","95","0","False","False","GotoItemSpawnRow","PickLoot","5","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Popcorn_Luck_Gear,"","(TagName="""")","Pick_Curve","0","0","False","False","GotoItemSpawnRow","NoLoot","0","GotoItemSpawnRow","Gear_Lucky","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","Popcorn_NoGear;Popcorn_Gear-Item.Gear","(None,None)",""
Popcorn_Luck_Potion,"","(TagName="""")","Pick_Curve","0","0","False","False","GotoItemSpawnRow","NoLoot","0","GotoItemSpawnRow","Potion_Lucky","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","Popcorn_NoPotion;Popcorn_Potion-Item.Potion","(None,None)",""
Popcorn_Luck_Gold,"","(TagName="""")","Pick_Curve","0","0","False","False","GotoItemSpawnRow","NoLoot","0","GotoItemSpawnRow","Gold_Lucky","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","Popcorn_NoGold;Popcorn_Gold-Item.Currency.Gold","(None,None)",""
Standard,"","(TagName="""")","Each","0","0","False","False","GotoItemSpawnRow","Standard_Normal","1","GotoItemSpawnRow","Standard_Luck_Gear","1","GotoItemSpawnRow","Standard_Luck_Potion","1","GotoItemSpawnRow","Standard_Luck_Gold","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None)",""
Standard_Normal,"","(TagName="""")","Pick","85","0","False","False","GotoItemSpawnRow","PickLoot","15","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Standard_Luck_Gear,"","(TagName="""")","Pick_Curve","0","0","False","False","GotoItemSpawnRow","NoLoot","0","GotoItemSpawnRow","Gear_Lucky","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","Standard_NoGear;Standard_Gear-Item.Gear","(None,None)",""
Standard_Luck_Potion,"","(TagName="""")","Pick_Curve","0","0","False","False","GotoItemSpawnRow","NoLoot","0","GotoItemSpawnRow","Potion_Lucky","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","Standard_NoPotion;Standard_Potion-Item.Potion","(None,None)",""
Standard_Luck_Gold,"","(TagName="""")","Pick_Curve","0","0","False","False","GotoItemSpawnRow","NoLoot","0","GotoItemSpawnRow","Gold_Lucky","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","Standard_NoGold;Standard_Gold-Item.Currency.Gold","(None,None)",""
Tough,"","(TagName="""")","Each","0","0","False","False","GotoItemSpawnRow","Tough_Normal","1","GotoItemSpawnRow","Tough_Luck_Gear","1","GotoItemSpawnRow","Tough_Luck_Potion","1","GotoItemSpawnRow","Tough_Luck_Gold","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None)",""
Tough_Normal,"","(TagName="""")","Pick","75","0","False","False","GotoItemSpawnRow","PickLoot","25","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Tough_Luck_Gear,"","(TagName="""")","Pick_Curve","0","0","False","False","GotoItemSpawnRow","NoLoot","0","GotoItemSpawnRow","Gear_Lucky","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","Tough_NoGear;Tough_Gear-Item.Gear","(None,None)",""
Tough_Luck_Potion,"","(TagName="""")","Pick_Curve","0","0","False","False","GotoItemSpawnRow","NoLoot","0","GotoItemSpawnRow","Potion_Lucky","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","Tough_NoPotion;Tough_Potion-Item.Potion","(None,None)",""
Tough_Luck_Gold,"","(TagName="""")","Pick_Curve","0","0","False","False","GotoItemSpawnRow","NoLoot","0","GotoItemSpawnRow","Gold_Lucky","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","Tough_NoGold;Tough_Gold-Item.Currency.Gold","(None,None)",""
Minion,"","(TagName="""")","Each","0","0","False","False","GotoItemSpawnRow","Tough_Normal","1","GotoItemSpawnRow","Minion_Potion","1","GotoItemSpawnRow","Tough_Luck_Gear","1","GotoItemSpawnRow","Tough_Luck_Potion","1","GotoItemSpawnRow","Tough_Luck_Gold","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None)",""
Minion_Potion,"","(TagName="""")","Pick","3","0","False","False","GotoItemSpawnRow","Potion","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Champion,"","(TagName="""")","Each","0","0","False","False","GotoItemSpawnRow","Champion_Normal","1","GotoItemSpawnRow","Champ_Luck_Gear","1","GotoItemSpawnRow","Champ_Luck_Potion","1","GotoItemSpawnRow","Champ_Luck_Gold","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None)",""
Champion_Normal,"","(TagName="""")","Each","0","0","False","False","GotoItemSpawnRow","Gear_MagicMin","1","GotoItemSpawnRow","Gold","4","GotoItemSpawnRow","Potion_Champs","1","GotoItemSpawnRow","EnchantingRecipes","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None)",""
Champion_Legendary,"","(TagName="""")","Each","0","0","False","False","GotoItemSpawnRow","Champion_Normal","1","GotoItemSpawnRow","Gear_MagicMin","1","GotoItemSpawnRow","Gold","2","GotoItemSpawnRow","Champ_Luck_Gear","1","GotoItemSpawnRow","Champ_Luck_Potion","1","GotoItemSpawnRow","Champ_Luck_Gold","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None)",""
Champion_Unique,"","(TagName="""")","Each","0","0","False","False","GotoItemSpawnRow","Champion_Normal","1","GotoItemSpawnRow","Gear_MagicMin","2","GotoItemSpawnRow","Gold","4","GotoItemSpawnRow","Champ_Luck_Gear","1","GotoItemSpawnRow","Champ_Luck_Potion","1","GotoItemSpawnRow","Champ_Luck_Gold","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None)",""
