---,MinLevel,MaxLevel,DropWeight,MaxCount,TextFormat,ItemTextFormat,bAlwaysShowAffixName,bIsPrimaryAffix,TraitType,AffixGameplayTags,AffixCurveValue1,AffixCurveValue2,AffixCurveValue3,AffixCurveValue4,AffixCurveValue5,AffixCurveValue6,TraitString,Normal,Magic,Rare,Legendary,Unique,EnchantingMagicMultipliers,EnchantingRareMultipliers,EnchantingLegendaryMultipliers,LifeboundMultiplier,TextOnDrop,Notes
AlwaysCritFrozenEnemies,"1.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""E66552FE48A9DDECDB95F7A66AF5AC88"", ""Always Critically Hit Frozen enemies."")","","False","False","Weapon","Affix.Secondary;Item.Weapon.Global;Item.Weapon.1H;Item.Weapon.2H;;Item.Armour.Chest;Item.Armour.Shoulders;Item.Armour.Boots;Item.Armour.Hatch","Ones","None","None","None","None","None","CriticalHitChanceVs|StatusEffect.Frozen","","","","","","","","","1.200000","","Legendary Secondary"
AttackSpeedBonus,"1.000000","100.000000","100","1","NSLOCTEXT(""AffixTable"", ""8A22EBC04B8724CFACC513BEFCC053E9"", ""+{0%}% Attack Speed for Basic Attacks"")","","False","False","Weapon","Affix.Secondary;Affix.NonElemental;Item.Weapon.1H;Item.Weapon.2H;Item.Weapon.Focus;Item.Armour.Gloves;Item.Armour.AmmoBag","AttackSpeed","None","None","None","None","None","AttackSpeedBonusMult|Skill.Weapon",".3-.5",".6-.72",".7-.85",".9-1.1","","","","","1.200000","",""
Block,"1.000000","100.000000","200","1","NSLOCTEXT(""AffixTable"", ""EBA0D6284139AB8C3CDC668ED7EFCD91"", ""{0%}% chance to Block"")","","False","True","Default","Affix.Primary;Affix.NonElemental;Item.Weapon.Shield;Affix.Block;Item.Pet.Collar","BlockChance","None","None","None","None","None","BlockChance","4-5","4.8-5.8","5.6-6.6","6.4-7.2","","","","","1.200000","",""
Block_Strong,"1.000000","100.000000","200","1","NSLOCTEXT(""AffixTable"", ""EBA0D6284139AB8C3CDC668ED7EFCD91"", ""{0%}% chance to Block"")","","False","True","Default","Affix.Primary;Item.Weapon.Shield;Affix.Block","BlockChance","None","None","None","None","None","BlockChance","5-6.25","6-7.25","8.4-9.9","9.6-10.8","","","","","1.200000","",""
Block_Secondary,"1.000000","100.000000","200","1","NSLOCTEXT(""AffixTable"", ""0838E6BC43B4350983BD518895C2243E"", ""+{0%}% chance to Block"")","","False","False","Default","Affix.Secondary;Affix.NonElemental;Item.Weapon.Shield;Affix.Block;Item.Pet.Collar","BlockChance","None","None","None","None","None","BlockChance","1-1.75","1.5-2.25","2-3.5","3.25-4.75","","","","","1.200000","",""
CriticalHit_Bonus,"1.000000","100.000000","200","0","NSLOCTEXT(""AffixTable"", ""6FC68E1947308CB3DCB3A397A5E7DD41"", ""+{0%}% bonus to Critical Damage"")","NSLOCTEXT(""AffixTable"", ""96800F7C485D2EDBE0DD118179AC8151"", ""{0} of Power"")","False","False","Weapon","Affix.Secondary;Affix.NonElemental;Item.Weapon.1H;Item.Weapon.2H;Item.Weapon.Focus;Item.Weapon.Cannon","CritBonusDamage","None","None","None","None","None","CriticalDamageBonus","","1-1.6","1.37-2.35","2.05-3","","","","","1.200000","",""
CriticalHit_Bonus_Armor,"1.000000","100.000000","200","0","NSLOCTEXT(""AffixTable"", ""6FC68E1947308CB3DCB3A397A5E7DD41"", ""+{0%}% bonus to Critical Damage"")","","False","False","Default","Affix.Secondary;Affix.NonElemental;Item.Armour.Chest;Item.Armour.Shoulders;Item.Armour.Boots;Item.Armour.Hatch;Item.Armour.AmmoBag;Item.Pet.Tag","CritBonusDamage","None","None","None","None","None","CriticalDamageBonus","","0.4-0.9","0.75-1.2","1-1.5","","","","","1.200000","",""
CriticalHit_Chance,"1.000000","100.000000","400","0","NSLOCTEXT(""AffixTable"", ""2B9A08134E3C6C262B6798808DD06676"", ""+{0%}% Critical Hit chance"")","NSLOCTEXT(""AffixTable"", ""81AC2FC1403D4D130C0D27A5F45E84A7"", ""{0} of Precision"")","False","False","Weapon","Affix.Secondary;Affix.NonElemental;Item.Weapon.1H;Item.Weapon.2H;Item.Weapon.Focus;Item.Weapon.Cannon","CritChance","None","None","None","None","None","CriticalHitChance",".6-1","1.2-2.25","2.05-2.5","2.35-3.2","","","","","1.200000","",""
CriticalHit_Chance_Armor,"1.000000","100.000000","400","0","NSLOCTEXT(""AffixTable"", ""2B9A08134E3C6C262B6798808DD06676"", ""+{0%}% Critical Hit chance"")","","False","False","Default","Affix.Secondary;Affix.NonElemental;Item.Armour.Pants;Item.Armour.Locomotion;Item.Armour.Helm;Item.Armour.Shoulders;Item.Armour.AmmoBag;Item.Pet.Tag","CritChance","None","None","None","None","None","CriticalHitChance","","0.5-1","0.8-1.4","1.2-1.6","","","","","1.200000","",""
CriticalHit_Chance_vsBleed,"1.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""6F846EA6498D1B6773AEF3B7E2FB3318"", ""+{0%}% Critical Hit chance vs. Bleeding targets"")","","False","False","Default","Affix.Secondary;Affix.NonElemental;Item.Weapon.1H;Item.Weapon.2H;Item.Weapon.Focus;Item.Armour.Gloves;Item.Pet.Tag","CritChance","None","None","None","None","None","CriticalHitChanceVs|StatusEffect.Bleed","","2-3.5","3-4.5","4.0-6.0","","","","","1.200000","","Legendary Secondary"
CriticalHit_Chance_vsBurn,"1.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""E17E579B4867436888B04CA5C9B67B6B"", ""+{0%}% Critical Hit chance vs. Burning targets"")","","False","False","Default","Affix.Secondary;Affix.NonElemental;Item.Weapon.1H;Item.Weapon.2H;Item.Weapon.Focus;Item.Armour.Gloves;Item.Pet.Tag","CritChance","None","None","None","None","None","CriticalHitChanceVs|StatusEffect.Burn","","2-3.5","3-4.5","4.0-6.0","","","","","1.200000","","Legendary Secondary"
CriticalHit_Chance_vsChilled,"1.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""C9A78F76472C4669B62969AEF89EE3F7"", ""+{0%}% Critical Hit chance vs. Chilled targets"")","","False","False","Default","Affix.Secondary;Affix.NonElemental;Item.Weapon.1H;Item.Weapon.2H;Item.Weapon.Focus;Item.Armour.Gloves;Item.Pet.Tag","CritChance","None","None","None","None","None","CriticalHitChanceVs|StatusEffect.Chilled","","2-3.5","3-4.5","4.0-6.0","","","","","1.200000","","Legendary Secondary"
CriticalHit_Chance_vsFear,"1.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""79BFD9DE4D197CB390CB1295CC3B9E13"", ""+{0%}% Critical Hit chance vs. Feared targets"")","","False","False","Default","Affix.Secondary;Affix.NonElemental;Item.Weapon.1H;Item.Weapon.2H;Item.Weapon.Focus;Item.Armour.Gloves;Item.Pet.Tag","CritChance","None","None","None","None","None","CriticalHitChanceVs|StatusEffect.Fear","","3-4","4-6","7.0-8.0","","","","","1.200000","","Legendary Secondary"
CriticalHit_Chance_vsFrozen,"1.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""BE43E987477F903F49ECB0BC60FAD39A"", ""+{0%}% Critical Hit chance vs. Frozen targets"")","","False","False","Default","Affix.Secondary;Affix.NonElemental;Item.Weapon.1H;Item.Weapon.2H;Item.Weapon.Focus;Item.Armour.Gloves;Item.Pet.Tag","CritChance","None","None","None","None","None","CriticalHitChanceVs|StatusEffect.Frozen","","2-3.5","3-4.5","4-6","","","","","1.200000","","Legendary Secondary"
CriticalHit_Chance_vsGoblins,"10.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""764D8666419B8B1648FDF3B7638A3482"", ""+{0%}% Critical Hit chance vs. Goblins"")","","False","False","Default","Affix.Secondary;Affix.NonElemental;Item.Weapon.1H;Item.Weapon.2H;Item.Weapon.Focus;Item.Armour.Gloves;Item.Pet.Tag","CritChance","None","None","None","None","None","CriticalHitChanceVs|Character.Monster.Goblin","","1.5-2.5","2-3","3.0-5.0","","","","","1.200000","","Legendary Secondary"
CriticalHit_Chance_vsImmobilize,"1.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""DC04F27144924889460147B25600CDB4"", ""+{0%}% Critical Hit chance vs. Immobilized targets"")","","False","False","Default","Affix.Secondary;Affix.NonElemental;Item.Weapon.1H;Item.Weapon.2H;Item.Weapon.Focus;Item.Armour.Gloves;Item.Pet.Tag","CritChance","None","None","None","None","None","CriticalHitChanceVs|StatusEffect.Immobilize","","2-3.5","3-4.5","4.0-6.0","","","","","1.200000","","Legendary Secondary"
CriticalHit_Chance_vsNetherim,"10.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""B776E07C4C66A2AC0D3BC4B99893079C"", ""+{0%}% Critical Hit chance vs. Netherim"")","","False","False","Default","Affix.Secondary;Affix.NonElemental;Item.Weapon.1H;Item.Weapon.2H;Item.Weapon.Focus;Item.Armour.Gloves;Item.Pet.Tag","CritChance","None","None","None","None","None","CriticalHitChanceVs|Character.Monster.Netherim","","1.5-2.5","2-3","3.0-5.0","","","","","1.200000","","Legendary Secondary"
CriticalHit_Chance_vsPoison,"1.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""3BF8AC9A457738A236DA54BE7E69FAC9"", ""+{0%}% Critical Hit chance vs. Poisoned targets"")","","False","False","Default","Affix.Secondary;Affix.NonElemental;Item.Weapon.1H;Item.Weapon.2H;Item.Weapon.Focus;Item.Armour.Gloves;Item.Pet.Tag","CritChance","None","None","None","None","None","CriticalHitChanceVs|StatusEffect.Poison","","2-3.5","3-4.5","4.0-6.0","","","","","1.200000","","Legendary Secondary"
CriticalHit_Chance_vsShock,"1.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""B3DAF9C045EA741EA2A614A79786F87C"", ""+{0%}% Critical Hit chance vs. Shocked targets"")","","False","False","Default","Affix.Secondary;Affix.NonElemental;Item.Weapon.1H;Item.Weapon.2H;Item.Weapon.Focus;Item.Armour.Gloves;Item.Pet.Tag","CritChance","None","None","None","None","None","CriticalHitChanceVs|StatusEffect.Shock","","2-3.5","3-4.5","4.0-6.0","","","","","1.200000","","Legendary Secondary"
CriticalHit_Chance_vsSlow,"1.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""49ED612B4D59A2E886E8698CEF17C229"", ""+{0%}% Critical Hit chance vs. Slowed targets"")","","False","False","Default","Affix.Secondary;Affix.NonElemental;Item.Weapon.1H;Item.Weapon.2H;Item.Weapon.Focus;Item.Armour.Gloves;Item.Pet.Tag","CritChance","None","None","None","None","None","CriticalHitChanceVs|StatusEffect.Fear","","2-3.5","3-4.5","4.0-6.0","","","","","1.200000","","Legendary Secondary"
CriticalHit_Chance_vsStunned,"1.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""A1D4187442B6C6495AE127B5E07A6E80"", ""+{0%}% Critical Hit chance vs. Stunned targets"")","","False","False","Default","Affix.Secondary;Affix.NonElemental;Item.Weapon.1H;Item.Weapon.2H;Item.Weapon.Focus;Item.Armour.Gloves;Item.Pet.Tag","CritChance","None","None","None","None","None","CriticalHitChanceVs|StatusEffect.Stunned","","2-3.5","3-4.5","4-6","","","","","1.200000","","Legendary Secondary"
CriticalHit_Chance_vsUndead,"10.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""4C8941274CB8613EA790C890009938F4"", ""+{0%}% Critical Hit chance vs. Undead"")","","False","False","Default","Affix.Secondary;Affix.NonElemental;Item.Weapon.1H;Item.Weapon.2H;Item.Weapon.Focus;Item.Armour.Gloves;Item.Pet.Tag","CritChance","None","None","None","None","None","CriticalHitChanceVs|Character.Monster.Undead","","1.5-2.5","2-3","3.0-5.0","","","","","1.200000","","Legendary Secondary"
CriticalHit_Chance_vsVespid,"10.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""815FA248483D394DC922939165E33565"", ""+{0%}% Critical Hit chance vs. Hyvid"")","","False","False","Default","Affix.Secondary;Affix.NonElemental;Item.Weapon.1H;Item.Weapon.2H;Item.Weapon.Focus;Item.Armour.Gloves;Item.Pet.Tag","CritChance","None","None","None","None","None","CriticalHitChanceVs|Character.Monster.Vespid","","1.5-2.5","2-3","3.0-5.0","","","","","1.200000","","Legendary Secondary"
CriticalHit_Damage_vsGoblins,"10.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""CD095F574E6A13F95226E893F395D8ED"", ""+{0%}% Critical Damage vs Goblins"")","","False","False","Default","Affix.Secondary;Affix.NonElemental;Item.Armour.Shoulders;Item.Armour.AmmoBag;Item.Pet.Tag","CritBonusDamage","None","None","None","None","None","CriticalDamageBonusVs|Character.Monster.Goblin","",".5-1.5","1-2.5","3.8-4.1","","","","","1.200000","","Legendary Secondary"
CriticalHit_Damage_vsNetherim,"10.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""34766A87486CCD2C4833A3A12D208BC9"", ""+{0%}% Critical Damage vs Netherim"")","","False","False","Default","Affix.Secondary;Affix.NonElemental;Item.Armour.Shoulders;Item.Armour.AmmoBag;Item.Pet.Tag","CritBonusDamage","None","None","None","None","None","CriticalDamageBonusVs|Character.Monster.Netherim","",".5-1.5","1-2.5","3.8-4.1","","","","","1.200000","","Legendary Secondary"
