---,DisplayName,CompletableTasks,OfferedQuests,ActivatingTasks,ActivatingCompletedTasks,DeactivatingTasks,DeactivatingCompletedTasks,bAlwaysActive,bMapMarkerIsArea,AreaSize,Notes
Chest_Quest,"NSLOCTEXT(""QuestObjectTable"", ""503539A143DB1111C4A0728981AC0EA1"", ""Quest Chest"")","","","(""GFQ_CollectEmbershine:Task_CollectEmbershine"")","","","","False","False","0.000000",""
GoblinWeaponRack,"NSLOCTEXT(""QuestObjectTable"", ""4728759D4E2553B071669B93F4CA723C"", ""Weapon Rack"")","","","","","","","False","False","0.000000",""
CompetitivePortal,"NSLOCTEXT(""QuestObjectTable"", ""B59E0BF14B43FDBF236B88BD6739CAC3"", ""Slime Arena Entrance"")","","","","","(""Quest_Experiment1:Task_Timer"")","","False","False","0.000000",""
Bandit,"NSLOCTEXT(""QuestObjectTable"", ""D05E96444587F524681B0B93DA14DE4C"", ""Bandit"")","(""Quest_Daily6_AlphaReward:Task_TurnInNPC"")","","","","","","False","False","0.000000",""
GatekeeperGF1,"NSLOCTEXT(""QuestObjectTable"", ""6493E5DB4F9256EBE8C92ABC7F2960B9"", ""Lt. Riksa"")","","","","(""GFQ_ClearDenOfEvil:Task_GotoIO"")","","(""GFQ_DestroySecretWeapon:Task_TurnIn"")","False","False","0.000000","npc_m_imperialguard_gatekeeper_gf1_bp"
GatekeeperGF2,"NSLOCTEXT(""QuestObjectTable"", ""4D38632E4865850105C4D1A18D50EB32"", ""Sgt. Frax"")","","","","(""GFQ_ClearDenOfEvil:Task_GotoIO"")","","(""GFQ_KillSiegeWeapons:Task_TurnIn"")","False","False","0.000000","npc_m_imperialguard_gatekeeper_gf2_bp"
GatekeeperGF3,"NSLOCTEXT(""QuestObjectTable"", ""8BF4F5AC4D2D7DDEB562118810657CB8"", ""Lt. Klef"")","","","","(""GFQ_ClearDenOfEvil:Task_GotoIO"")","","(""GFQ_KillNetherimBoss:Task_TurnIn"")","False","False","0.000000","npc_m_imperialguard_gatekeeper_gf3_bp"
GatekeeperGF4,"NSLOCTEXT(""QuestObjectTable"", ""09FF92874E23E72EA0DA39887AC83A15"", ""Lt. Wilfur"")","","","","(""GFQ_ClearDenOfEvil:Task_GotoIO"")","","(""GFQ_FightSadista:Task_TurnIn"")","False","False","0.000000","npc_m_imperialguard_gatekeeper_gf4_bp"
GatekeeperGF5,"NSLOCTEXT(""QuestObjectTable"", ""66B728E64FB9913C68BD8EBA80777E80"", ""Sgt. Somberg"")","","","","(""GFQ_ClearDenOfEvil:Task_GotoIO"")","","(""GFQ_AntiNetherim:Task_TurnIn"")","False","False","0.000000","npc_m_imperialguard_gatekeeper_gf5_bp"
GatekeeperIF1_NoCollide,"NSLOCTEXT(""QuestObjectTable"", ""E7094D0346CA7DBBA06D81A36C70B88E"", ""Imperial Guard"")","","","","","","","False","False","0.000000","npc_m_imperialguard_gatekeeper_if1_nocollide_bp"
GatekeeperIF2_NoCollide,"NSLOCTEXT(""QuestObjectTable"", ""E0F6FD1E4D7364DBF12696A6F782EA9A"", ""Bugswat Pass Guard"")","","","","(""Quest_Infested_GatekeepingIF2:Task_GotoIF1"")","","(""Quest_Infested_GatekeepingIF3:Task_GotoIF2"")","False","False","0.000000","npc_m_imperialguard_gatekeeper_if2_nocollide_bp"
GeneralGraye,"NSLOCTEXT(""QuestObjectTable"", ""D40BDBBE4082E73187277BAD815436B8"", ""General Graye"")","(""GFQ_ClearDenOfEvil:Task_TurnIn"",""GFQ_RescueGuards:Task_StartQuest"",""GFQ_DestroySecretWeapon:Task_TurnIn"",""GFQ_KillSkeletalMage:Task_TurnIn"",""GFQ_KillSiegeWeapons:Task_TurnIn"",""GFQ_CollectGoblinBruteShields:Task_TurnIn"",""GFQ_KillGoblinBarricade:Task_TurnIn"",""GFQ_BestFrenemies:Task_StartQuest"",""GFQ_BestFrenemies:Task_TurnIn"",""GFQ_GobBoomBlast:Task_TurnIn"",""GFQ_Wreckoning:Task_TurnIn"",""GFQ_BlackMarketBattle:Task_TurnIn"",""HFQ_MotherKrrusha:Task_TurnIn"",""HFQ_MessageIntercepted:Task_TurnIn"",""HFQ_KeyBind:Task_TurnIn"",""GFQ_Wreckoning:Task_StartQuest"",""Quest_Echonok_EM1_Interior2:Task_TalkToGraye"",""GFQ_FindShipment:Task_StartQuest"",""GFQ_FindShipment:Task_TurnIn"",""HFQ_OuterPlace:Task_TalkToGraye"",""HFQ_Spinderella:Task_TalkToGraye"",""HFQ_Netherneurosis:Task_InteractNPC"",""HFQ_Netherneurosis:Task_TurnIn"",""HFQ_ShesLostControl:Task_InteractNPC"")","(""GFQ_HarassGoblins"",""HFQ_FrackOrFriction"",""Quest_Echonok_EM1"",""GFQ_CollectZombieOutfit"",""GFQ_KillSkeletalMage"",""GFQ_CollectGoblinBruteShields"")","","","","","False","False","0.000000",""
GeneralGraye_DenOfEvil,"NSLOCTEXT(""QuestObjectTable"", ""18189D5E449B0AA6974ABDABE9BCDC2E"", ""General Graye"")","(""GFQ_KillSiegeWeapons:Task_TurnIn"",""GFQ_KillSkeletalMage:Task_TurnIn"",""GFQ_CollectGoblinBruteShields:Task_TurnIn"",""GFQ_KillGoblinBarricade:Task_TurnIn"",""GFQ_BestFrenemies:Task_TurnIn"",""GFQ_Wreckoning:Task_TurnIn"",""GFQ_BlackMarketBattle:Task_TurnIn"")","(""GFQ_KillSkeletalMage"",""Quest_GatekeepingGF1-2"",""GFQ_RescueGuards"",""GFQ_BestFrenemies"",""GFQ_BlackMarketBattle"")","","","","","False","False","0.000000",""
GobBaitBucket,"NSLOCTEXT(""QuestObjectTable"", ""B01D540547933071A14BD9B76C66FF27"", ""Goblin Bait Bucket"")","","","(""GFQ_CollectPigFish:Task_CollectJuicyMaggots"")","","","","False","False","0.000000",""
GobBanner_HarassGoblins,"NSLOCTEXT(""QuestObjectTable"", ""21FAA3AD484F9E62604EFAA623179123"", ""Goblin Banner"")","(""GFQ_HarassGoblins:Task_KillGoblinBanners"")","","","","","","False","False","0.000000",""
GobBarricade_KillGoblinBarricade,"NSLOCTEXT(""QuestObjectTable"", ""ECFB8FC44C660A1F381F41856AC60268"", ""Barricade"")","","","","","(""GFQ_KillGoblinBarricade:Task_KillBoss"")","","False","False","0.000000",""
