---,Type,ParameterName,Level,bIsPaid,bFeatured,RewardRecipe1,RewardRecipe2,RewardRecipe3,RewardRecipe4,RewardRecipe5,RewardRecipe6,Notes
GoblinSpoke_1,"Spoke","GoblinForest","1-50","False","False","(RowName=""SpokeReward_Fame"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
HyvidSpoke_1,"Spoke","InfestedForest","1-50","False","False","(RowName=""SpokeReward_Fame"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
VolturaSpoke_1,"Spoke","Echonok","1-50","False","False","(RowName=""SpokeReward_Fame"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract0_Free_1,"Contract","Contract0","1","False","False","(RowName=""GoldBag"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract0_Free_2,"Contract","Contract0","2","False","False","(RowName=""WoodPlanks_90"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract0_Free_3,"Contract","Contract0","3","False","False","(RowName=""MagicItemBag"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract0_Free_4,"Contract","Contract0","4","False","False","(RowName=""GoldBag"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract0_Free_5,"Contract","Contract0","5","False","False","(RowName=""MagicItemBag"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract0_Free_8,"Contract","Contract0","8","False","False","(RowName=""MagicItemBag"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract0_Free_10,"Contract","Contract0","10","False","False","(RowName=""WoodLogs_100"")","(RowName=""MetalNuggets_100"")","(RowName=""StoneRocks_100"")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract0_Free_12,"Contract","Contract0","12","False","False","(RowName=""RareItemBag"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract0_Free_15,"Contract","Contract0","15","False","False","(RowName="""")","(RowName=""GoldBag"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract0_Free_18,"Contract","Contract0","18","False","False","(RowName=""MagicItemBag"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract0_Free_20,"Contract","Contract0","20","False","False","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract0_Free_23,"Contract","Contract0","23","False","False","(RowName=""ItemLuckMapBundle_Legendary"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract0_Free_25,"Contract","Contract0","25","False","False","(RowName="""")","(RowName=""GoldBag"")","(RowName=""SPLuckMapBundle_Magic"")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract0_Paid_1,"Contract","Contract0","1","True","False","(RowName=""AlphaWardrobeDM"")","(RowName="""")","(RowName=""RelicSlot"")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract0_Paid_2,"Contract","Contract0","2","True","False","(RowName=""FortProp_Common_Crates_Quantity5"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract0_Paid_3,"Contract","Contract0","3","True","False","(RowName=""AlphaWardrobeForged"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract0_Paid_4,"Contract","Contract0","4","True","False","(RowName=""FortProp_Common_Campfire_Quanity2"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract0_Paid_5,"Contract","Contract0","5","True","False","(RowName=""GoldLuckMapBundle_Legendary"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract0_Paid_6,"Contract","Contract0","6","True","False","(RowName=""GoldBag"")","(RowName=""WoodLogs_100"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract0_Paid_7,"Contract","Contract0","7","True","False","(RowName=""GoldBag"")","(RowName=""StoneBlocks_90"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract0_Paid_8,"Contract","Contract0","8","True","False","(RowName=""GoldBag"")","(RowName=""MetalBars_90"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract0_Paid_9,"Contract","Contract0","9","True","False","(RowName=""SPLuckMapBundle_Magic"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract0_Paid_10,"Contract","Contract0","10","True","False","(RowName=""RelicSlot"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract0_Paid_11,"Contract","Contract0","11","True","False","(RowName=""MetalBars_90"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
