---,MonsterClass,MonsterGroup,DisplayName,LevelRangeString,ChampionLevelRangeString,HitpointPercent,DamagePercent,PickWeight,ItemSpawn,ChampionScaleMultiplier,ChampionHitpoints,ChampionDamage,ChampionSpeedBonusPercent,ChampionExperience,ChampionNameSpawnRow,RecentDamageDecayRate,GetHitThreshold,GetHitCooldown,GetHitChance,Drama,AudioDrama,AudioCategory,TraitString1,TraitString2,TraitString3,ExperiencePercent,DamageElement,MonsterGameplayTags,ItemSpawnGameplayTags,ChampionItemSpawnGameplayTags,ScaleMultiplier,PackSizeSmall,PackSizeMedium,PackSizeLarge,PackSizeExtraLarge,Defense,DefensePhysical,DefenseWater,DefenseFire,DefenseCold,DefensePoison,DefenseElectric,Skill00Cooldown,Skill00DamageFactor,Skill01Cooldown,Skill01DamageFactor,Skill02Cooldown,Skill02DamageFactor,Skill03Cooldown,Skill03DamageFactor,Skill04Cooldown,Skill04DamageFactor,Skill05Cooldown,Skill05DamageFactor,MonsterDescription,Bank,Notes
Alpaca_Melee,"/Game/Monsters/petalpaca/alpacamelee_b.alpacamelee_b_C","Alpaca_Melee","NSLOCTEXT(""MonstersTable"", ""08D42CF9492145D1E68E25A405C0C346"", ""Angry Alpaca Biter"")","1-100","4-100","1.000000","1.000000","0","Standard","1.250000","17.000000","1.360000","0.000000","6.000000","None","0.020000","0.100000","1.000000","1.000000","2.000000","3.000000","Medium","","","","1.450000","Element.Physical","Character.Monster.Day;Character.Monster.Night;Character.Monster.Common;Character.Monster.Championable;Character.Monster.Championable.Pack;Character.Monster.Championable.Solo;Character.Monster.Alpaca;Region.Special","None","None","1.000000","1","2","3","5","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","NSLOCTEXT(""MonstersTable"", ""2116D5AA49987E74F0B8529E18FA70E8"", ""Biter"")","(AssetGuid=00000000000000000000000000000000)",""
Alpaca_Menacer,"/Game/Monsters/petalpaca/alpacamenacer_b.alpacamenacer_b_C","Alpaca_Menacer","NSLOCTEXT(""MonstersTable"", ""2ACDCA324068D6CAF5C8D5BDBAE3DA21"", ""Supreme Alpaca Menacer"")","1-100","4-100","1.000000","1.000000","0","Tough","1.250000","17.000000","1.360000","0.000000","6.000000","None","0.020000","0.100000","1.000000","1.000000","2.000000","3.000000","Brute","","","","1.450000","Element.Physical","Character.Monster.Day;Character.Monster.Night;Character.Monster.Common;Character.Monster.Championable;Character.Monster.Championable.Pack;Character.Monster.Championable.Solo;Character.Monster.Alpaca;Region.Special","None","None","1.000000","1","2","3","5","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","0.000000","1.500000","1.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","NSLOCTEXT(""MonstersTable"", ""DDFDD2304A3998266BE652BB5F159BDF"", ""Menacer"")","(AssetGuid=00000000000000000000000000000000)",""
Alpaca_Spitter,"/Game/Monsters/petalpaca/alpacaspitter_b.alpacaspitter_b_C","Alpaca_Spitter","NSLOCTEXT(""MonstersTable"", ""BAE55C934B4DFFFC6AE32C94AC2DDB29"", ""Rude Alpaca Spitter"")","1-100","4-100","1.000000","1.000000","0","Standard","1.250000","17.000000","1.360000","0.000000","6.000000","None","0.020000","0.100000","1.000000","1.000000","2.000000","3.000000","Medium","","","","1.450000","Element.Physical","Character.Monster.Day;Character.Monster.Night;Character.Monster.Common;Character.Monster.Championable;Character.Monster.Championable.Pack;Character.Monster.Championable.Solo;Character.Monster.Alpaca;Region.Special","None","None","1.000000","1","2","3","5","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","0.000000","1.000000","1.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","NSLOCTEXT(""MonstersTable"", ""656DA7F7431F7B839BECC4A12D4D05CD"", ""Spitter"")","(AssetGuid=00000000000000000000000000000000)",""
Automaton_Custodian_Electric,"/Game/Monsters/automatacustodian/automatacustodian_electric_bp.automatacustodian_electric_bp_C","Automaton_Custodian_Electric","NSLOCTEXT(""MonstersTable"", ""3AAC50BA40E94FB461E3DDA195615CA3"", ""Galvanic Custodian"")","13-20;25-32;37-44;49-56;61-68;73-80;85-92;97-100","13-20;25-32;37-44;49-56;61-68;73-80;85-92;97-100","1.000000","1.000000","0","Popcorn","2.000000","17.000000","1.360000","0.000000","6.000000","AutomataName","0.020000","0.200000","1.500000","1.000000","1.000000","1.000000","Popcorn","ElementalProcChance|Proc.Shock=1.0;ElementalProcDamage|Proc.Shock=.15;ElementalProcDuration|Proc.Shock=1","","","1.450000","Element.Electric","Character.Monster.Automaton.Custodian;Character.Monster.Day;Character.Monster.Night;Character.Monster.Common;Character.Monster.Championable;Character.Monster.Championable.Solo;Character.Monster.NonBiological","None","None","1.000000","1","2","3","5","0.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","0.000000","1.000000","10.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","NSLOCTEXT(""MonstersTable"", ""5DD7B31A42CBC217D7FE788EEDF63C36"", ""Custodian"")","(AssetGuid=00000000000000000000000000000000)",""
Automaton_Custodian_Fire,"/Game/Monsters/automatacustodian/automatacustodian_fire_bp.automatacustodian_fire_bp_C","Automaton_Custodian_Fire","NSLOCTEXT(""MonstersTable"", ""625E92AE4E3D9FC707A1458D8FFFDB7B"", ""Fiery Custodian"")","1-8;13-20;25-32;37-44;49-56;51-68;73-80;85-92;97-100","4-8;13-20;25-32;37-44;49-56;51-68;73-80;85-92;97-100","1.000000","1.000000","0","Popcorn","2.000000","17.000000","1.360000","0.000000","6.000000","AutomataName","0.020000","0.300000","1.000000","1.000000","1.000000","1.000000","Popcorn","","","","1.450000","Element.Fire","Character.Monster.Automaton.Custodian;Character.Monster.Day;Character.Monster.Night;Character.Monster.Common;Region.GoblinIsle.GoblinForest.Forest;Character.Monster.Championable;Character.Monster.Championable.Solo;Character.Monster.NonBiological","None","None","1.000000","1","2","3","5","0.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","NSLOCTEXT(""MonstersTable"", ""D462756E4B3E5B67592573846A9CE509"", ""Custodian"")","(AssetGuid=00000000000000000000000000000000)",""
Automaton_Custodian_Physical,"/Game/Monsters/automatacustodian/automatacustodian_physical_bp.automatacustodian_physical_bp_C","Automaton_Custodian_Physical","NSLOCTEXT(""MonstersTable"", ""91443E7945E4D3530D3BE1B590BDE2EA"", ""Mechanical Custodian"")","13-20;25-32;37-44;49-56;51-68;73-80;85-92;97-100","13-20;25-32;37-44;49-56;51-68;73-80;85-92;97-100","1.000000","0.250000","0","Popcorn","2.000000","17.000000","1.360000","0.000000","6.000000","AutomataName","0.020000","0.300000","1.000000","1.000000","1.000000","1.000000","Popcorn","","","","0.700000","Element.Physical","Character.Monster.Automaton;Character.Monster.Automaton.Custodian;Character.Monster.Day;Character.Monster.Night;Character.Monster.Common;Region.Global;Character.Monster.Championable;Character.Monster.Championable.Solo;Character.Monster.NonBiological","None","None","1.000000","1","2","3","5","0.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","NSLOCTEXT(""MonstersTable"", ""8C3FEDF343DB81419B6A3D885F6A92EB"", ""Custodian"")","(AssetGuid=00000000000000000000000000000000)",""
Automaton_Custodian_Poison,"/Game/Monsters/automatacustodian/automatacustodian_poison_bp.automatacustodian_poison_bp_C","Automaton_Custodian_Poison","NSLOCTEXT(""MonstersTable"", ""8E33F0844825E32974B7DB824FE8E424"", ""Toxic Custodian"")","13-20;25-32;37-44;49-56;51-68;73-80;85-92;97-100","13-20;25-32;37-44;49-56;51-68;73-80;85-92;97-100","1.000000","1.000000","0","Popcorn","2.000000","17.000000","1.360000","0.000000","6.000000","AutomataName","0.020000","0.300000","1.000000","1.000000","1.000000","1.000000","Popcorn","","","","1.450000","Element.Poison","Character.Monster.Automaton.Custodian;Character.Monster.Day;Character.Monster.Night;Character.Monster.Common;Region.GoblinIsle.InfestedForest;Character.Monster.Championable;Character.Monster.Championable.Solo;Character.Monster.NonBiological","None","None","1.000000","1","2","3","5","0.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","NSLOCTEXT(""MonstersTable"", ""FC1C7E4745617797F793D2A94E4172BD"", ""Custodian"")","(AssetGuid=00000000000000000000000000000000)",""
Automaton_Hulk_Electric,"/Game/Monsters/automatahulk/automatahulk_electrical_bp.automatahulk_electrical_bp_C","Automaton_Hulk_Electric","NSLOCTEXT(""MonstersTable"", ""E814BF7C4A045E65D74F22B4492BF6D1"", ""Galvanic Emberhulk"")","9-16;21-28;33-40;45-52;57-64;69-76;81-88;93-100","9-16;21-28;33-40;45-52;57-64;69-76;81-88;93-100","3.500000","1.500000","1000","Tough","2.000000","17.000000","1.360000","0.000000","6.000000","AutomataName","0.020000","0.300000","3.500000","1.000000","2.000000","2.000000","Brute","KnockbackResistance=1.0","","","2.580000","Element.Electric","Character.Monster.Automaton.Emberhulk;Character.Monster.Day;Character.Monster.Night;Character.Monster.Rare;Character.Monster.Championable;Character.Monster.Championable.Solo;Character.Monster.NonBiological;Character.Monster.HighHealth","None","None","1.000000","1","2","3","5","0.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","0.750000","8.000000","1.250000","0.000000","0.750000","2.500000","1.250000","0.000000","1.000000","0.000000","1.000000","NSLOCTEXT(""MonstersTable"", ""7F6B624349D5AF9B11F59B80D0201F18"", ""Emberhulk: Knockback Immune"")","(AssetGuid=00000000000000000000000000000000)",""
Automaton_Hulk_Fire,"/Game/Monsters/automatahulk/automatahulk_fire_bp.automatahulk_fire_bp_C","Automaton_Hulk_Fire","NSLOCTEXT(""MonstersTable"", ""578909AA47E15FE7181566B4A9A8EFA4"", ""Fiery Emberhulk"")","1-8;13-20;25-32;37-44;49-56;51-68;73-80;85-92;97-100","4-8;13-20;25-32;37-44;49-56;51-68;73-80;85-92;97-100","3.500000","1.500000","0","Tough","2.000000","17.000000","1.360000","0.000000","6.000000","AutomataName","0.020000","0.450000","0.750000","0.500000","2.000000","2.000000","Brute","KnockbackResistance=1.0","","","2.580000","Element.Fire","Character.Monster.Automaton.Emberhulk;Character.Monster.Day;Character.Monster.Night;Character.Monster.VeryRare;Region.GoblinIsle.GoblinForest.Forest;Character.Monster.Championable;Character.Monster.Championable.Solo;Character.Monster.NonBiological;Character.Monster.HighHealth","None","None","1.000000","1","2","3","5","0.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","4.000000","0.750000","8.000000","1.250000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","NSLOCTEXT(""MonstersTable"", ""49D0B6C6441B7301288BB4BDC6BE2D89"", ""Emberhulk: Knockback Immune"")","(AssetGuid=00000000000000000000000000000000)",""
Automaton_Hulk_Physical,"/Game/Monsters/automatahulk/automatahulk_physical_bp.automatahulk_physical_bp_C","Automaton_Hulk_Physical","NSLOCTEXT(""MonstersTable"", ""4E96DA064EF29B430F9C9985EFFFF7C2"", ""Mechanical Emberhulk"")","9-16;21-28;33-40;45-52;57-64;69-76;81-88;93-100","9-16;21-28;33-40;45-52;57-64;69-76;81-88;93-100","3.500000","1.500000","0","Tough","2.000000","17.000000","1.360000","0.000000","6.000000","AutomataName","0.020000","0.450000","0.750000","0.500000","2.000000","2.000000","Brute","KnockbackResistance=1.0","","","2.580000","Element.Physical","Character.Monster.Automaton.Emberhulk;Character.Monster.Day;Character.Monster.Night;Character.Monster.VeryRare;Region.Global;Character.Monster.Championable;Character.Monster.Championable.Solo;Character.Monster.NonBiological;Character.Monster.HighHealth","None","None","1.000000","1","2","3","5","0.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","4.000000","0.750000","9.000000","1.250000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","NSLOCTEXT(""MonstersTable"", ""67ED2E89479F00333FA8D2B04DF4ABBD"", ""Emberhulk: Knockback Immune"")","(AssetGuid=00000000000000000000000000000000)",""
