---,DisplayName,Description,DescriptionLong,FlavorText,EmberWeaponData,OffHandWeaponToEquip,bUseAffixWithName,SlotForSkillDescription,MinLevel,MaxLevel,DropWeight,GoldValue,ItemWardrobe,bCanBeDyed,DyeRow,GameplayTags,AffixAnyTags,AffixAllTags,AffixSpawnRowName,ItemQuality,LootContent,LootContentRecipe,LootContentRecipeUnit,DamageType,Spoke,PlayerClass,AnimSlotPrefix,AnimSlotSuffix,bIsTwoHanded,bCanSell,bCanDestroy,bCanBeUsed,bCanBulkBuy,bIgnoreLevel,bIgnoreSpoke,bIgnoreDroppedArea,AttackSpeedIndex,bIsStatStick,PickupAction,PickUpTraitString,MaxStackSize,IconOverride,ItemClass,Notes
Armour_Global_Boots_Legendary_CommonDM_01,"NSLOCTEXT(""ItemsTable"", ""C89FED84458E23752DB5EE91F01120F3"", ""Celestial Boots"")","","","","(RowName="""")","(RowName="""")","False","None","1.000000","100.000000","1","100.000000","T4_Common_Boots_DM","True","(RowName=""CommonChaseDM"")","Region.Global;Item.Armour.Boots","Affix.Defense.Physical;Affix.Defense.Netherim;Affix.NonElemental;Affix.Hitpoints.Regen","Item.Armour.Boots","Armor_Legendary","Legendary","(RowName="""")","None","(RowName="""")","Element.Physical","None","Character.Player.DuskMage","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armour_Global_Boots_Legendary_CommonRM_01,"NSLOCTEXT(""ItemsTable"", ""1DE2C0394F276F99D43819B32B47DD96"", ""Celestial Boots"")","","","","(RowName="""")","(RowName="""")","False","None","1.000000","100.000000","1","100.000000","T4_Common_Boots_RM","True","(RowName=""CommonChaseRM"")","Region.Global;Item.Armour.Boots","Affix.Defense.Physical;Affix.Defense.Netherim;Affix.NonElemental;Affix.Hitpoints.Regen","Item.Armour.Boots","Armor_Legendary","Legendary","(RowName="""")","None","(RowName="""")","Element.Physical","None","Character.Player.Railman","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armour_Global_Boots_Magic_Physical_01,"NSLOCTEXT(""ItemsTable"", ""460BEAF9417E75DC2417EF87A384AF3E"", ""Reinforced Gaiters"")","","","","(RowName="""")","(RowName="""")","False","None","1.000000","100.000000","1","30.000000","T2_Industrial_Boots","True","(RowName="""")","Region.Global;Item.Armour.Boots;Element.Physical","Affix.Defense.Physical;Affix.Defense.Netherim;Affix.NonElemental;Affix.Hitpoints.Regen","Item.Armour.Boots","Armor_Magic","Magic","(RowName="""")","None","(RowName="""")","Element.Physical","None","Character.Player.DuskMage;Character.Player.Railman","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armour_Global_Boots_Normal_Base_01,"NSLOCTEXT(""ItemsTable"", ""771D51E249058FEDFE37CE8199E23C8F"", ""Boots A"")","","","","(RowName="""")","(RowName="""")","False","None","0.000000","0.000000","0","0.000000","T0_Nude_Boots","False","(RowName="""")","Item.Armour.Boots","None","None","None","None","(RowName="""")","None","(RowName="""")","Element.Physical","Region.GoblinIsle.GoblinForest","Character.Player.DuskMage;Character.Player.Railman","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armour_Global_Boots_Normal_Newbie_01,"NSLOCTEXT(""ItemsTable"", ""CB1FC9F644E5BBA9E9FC83B27D10FBE4"", ""Ragged Footwraps"")","","","","(RowName="""")","(RowName="""")","False","None","0.000000","0.000000","0","0.000000","T1_Starter_Boots","True","(RowName=""Rags"")","Item.Armour.Boots","Affix.Defense.Physical","Item.Armour.Boots","Armor_Starter_Medium","Normal","(RowName="""")","None","(RowName="""")","Element.Physical","Region.GoblinIsle.GoblinForest","Character.Player.DuskMage;Character.Player.Railman","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armour_Global_Boots_Normal_Physical_01,"NSLOCTEXT(""ItemsTable"", ""71F1D23E4E0A13E465086CAEF09F7F3F"", ""Flimsy Shoes"")","","","","(RowName="""")","(RowName="""")","False","None","1.000000","100.000000","1","8.000000","T1_Iconic_Boots","True","(RowName="""")","Region.Global;Item.Armour.Boots;Element.Physical","Affix.Defense.Physical","Item.Armour.Boots","Armor_Normal","Normal","(RowName="""")","None","(RowName="""")","Element.Physical","None","Character.Player.DuskMage;Character.Player.Railman","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armour_Global_Boots_Rare_Physical_01,"NSLOCTEXT(""ItemsTable"", ""A40F45E44C7E8654AD80199A94EC8C4C"", ""Boots"")","","","","(RowName="""")","(RowName="""")","True","None","1.000000","100.000000","1","60.000000","T3_Iconic_Boots","True","(RowName="""")","Region.Global;Item.Armour.Boots;Element.Physical","Affix.Defense.Physical;Affix.Defense.Netherim;Affix.NonElemental;Affix.Hitpoints.Regen","Item.Armour.Boots","Armor_Rare","Rare","(RowName="""")","None","(RowName="""")","Element.Physical","None","Character.Player.DuskMage;Character.Player.Railman","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armour_Global_Chest_Legendary_CommonDM_01,"NSLOCTEXT(""ItemsTable"", ""38F6D47C420D0F0CFF15F3AD1F4CBA1C"", ""Celestial Cuirass"")","","","","(RowName="""")","(RowName="""")","False","None","1.000000","100.000000","1","100.000000","T4_Common_Chest_DM","True","(RowName=""CommonChaseDM"")","Region.Global;Item.Armour.Chest","Affix.Defense.Physical;Affix.Defense.Netherim;Affix.NonElemental;Affix.Hitpoints.Bonus","Item.Armour.Chest","Armor_Legendary","Legendary","(RowName="""")","None","(RowName="""")","Element.Physical","None","Character.Player.DuskMage","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armour_Global_Chest_Legendary_CommonRM_01,"NSLOCTEXT(""ItemsTable"", ""AF5A7D7B4214D370482E3D82C5290015"", ""Celestial Cuirass"")","","","","(RowName="""")","(RowName="""")","False","None","1.000000","100.000000","1","100.000000","T4_Common_Chest_RM","True","(RowName=""CommonChaseRM"")","Region.Global;Item.Armour.Chest","Affix.Defense.Physical;Affix.Defense.Netherim;Affix.NonElemental;Affix.Hitpoints.Bonus","Item.Armour.Chest","Armor_Legendary","Legendary","(RowName="""")","None","(RowName="""")","Element.Physical","None","Character.Player.Railman","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armour_Global_Chest_Magic_Physical_01,"NSLOCTEXT(""ItemsTable"", ""9328C55B45788A65CCE604BD93615EC6"", ""Reinforced Armor"")","","","","(RowName="""")","(RowName="""")","False","None","1.000000","100.000000","1","30.000000","T2_Industrial_Chest","True","(RowName="""")","Region.Global;Item.Armour.Chest;Element.Physical","Affix.Defense.Physical;Affix.Defense.Netherim;Affix.NonElemental;Affix.Hitpoints.Bonus","Item.Armour.Chest","Armor_Magic","Magic","(RowName="""")","None","(RowName="""")","Element.Physical","None","Character.Player","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
