---,RowType,NoPickWeight,MinLevel,bErrorIfOutputIsEmpty,bRetryIfPickIsEmpty,EntryType1,Entry1,WeightOrCount1,EntryType2,Entry2,WeightOrCount2,EntryType3,Entry3,WeightOrCount3,EntryType4,Entry4,WeightOrCount4,EntryType5,Entry5,WeightOrCount5,EntryType6,Entry6,WeightOrCount6,EntryType7,Entry7,WeightOrCount7,EntryType8,Entry8,WeightOrCount8,EntryType9,Entry9,WeightOrCount9,EntryType10,Entry10,WeightOrCount10,EntryType11,Entry11,WeightOrCount11,DataCurves,Entries,Notes
GiveFortProps_GoblinFrontier,"Pick","0","0","True","True","GoToFortPropSpawnRow","GiveFortProps_LesserGoblinFrontier","1","GoToFortPropSpawnRow","GiveFortProps_GreaterGoblinFrontier","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
GiveFortProps_LesserGoblinFrontier,"Pick","0","0","True","True","GoToFortPropSpawnRow","GiveFortProps_LesserGoblinFrontier_1","1","GoToFortPropSpawnRow","GiveFortProps_LesserGoblinFrontier_2","1","GoToFortPropSpawnRow","GiveFortProps_LesserGoblinFrontier_3","1","GoToFortPropSpawnRow","GiveFortProps_LesserGoblinFrontier_4","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
GiveFortProps_LesserGoblinFrontier_1,"Pick","0","0","True","True","GoToFortPropSpawnRow","GiveFortProp_Deco_Gcave_Fin_01_x2","1","GoToFortPropSpawnRow","GiveFortProp_Deco_Gcave_Fin_02_x2","1","GoToFortPropSpawnRow","GiveFortProp_Deco_Gcave_Fin_03_x2","1","GoToFortPropSpawnRow","GiveFortProp_Deco_Gcave_spikewall_01_x2","1","GoToFortPropSpawnRow","GiveFortProp_Deco_Gcave_bonewall_01_x2","1","GoToFortPropSpawnRow","GiveFortProp_Deco_Gcave_spikepost_01_x2","1","GoToFortPropSpawnRow","GiveFortProp_Deco_Gcave_banner_01_x2","1","GoToFortPropSpawnRow","GiveFortProp_Deco_Gcave_shack_01","1","None","","0","None","","0","None","","0","None","",""
GiveFortProps_LesserGoblinFrontier_2,"Pick","0","0","True","True","GoToFortPropSpawnRow","GiveFortProp_Deco_Gcave_stalagmite_01","1","GoToFortPropSpawnRow","GiveFortProp_Deco_Gcave_smallrocks_01_x2","1","GoToFortPropSpawnRow","GiveFortProp_Deco_Gcave_carvedrocks_01","1","GoToFortPropSpawnRow","GiveFortProp_Deco_Gcave_entrance_01","1","GoToFortPropSpawnRow","GiveFortProp_Deco_Gcave_entrance_02","1","GoToFortPropSpawnRow","GiveFortProp_Deco_Gcave_minecart_01_x2","1","GoToFortPropSpawnRow","GiveFortProp_Deco_Gcave_minecart_02_x2","1","None","","0","None","","0","None","","0","None","","0","None","",""
GiveFortProps_LesserGoblinFrontier_3,"Pick","0","0","True","True","GoToFortPropSpawnRow","GiveFortProp_Deco_Cauldron_Goblin","1","GoToFortPropSpawnRow","GiveFortProp_Deco_Gcave_haypile_01","1","GoToFortPropSpawnRow","GiveFortProp_Deco_Gcave_haypile_02_x2","1","GoToFortPropSpawnRow","GiveFortProp_Deco_Gcave_totemcolumn_01_x2","1","GoToFortPropSpawnRow","GiveFortProp_Deco_Gcave_totemcolumn_02","1","GoToFortPropSpawnRow","GiveFortProp_Deco_Column_GoblinGate_01_x2","1","GoToFortPropSpawnRow","GiveFortProp_Deco_Gobrr_woodjunk_01_x2","1","GoToFortPropSpawnRow","GiveFortProp_Deco_Gobrr_fishingpile_01_x2","1","GoToFortPropSpawnRow","GiveFortProp_Deco_Gcave_candles_01_x4","1","None","","0","None","","0","None","",""
GiveFortProps_LesserGoblinFrontier_4,"Pick","0","0","True","True","GoToFortPropSpawnRow","GiveFortProp_Deco_Gcave_mushrooms_01_x4","1","GoToFortPropSpawnRow","GiveFortProp_Deco_Gcave_mushrooms_02_x4","1","GoToFortPropSpawnRow","GiveFortProp_Deco_EmberCrystals_01_x2","1","GoToFortPropSpawnRow","GiveFortProp_Deco_Gcave_mushrooms_03_x4","1","GoToFortPropSpawnRow","GiveFortProp_Deco_Gcave_mushrooms_04_x4","1","GoToFortPropSpawnRow","GiveFortProp_Deco_Mushrooms_Goblin_01_x4","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
GiveFortProps_GreaterGoblinFrontier,"All","0","0","False","False","AddFortPropByFilter","Fort.Prop.Deco.Goblin.Greater","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
GiveFortProps_JourneyUnknown,"Pick","0","0","True","True","GoToFortPropSpawnRow","GiveFortProps_LesserJourneyUnknown","1","GoToFortPropSpawnRow","GiveFortProps_GreaterJourneyUnknown","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
GiveFortProps_LesserJourneyUnknown,"Pick","0","0","True","True","GoToFortPropSpawnRow","GiveFortProps_LesserJourneyUnknown_1","1","GoToFortPropSpawnRow","GiveFortProps_LesserJourneyUnknown_2","1","GoToFortPropSpawnRow","GiveFortProps_LesserJourneyUnknown_3","1","GoToFortPropSpawnRow","GiveFortProps_LesserJourneyUnknown_4","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
GiveFortProps_LesserJourneyUnknown_1,"Pick","0","0","True","True","GoToFortPropSpawnRow","GiveFortProp_Deco_Bench_Wood_Bare_01","1","GoToFortPropSpawnRow","GiveFortProp_Deco_Stool_Wood_Bare_01_x2","1","GoToFortPropSpawnRow","GiveFortProp_Deco_Table_Wood_Bare_01","1","GoToFortPropSpawnRow","GiveFortProp_Deco_ITU_Globe_01","1","GoToFortPropSpawnRow","GiveFortProp_Deco_ITU_Rug_01_x2","1","GoToFortPropSpawnRow","GiveFortProp_Deco_Rug_BearskinWhite_01","1","GoToFortPropSpawnRow","GiveFortProp_Deco_Rug_BearskinBrown_01","1","GoToFortPropSpawnRow","GiveFortProp_Deco_Rug_Cowskin_01","1","None","","0","None","","0","None","","0","None","",""
