---,DamageMultiplier,Notes
MobMelee,"1.000000",""
MobRanged,"0.850000",""
AttackSpeed<1,"0.850000",""
AttackSpeed1-2,"1.000000",""
AttackSpeed>2,"1.200000",""
Telegraph<1,"1.250000",""
Telegraph>1,"1.500000",""
AoE,"0.800000",""
Debuff,"0.800000",""
DoT,"1.000000",""
DotHybridLong,"0.750000",""
DoTHybridShort,"0.800000",""
DoTLong,"0.800000",""
DoTShort,"0.800000",""
Hazard,"1.200000",""
HazardHybrid,"0.850000",""
MeleeSlowMovement,"1.250000",""
MultiHit10,"0.100000",""
Multihit2,"0.500000",""
Multihit3,"0.330000",""
Multihit4,"0.250000",""
Pet,"1.000000",""
RandomProjectiles,"1.100000",""
SlowProjectiles,"1.500000",""
SelfDestruct,"2.000000",""
Unavoidable,"0.500000",""
AoEMassive,"0.400000",""
Multihit5,"0.200000",""
