---,AffixText,bRequiresAreas,RowType,NoPickWeight,EntryType1,Entry1,WeightOrCount1,EntryType2,Entry2,WeightOrCount2,EntryType3,Entry3,WeightOrCount3,EntryType4,Entry4,WeightOrCount4,EntryType5,Entry5,WeightOrCount5,EntryType6,Entry6,WeightOrCount6,EntryType7,Entry7,WeightOrCount7,EntryType8,Entry8,WeightOrCount8,DataCurves,Entries,Notes
ExampleProperties,"","False","All","0","SetProperty","bReviveInTown|true","1","SetProperty","AreaGroup|MapWorks","1","SetProperty","MonsterLevelDelta|3","1","SetGameplayTag","SpokeTag|Region.GoblinIsle.GoblinForest","1","SetGameplayTagContainer","ThemedPropTags|Theme.None","1","SetProperty","BossMonsters|((RowName=""Goblin_Brute_Story_Boss""))","1","None","","0","None","","0","None","(None,None,None,None,None,None,None,None)",""
MapWorksDungeon_Global,"","False","Pick","0","GotoRow","MapWorksDungeon_GoblinForest","1","GotoRow","MapWorksDungeon_InfestedForest","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None,None,None,None)",""
MapWorksDungeon_GoblinForest,"","False","Pick","0","GotoRow","WideLoad","1","GotoRow","Witch","1","GotoRow","Kronch","1","GotoRow","Strongtusk","1","GotoRow","Dogjockey","1","GotoRow","Brall","1","None","","0","None","","0","None","(None,None,None,None,None,None,None,None)",""
MapWorksDungeon_InfestedForest,"","False","Pick","0","GotoRow","Krronk","1","GotoRow","Psora","1","GotoRow","Frackmaster2000","1","GotoRow","HyvidSoldier","1","GotoRow","Spinderella","1","GotoRow","Sadista","1","None","","0","None","","0","None","(None,None,None,None,None,None,None,None)",""
MapWorksDungeon_EchonokMountains,"","False","Pick","0","GotoRow","Thunderthighs","1","GotoRow","Overcharger","1","GotoRow","Squawkclaw","1","GotoRow","Shriekbeak","1","GotoRow","Hexx","1","GotoRow","Ordrak","1","None","","0","None","","0","None","(None,None,None)",""
PhaseDungeon,"","False","Pick","0","GotoRow","PhaseDungeon_Act1","1","GotoRow","PhaseDungeon_Act2","1","GotoRow","PhaseDungeon_Act3","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
PhaseDungeon_Act1,"NSLOCTEXT(""MapWorksTable"", ""9C48340246574BECE3C8DD848EC93BF2"", ""Phased Boss Fight: +1 Level, +100% Lifebound Luck, Revive in Town"")","False","Pick","0","GotoRow","Wideload_Phased","1","GotoRow","Strongtusk_Phased","1","GotoRow","Brall_Phased","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Wideload_Phased,"","False","All","0","AddAreaChain","GF2_Caves2a_boss_gc3","1","SetProperty","BossMonsters|((RowName=""Goblin_Brute_Phase_Boss""))","1","AdjustLevel","1","1","GotoRow","Hardcore","1","SetProbabilisticGameplayTag","LootLuck|Affix.Lifebound=1.0","1","None","","0","None","","0","None","","0","None","",""
Strongtusk_Phased,"","False","All","0","AddAreaChain","GF5_Forest1b_boss_gc3","1","SetProperty","BossMonsters|((RowName=""VarkeninBrute_Phase_Boss""))","1","AdjustLevel","1","1","GotoRow","Hardcore","1","SetProbabilisticGameplayTag","LootLuck|Affix.Lifebound=1.0","1","None","","0","None","","0","None","","0","None","",""
Brall_Phased,"","False","All","0","AddAreaChain","GF5_Cave1a_boss_gc1","1","SetProperty","BossMonsters|((RowName=""Brall_Phase""))","1","AdjustLevel","1","1","GotoRow","Hardcore","1","SetProbabilisticGameplayTag","LootLuck|Affix.Lifebound=1.0","1","None","","0","None","","0","None","","0","None","",""
