---,Group,SubGroup,MaxCount,DisplayName,Description,Icon,bIsEnabled,bCanCraftDirectly,bRequiresUnlock,bRequired,Prop,Vendor,bAffectsGameplay,StatusEffect,GameplayTagContainer,UpgradeTo,bShowCraftingConfirmation,bShowStorageTab,PropType,CustomCraftingVerb,CustomCraftingUI,PropComplexity,UpgradeChainIndex,DropWeight,QualityTags,CostType1,CostQuery1,Cost1,CostQuantity1,CostText1,CostIcon1,bApplyCost1ToFortProp,CostType2,CostQuery2,Cost2,CostQuantity2,CostText2,CostIcon2,bApplyCost2ToFortProp,Notes
AlphaContractStatue_DuskMage,"(RowName=""Storage"")","(RowName=""Wardrobes"")","0","NSLOCTEXT(""FortPropsTable"", ""B88FBFF848053AF42D57A097677233E8"", ""Dusk Mage Alpha Hero Limited"")","NSLOCTEXT(""FortPropsTable"", ""6458F6104C030FF9968F63B25B6694EB"", ""You stood proud at the dawn of it all. Immortalize your struggles."")","/Game/Environments/GlobalProps/Blueprints/Fort/FortObjectIcons/duskmage_statue_icon_blue.duskmage_statue_icon_blue","True","False","False","False","/Game/Environments/GlobalProps/Blueprints/Fort/WardrobeProps/WardrobeProp_DuskMage_Statue01b_bp.WardrobeProp_DuskMage_Statue01b_bp_C","None","False","None","(GameplayTags=)","None","False","False","Wardrobe","","None","2","0","0","(GameplayTags=((TagName=""ItemQuality.Unique"")))","None","Name","None","0","","None","False","None","Name","None","0","","None","False",""
AlphaContractStatue_Forged,"(RowName=""Storage"")","(RowName=""Wardrobes"")","0","NSLOCTEXT(""FortPropsTable"", ""F08E35D24D9654CDE561108911B168C4"", ""Forged Alpha Hero Limited"")","NSLOCTEXT(""FortPropsTable"", ""B453385D47DDA0C6E254289840E19A70"", ""You stood proud at the dawn of it all. Immortalize your struggles."")","/Game/Environments/GlobalProps/Blueprints/Fort/FortObjectIcons/forged_statue_icon_blue.forged_statue_icon_blue","True","False","False","False","/Game/Environments/GlobalProps/Blueprints/Fort/WardrobeProps/WardrobeProp_Forged_Statue01b_bp.WardrobeProp_Forged_Statue01b_bp_C","None","False","None","(GameplayTags=)","None","False","False","Wardrobe","","None","2","0","0","(GameplayTags=((TagName=""ItemQuality.Unique"")))","None","Name","None","0","","None","False","None","Name","None","0","","None","False",""
Arch_Stone_Broken,"(RowName=""Decorations"")","(RowName=""Structures"")","0","NSLOCTEXT(""FortPropsTable"", ""D06076774FAA89823882A8A0C982E797"", ""Busted Stone Arch"")","","/Game/Environments/GlobalProps/Blueprints/Fort/FortObjectIcons/stonearch.stonearch","True","True","False","False","/Game/Environments/GlobalProps/Blueprints/Fort/FortTestArchStone.FortTestArchStone_C","None","False","None","(GameplayTags=)","None","False","False","FortDecor","","None","1","0","0","(GameplayTags=((TagName=""ItemQuality.Normal"")))","Currency","Name","StoneRock_T1_Sandstone","50","","None","False","None","Name","None","0","","None","False",""
Arch_WoodMoss_01,"(RowName=""Decorations"")","(RowName=""Structures"")","0","NSLOCTEXT(""FortPropsTable"", ""EDF79E114A5B0AE05CDF31A80F59E45D"", ""Weathered Arch"")","","/Game/Environments/GlobalProps/Blueprints/Fort/FortObjectIcons/weathered_arch.weathered_arch","True","True","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/IntoTheUnknown/fort_prop_ITU_arch_1a_bp.fort_prop_ITU_arch_1a_bp_C","None","False","None","(GameplayTags=)","None","False","False","FortDecor","","None","1","0","0","(GameplayTags=((TagName=""ItemQuality.Magic"")))","None","Name","None","0","","None","False","None","Name","None","0","","None","False",""
Banner_Battlefield_01,"(RowName=""Decorations"")","(RowName=""Misc"")","0","NSLOCTEXT(""FortPropsTable"", ""84550A844D8E8543BAA020BA0BBB9FE2"", ""Musty Old Banners"")","","/Game/Environments/GlobalProps/Blueprints/Fort/FortObjectIcons/mustybanners.mustybanners","True","False","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/fort_banner_bf_01.fort_banner_bf_01_C","None","False","None","(GameplayTags=((TagName=""Fort.Prop.Deco.CraftsmanContract"")))","None","False","False","FortDecor","","None","1","0","100","(GameplayTags=((TagName=""ItemQuality.Normal"")))","Currency","Name","WoodLog_T1_Ash","20","","None","False","None","Name","None","0","","None","False",""
Banner_Imperial_01,"(RowName=""Decorations"")","(RowName=""Misc"")","0","NSLOCTEXT(""FortPropsTable"", ""2CCBA8BB4EDD594BE62777A483057BC3"", ""Imperial Frontier Banner"")","","/Game/Environments/GlobalProps/Blueprints/Fort/FortObjectIcons/banner_imperial.banner_imperial","True","True","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/fort_banner_io_01.fort_banner_io_01_C","None","False","None","(GameplayTags=)","None","False","False","FortDecor","","None","1","0","0","(GameplayTags=((TagName=""ItemQuality.Magic"")))","Currency","Name","WoodPlank_T1_Ash","60","","None","False","Currency","Name","StoneBlock_T1_Sandstone","15","","None","False",""
BannerAlpha_01,"(RowName=""Decorations"")","(RowName=""Misc"")","1","NSLOCTEXT(""FortPropsTable"", ""D78F20B94D28E9FFF623D98241EA7A4C"", ""Alpha Hero Banner I"")","NSLOCTEXT(""FortPropsTable"", ""EE52DBE0462E569C6C4F30BF9162639E"", ""Thank you gift for participation in Closed Alpha testing, 2018"")","/Game/Environments/GlobalProps/Blueprints/Fort/FortObjectIcons/alpha_1_banner.alpha_1_banner","True","False","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/fort_prop_banner_alpha1gift.fort_prop_banner_alpha1gift_C","None","False","None","(GameplayTags=)","None","False","False","FortDecor","","None","1","0","0","(GameplayTags=((TagName=""ItemQuality.Legendary"")))","None","None","None","0","","None","False","None","Name","None","0","","None","False",""
BannerAlpha_02,"(RowName=""Decorations"")","(RowName=""Misc"")","1","NSLOCTEXT(""FortPropsTable"", ""AC1FF8374E64A61894DA988CBAD74961"", ""Alpha Hero Banner II"")","NSLOCTEXT(""FortPropsTable"", ""7784EE05458F5325C04E3AA3BF6864EA"", ""Thank you gift for participation in Closed Alpha testing, 2019. "")","/Game/Environments/GlobalProps/Blueprints/Fort/FortObjectIcons/alpha_3_banner.alpha_3_banner","True","True","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/fort_prop_banner_alpha3gift.fort_prop_banner_alpha3gift_C","None","False","None","(GameplayTags=)","None","False","False","FortDecor","","None","1","0","0","(GameplayTags=((TagName=""ItemQuality.Legendary"")))","Currency","Name","Gold","1","","None","False","None","Name","None","0","","None","False",""
BannerAlpha_03,"(RowName=""Decorations"")","(RowName=""Misc"")","1","NSLOCTEXT(""FortPropsTable"", ""22BB95234BF23DFFF6D100B7797F31F6"", ""Netstrike Banner"")","NSLOCTEXT(""FortPropsTable"", ""D76D63504C813A474F161189E76E7EE3"", ""Thank you gift for participation in Closed Alpha network stress testing, 2019."")","/Game/Environments/GlobalProps/Blueprints/Fort/FortObjectIcons/alpha_stress_banner.alpha_stress_banner","False","True","False","False","/Game/Environments/GlobalProps/Blueprints/Fort/fort_prop_banner_alphastresstest.fort_prop_banner_alphastresstest_C","None","False","None","(GameplayTags=)","None","False","False","FortDecor","","None","1","0","0","(GameplayTags=((TagName=""ItemQuality.Legendary"")))","Currency","Name","Gold","1","","None","False","None","Name","None","0","","None","False",""
Barrel,"(RowName=""Decorations"")","(RowName=""Misc"")","0","NSLOCTEXT(""FortPropsTable"", ""B25C6C5743850B95150579AE34E6EC82"", ""Sturdy Useful Barrel"")","","/Game/Environments/GlobalProps/Blueprints/Fort/FortObjectIcons/barrel_single.barrel_single","True","False","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/FortTestBarrel03.FortTestBarrel03_C","None","False","None","(GameplayTags=((TagName=""Fort.Prop.Deco.HomesteaderContract"")))","None","False","False","FortDecor","","None","1","0","100","(GameplayTags=((TagName=""ItemQuality.Normal"")))","Currency","Name","Gold","550","","None","False","None","Name","None","0","","None","False",""
