---,BackgroundWidget,ForegroundWidget,Text,PlayerClassAny,AreaAny,SpokeTagsAny,RegionTagsAny,PrimaryElementTagsAny,AreaLoadingScreenTagsAny,CompletedQuestsAny,UncompletedQuestsAny,HasQuestsAny,CompletedQuestTasksAny,HasQuestTasksAny,Weight,Notes
YourFort,"/Game/UI/Loading/LoaderBackgroundMyFort.LoaderBackgroundMyFort_C","/Game/UI/Loading/LoaderForegroundGrunt.LoaderForegroundGrunt_C","","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","0",""
GoblinForest,"/Game/UI/Loading/LoaderBackground1.LoaderBackground1_C","/Game/UI/Loading/LoaderForeground1.LoaderForeground1_C","","","","(GameplayTags=((TagName=""Region.GoblinIsle.GoblinForest"")))","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
MainMenu,"/Game/UI/Loading/MainMenuLoadingScreenBackground.MainMenuLoadingScreenBackground_C","None","","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=((TagName=""Loading.Menu"")))","","","","","","0",""
WideloadsLair,"/Game/UI/Loading/LoaderBackground1.LoaderBackground1_C","/Game/UI/Loading/LoaderForegroundWideload.LoaderForegroundWideload_C","","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","0",""
InfestedForest,"/Game/UI/Loading/LoaderBackground2.LoaderBackground2_C","/Game/UI/Loading/LoaderForegroundHyvid.LoaderForegroundHyvid_C","","","","(GameplayTags=((TagName=""Region.GoblinIsle.InfestedForest"")))","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
ImperialOutpost,"/Game/UI/Loading/LoaderBackgroundImperialOutpost.LoaderBackgroundImperialOutpost_C","/Game/UI/Loading/LoaderForeground2.LoaderForeground2_C","","","","(GameplayTags=((TagName=""Area.Town"")))","(GameplayTags=)","(GameplayTags=)","(GameplayTags=((TagName=""Area.Town"")))","","","","","","0",""
EchonokExt,"/Game/UI/Loading/StaticLoadingScreenBackgroundEchonokExt.StaticLoadingScreenBackgroundEchonokExt_C","/Game/UI/Loading/StaticLoadingScreenForegroundEchonok.StaticLoadingScreenForegroundEchonok_C","","","","(GameplayTags=((TagName=""Region.RedHavenCoast.EchonokMountains"")))","(GameplayTags=)","(GameplayTags=)","(GameplayTags=((TagName=""Loading.Exterior"")))","","","","","","1",""
EchonokInt,"/Game/UI/Loading/StaticLoadingScreenBackgroundEchonokInt.StaticLoadingScreenBackgroundEchonokInt_C","/Game/UI/Loading/StaticLoadingScreenForegroundEchonok.StaticLoadingScreenForegroundEchonok_C","","","","(GameplayTags=((TagName=""Region.RedHavenCoast.EchonokMountains"")))","(GameplayTags=)","(GameplayTags=)","(GameplayTags=((TagName=""Loading.Interior"")))","","","","","","1",""
Misc_Discord,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""06D383DA4D7ADDC66961E39F75380BC6"", ""Join the official Torchlight Frontiers Discord server via http://discord.gg/playtorchlight"")","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=((TagName=""Loading.Menu"")))","","","","","","1",""
Keybind_MapArea,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""D2DF89154F95903C56E321A4CE2135E2"", ""Press Tab on the keyboard to toggle between the minimap and an overlay map of the area."")","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
Keybind_MapFrontier,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""862BCAD84888B3E0D1DEDF9218A04640"", ""Press M or Left Arrow on the D-Pad to toggle the frontier map and quest log."")","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
Keybind_AttackInPlace,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""0DC0E2B74EF264C044E028A407FD24E4"", ""Hold Shift to attack in place."")","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
Keybind_Portal,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""BFBDE55E4D32BEDEA4F2158269F5B7AA"", ""Press Z to open a travel portal. This can be used anywhere except in boss arenas, towns, and forts."")","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
Keybind_Potion,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""F422EDCE46448A8D2FE12980B1342607"", ""Press Q to use a potion."")","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
Keybind_Inventory,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""DF24CDD040D02E96EEAF6BAFB6851950"", ""Press I to open your inventory."")","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
Keybind_SkillMenu,"None","None","NSLOCTEXT(""[EF45CE9A42E1C2109AAA4DA845845F2D]"", ""1FC8AFED4020F961B520F0BFA3881996"", ""Press R to open the skills menu."")","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
Keybind_ContractMenu,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""5BC455114D66F879DB5D869D2127A642"", ""Press C to open the contracts menu."")","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
Keybind_SwapWeapon,"None","None","NSLOCTEXT(""[EF45CE9A42E1C2109AAA4DA845845F2D]"", ""EB6CC74F45EAA530326E74833EDACF09"", ""Press E to swap to your equipped Relic."")","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
Keybind_VanityCamera,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""915263DF4924B14F26C966932FB417FE"", ""Press V to quickly zoom in on your character. Use Mouse Wheel Up or Mouse Wheel Down to zoom in or out."")","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
Keybind_HideHUD,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""C860D2B545A3F0047577F0B9D607B249"", ""Press F12 to hide/unhide the interface."")","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
Keybind_QuestTracker,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""4D1EC4CA49512A74393EB486D67294DE"", ""Press \\ (backslash) to toggle the quest tracker."")","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
Keybind_CloseUI,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""01D4FB7649E26236663C19A1F586F843"", ""Press ESC to open the options menu or close a UI window."")","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
Keybind_Chat,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""D80CC93F4F007C543A118BA5F3B21493"", ""Press ENTER or / (forward slash) to chat in game."")","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
Keybind_HelpMenu,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""60D4BE3D4E2EF912E43441B73AD2AF62"", ""Press H to toggle the help menu."")","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
