---,DisplayName,bSave,bStartingPet,bIgnoreSpawnCollision,MinionOffset,MinionScaleMultiplier,Description,DefaultSkill,MinionClass,CharacterCreateMinionClass,ClosestDyeColor,bIsFlying,CharacterSelectIdle,Hitpoints,Damage,LifetimeSeconds,QualityTags,DropWeight,GameplayTags,MinionTypeTag,AggroRadius,MinionGameplayTags,MinionTypeGameplayTag,TraitString1,TraitString2,TraitString3,TraitString4,TraitString5,Notes
Chakawary01,"NSLOCTEXT(""MinionsTable"", ""Chakawary01_DisplayName"", ""Green Chakawary"")","True","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName=""PetBuff_BattleCry"")","/Game/Monsters/petchakawary/petchakawary_green_bp.petchakawary_green_bp_C","None","(RowName="""")","False","None","6.000000","0.500000","0.000000","(GameplayTags=((TagName=""ItemQuality.Normal"")))","1000","(GameplayTags=((TagName=""Character.Minion.Pet.Chakawary"")))","(TagName=""Character.Minion.Pet.Chakawary"")","1000.000000","None","None","PetSellItemsTime=120;PetRecoverTime=120","Immortal=1","","","",""
Chakawary02,"NSLOCTEXT(""MinionsTable"", ""Chakawary02_DisplayName"", ""White Chakawary"")","True","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName=""PetBuff_BattleCry"")","/Game/Monsters/petchakawary/petchakawary_albino_bp.petchakawary_albino_bp_C","None","(RowName="""")","False","None","6.000000","0.500000","0.000000","(GameplayTags=((TagName=""ItemQuality.Legendary"")))","1000","(GameplayTags=((TagName=""Character.Minion.Pet.Chakawary"")))","(TagName=""Character.Minion.Pet.Chakawary"")","1000.000000","None","None","PetSellItemsTime=120;PetRecoverTime=120","Immortal=1","","","",""
Chakawary03,"NSLOCTEXT(""MinionsTable"", ""Chakawary03_DisplayName"", ""Aqua Chakawary"")","True","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName=""PetBuff_BattleCry"")","/Game/Monsters/petchakawary/petchakawary_aqua_bp.petchakawary_aqua_bp_C","None","(RowName="""")","False","None","6.000000","0.500000","0.000000","(GameplayTags=((TagName=""ItemQuality.Rare"")))","1000","(GameplayTags=((TagName=""Character.Minion.Pet.Chakawary"")))","(TagName=""Character.Minion.Pet.Chakawary"")","1000.000000","None","None","PetSellItemsTime=120;PetRecoverTime=120","Immortal=1","","","",""
Chakawary04,"NSLOCTEXT(""MinionsTable"", ""Chakawary04_DisplayName"", ""Crimson Chakawary"")","True","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName=""PetBuff_BattleCry"")","/Game/Monsters/petchakawary/petchakawary_crimson_bp.petchakawary_crimson_bp_C","None","(RowName="""")","False","None","6.000000","0.500000","0.000000","(GameplayTags=((TagName=""ItemQuality.Rare"")))","1000","(GameplayTags=((TagName=""Character.Minion.Pet.Chakawary"")))","(TagName=""Character.Minion.Pet.Chakawary"")","1000.000000","None","None","PetSellItemsTime=120;PetRecoverTime=120","Immortal=1","","","",""
Chakawary05,"NSLOCTEXT(""MinionsTable"", ""Chakawary05_DisplayName"", ""Golden Chakawary"")","True","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName=""PetBuff_BattleCry"")","/Game/Monsters/petchakawary/petchakawary_golden_bp.petchakawary_golden_bp_C","None","(RowName="""")","False","None","6.000000","0.500000","0.000000","(GameplayTags=((TagName=""ItemQuality.Magic"")))","1000","(GameplayTags=((TagName=""Character.Minion.Pet.Chakawary"")))","(TagName=""Character.Minion.Pet.Chakawary"")","1000.000000","None","None","PetSellItemsTime=120;PetRecoverTime=120","Immortal=1","","","",""
Chakawary06,"NSLOCTEXT(""MinionsTable"", ""Chakawary06_DisplayName"", ""Navy Chakawary"")","True","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName=""PetBuff_BattleCry"")","/Game/Monsters/petchakawary/petchakawary_navy_bp.petchakawary_navy_bp_C","None","(RowName="""")","False","None","6.000000","0.500000","0.000000","(GameplayTags=((TagName=""ItemQuality.Magic"")))","1000","(GameplayTags=((TagName=""Character.Minion.Pet.Chakawary"")))","(TagName=""Character.Minion.Pet.Chakawary"")","1000.000000","None","None","PetSellItemsTime=120;PetRecoverTime=120","Immortal=1","","","",""
Cat01,"NSLOCTEXT(""MinionsTable"", ""Cat01_DisplayName"", ""Black Cat"")","True","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName=""PetBuff_BattleCry"")","/Game/Monsters/petcat/petcat_Black_bp.petcat_Black_bp_C","None","(RowName="""")","False","None","6.000000","0.500000","0.000000","(GameplayTags=((TagName=""ItemQuality.Legendary"")))","1000","(GameplayTags=((TagName=""Character.Minion.Pet.Cat"")))","(TagName=""Character.Minion.Pet.Cat"")","1000.000000","None","None","PetSellItemsTime=120;PetRecoverTime=120","Immortal=1","","","",""
Cat02,"NSLOCTEXT(""MinionsTable"", ""Cat02_DisplayName"", ""Buttercup Cat"")","True","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName=""PetBuff_BattleCry"")","/Game/Monsters/petcat/petcat_Buttercup_bp.petcat_Buttercup_bp_C","None","(RowName="""")","False","None","6.000000","0.500000","0.000000","(GameplayTags=((TagName=""ItemQuality.Normal"")))","1000","(GameplayTags=((TagName=""Character.Minion.Pet.Cat"")))","(TagName=""Character.Minion.Pet.Cat"")","1000.000000","None","None","PetSellItemsTime=120;PetRecoverTime=120","Immortal=1","","","",""
Cat03,"NSLOCTEXT(""MinionsTable"", ""Cat03_DisplayName"", ""Siamese Cat"")","True","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName=""PetBuff_BattleCry"")","/Game/Monsters/petcat/petcat_Siamese_bp.petcat_Siamese_bp_C","None","(RowName="""")","False","None","6.000000","0.500000","0.000000","(GameplayTags=((TagName=""ItemQuality.Rare"")))","1000","(GameplayTags=((TagName=""Character.Minion.Pet.Cat"")))","(TagName=""Character.Minion.Pet.Cat"")","1000.000000","None","None","PetSellItemsTime=120;PetRecoverTime=120","Immortal=1","","","",""
Cat04,"NSLOCTEXT(""MinionsTable"", ""Cat04_DisplayName"", ""Tabby Cat"")","True","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName=""PetBuff_BattleCry"")","/Game/Monsters/petcat/petcat_Tabby_bp.petcat_Tabby_bp_C","None","(RowName="""")","False","None","6.000000","0.500000","0.000000","(GameplayTags=((TagName=""ItemQuality.Magic"")))","1000","(GameplayTags=((TagName=""Character.Minion.Pet.Cat"")))","(TagName=""Character.Minion.Pet.Cat"")","1000.000000","None","None","PetSellItemsTime=120;PetRecoverTime=120","Immortal=1","","","",""
