---,Trait,DisplayName,SkillCostFormat,bHideSkillCost,bNegateSkillCostInUI,SupportsMin,SupportsMax,SupportsRegen,SupportsRegenMax,ResetType,ValueType,NoResourceNarratorQuip,bLockOnDeath,bResetOnRevive,Notes
Hitpoints,"Hitpoints","NSLOCTEXT(""ActiveTraitsTable"", ""AD1F39044EF938A413BFA3B232889919"", ""Health"")","","False","False","True","True","True","False","ResetToMax","Continuous","AttackIsEffective","True","True",""
Energy,"Energy","NSLOCTEXT(""ActiveTraitsTable"", ""EAAE6E0A47C42D3241E4C0A693F927E6"", ""Mana"")","NSLOCTEXT(""ActiveTraitsTable"", ""0DC010A84375AED7B4C7A4AA9046F7AA"", ""{0} Mana"")","False","False","False","True","True","True","ResetToDeltaMax","Continuous","NotEnoughMana","True","True",""
RecentDamage,"RecentDamage","","","False","False","True","False","True","False","ResetToMin","Continuous","AttackIsEffective","True","True",""
LightChargeBar,"LightChargeBar","NSLOCTEXT(""ActiveTraitsTable"", ""26376DF7495051C59E0E658D4F26AF15"", ""Light Charge Bar"")","","False","False","True","True","True","False","None","Continuous","AttackIsEffective","True","True",""
DarkChargeBar,"DarkChargeBar","NSLOCTEXT(""ActiveTraitsTable"", ""9D55B28A4E54A4EC7B76E394EE48B50C"", ""Dark Charge Bar"")","","False","False","True","True","True","False","None","Continuous","AttackIsEffective","True","True",""
ForgedHeat,"ForgedHeat","NSLOCTEXT(""ActiveTraitsTable"", ""6C7FD0DD41E510E481A5158E33BDD6C3"", ""Heat"")","NSLOCTEXT(""ActiveTraitsTable"", ""7F42C9464B492192BB70CFA24CBC878F"", ""{0} Heat"")","False","True","True","True","True","False","ResetToMin","Continuous","NotEnoughHeat","True","True",""
RailmanEndurance,"RailmanEndurance","NSLOCTEXT(""ActiveTraitsTable"", ""66E6F6AA460A1C3E0DEF7CBCD6141C49"", ""Endurance"")","NSLOCTEXT(""ActiveTraitsTable"", ""C97177B14F91D50EEE0276A2F415C17B"", ""{0} Endurance"")","False","False","False","True","True","True","ResetToDeltaMax","Continuous","NotEnoughEndurance","True","True",""
Ammo,"Ammo","NSLOCTEXT(""ActiveTraitsTable"", ""FF4A25344371EE79C2D56DB5D7522A9F"", ""Ammo"")","NSLOCTEXT(""ActiveTraitsTable"", ""AFD27B1B480AC58C420F76872472E2CE"", ""{0} Ammo"")","False","False","True","True","True","True","ResetToMax","Continuous","NotEnoughAmmo","True","True",""
EmberWeaponCharge,"EmberWeaponCharge","NSLOCTEXT(""ActiveTraitsTable"", ""BEA551C242892BDFCD7CFFB3AA25096C"", ""Relic Charge"")","","True","False","True","True","True","False","None","Continuous","None","True","True",""
EmberWeaponDrain,"EmberWeaponDrain","NSLOCTEXT(""ActiveTraitsTable"", ""7DD902524E110205E9C1F68D610DF873"", ""Relic Drain"")","","True","False","True","True","True","False","None","Continuous","None","True","True",""
ScatterShotCharge,"ScatterShotCharge","","","False","False","True","True","True","False","ResetToMin","Continuous","None","True","True",""
RMHammerSpinCharges,"RMHammerSpinCharges","NSLOCTEXT(""ActiveTraitsTable"", ""6C33A18344C3057CBA5B40AC16A45212"", ""Charges"")","NSLOCTEXT(""ActiveTraitsTable"", ""BBA0712D45C01CF12189E9BF64E809F8"", ""{0} Charge"")","False","False","True","True","True","False","None","Continuous","None","True","True",""
ShadowStepCharges,"ShadowStepCharges","NSLOCTEXT(""ActiveTraitsTable"", ""EEE3EDA54CE3EE729804DC8C596C8012"", ""Shadow Step Charges"")","NSLOCTEXT(""ActiveTraitsTable"", ""10A158B942AD868CC248BE813D4E4767"", ""{0} Shadow Step Charge"")","False","False","True","True","True","False","ResetToMax","Continuous","None","True","True",""
SmokeBombCharges,"SmokeBombCharges","NSLOCTEXT(""ActiveTraitsTable"", ""900499C340118E8CD5055CA1D3137225"", ""Smoke Bomb Charges"")","NSLOCTEXT(""ActiveTraitsTable"", ""DB24F9BD4D94B8771C028E9E78DF8F31"", ""{0} Charge"")","False","False","True","True","True","False","ResetToMax","Continuous","None","True","True",""
