---,DisplayName,Description,DescriptionLong,FlavorText,CustomTypeText,EmberWeaponData,OffHandWeaponToEquip,bUseAffixWithName,SlotForSkillDescription,LevelRangeString,MinLevel,MaxLevel,DropWeight,GoldValue,ItemWardrobe,bCanBeDyed,DyeRow,GameplayTagContainer,AffixAnyTagContainer,AffixAllTagContainer,AffixSpawnRowName,ItemQuality,LootContent,LootContentRecipe,LootContentRecipeUnit,DamageTypeTag,SpokeTags,PlayerClassTags,ItemSetTag,AnimSlotPrefix,AnimSlotSuffix,bIsTwoHanded,bCanSell,bCanDestroy,bCanBeUsed,bCanBulkBuy,bIgnoreLevel,bIgnoreSpoke,bIgnoreDroppedArea,AttackSpeedIndex,bIsStatStick,PickupAction,PickUpTraitString,MaxStackSize,IconOverride,ItemClass,Notes
Armor_Common_Boots_Global_01,"NSLOCTEXT(""ItemsTable"", ""Armor_Common_Boots_Global_01_DisplayName"", ""Soft Boots"")","","","","","(RowName="""")","(RowName="""")","False","None","1-45","0.000000","0.000000","1","8.000000","(RowName=""Common_Global_1_Boots"")","True","(RowName="""")","(GameplayTags=((TagName=""Item.Armour.Boots"")))","(GameplayTags=((TagName=""Affix.Defense""),(TagName=""Affix.Hitpoints.Bonus"")))","(GameplayTags=((TagName=""Item.Armour.Boots"")))","Armor_Normal","Normal","(RowName="""")","None","(RowName="""")","(TagName="""")","(GameplayTags=)","(GameplayTags=((TagName=""Character.Player.DuskMage""),(TagName=""Character.Player.Railman""),(TagName=""Character.Player.Sharpshooter"")))","(TagName="""")","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armor_Common_Boots_Global_02,"NSLOCTEXT(""ItemsTable"", ""Armor_Common_Boots_Global_01_DisplayName"", ""Soft Boots"")","","","","","(RowName="""")","(RowName="""")","False","None","25-60","0.000000","0.000000","1","8.000000","(RowName=""Common_Global_2_Boots"")","True","(RowName="""")","(GameplayTags=((TagName=""Item.Armour.Boots"")))","(GameplayTags=((TagName=""Affix.Defense""),(TagName=""Affix.Hitpoints.Bonus"")))","(GameplayTags=((TagName=""Item.Armour.Boots"")))","Armor_Normal","Normal","(RowName="""")","None","(RowName="""")","(TagName="""")","(GameplayTags=)","(GameplayTags=((TagName=""Character.Player.DuskMage""),(TagName=""Character.Player.Railman""),(TagName=""Character.Player.Sharpshooter"")))","(TagName="""")","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armor_Common_Boots_Newbie_01,"NSLOCTEXT(""ItemsTable"", ""CB1FC9F644E5BBA9E9FC83B27D10FBE4"", ""Ragged Footwraps"")","","","","","(RowName="""")","(RowName="""")","False","None","","0.000000","0.000000","0","0.000000","(RowName=""Newbie_Boots"")","True","(RowName="""")","(GameplayTags=((TagName=""Item.Armour.Boots"")))","(GameplayTags=((TagName=""Affix.Defense""),(TagName=""Affix.Hitpoints.Bonus"")))","(GameplayTags=((TagName=""Item.Armour.Boots"")))","Armor_Starter_Medium","Normal","(RowName="""")","None","(RowName="""")","(TagName="""")","(GameplayTags=)","(GameplayTags=((TagName=""Character.Player.DuskMage""),(TagName=""Character.Player.Railman""),(TagName=""Character.Player.Sharpshooter"")))","(TagName="""")","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armor_Common_Boots_Nude_01,"NSLOCTEXT(""ItemsTable"", ""771D51E249058FEDFE37CE8199E23C8F"", ""Boots A"")","","","","","(RowName="""")","(RowName="""")","False","None","","0.000000","0.000000","0","0.000000","(RowName=""Nude_1_Boots"")","False","(RowName="""")","(GameplayTags=((TagName=""Item.Armour.Boots"")))","(GameplayTags=)","(GameplayTags=)","None","None","(RowName="""")","None","(RowName="""")","(TagName="""")","(GameplayTags=)","(GameplayTags=((TagName=""Character.Player.DuskMage""),(TagName=""Character.Player.Railman""),(TagName=""Character.Player.Sharpshooter"")))","(TagName="""")","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armor_Common_Chest_Global_01,"NSLOCTEXT(""ItemsTable"", ""Armor_Common_Chest_Global_01_DisplayName"", ""Rough Tunic"")","","","","","(RowName="""")","(RowName="""")","False","None","1-45","0.000000","0.000000","1","8.000000","(RowName=""Common_Global_1_Chest"")","True","(RowName="""")","(GameplayTags=((TagName=""Item.Armour.Chest"")))","(GameplayTags=((TagName=""Affix.Defense""),(TagName=""Affix.Hitpoints.Bonus"")))","(GameplayTags=((TagName=""Item.Armour.Chest"")))","Armor_Normal","Normal","(RowName="""")","None","(RowName="""")","(TagName="""")","(GameplayTags=)","(GameplayTags=((TagName=""Character.Player"")))","(TagName="""")","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armor_Common_Chest_Global_02,"NSLOCTEXT(""ItemsTable"", ""Armor_Common_Chest_Global_01_DisplayName"", ""Rough Tunic"")","","","","","(RowName="""")","(RowName="""")","False","None","25-60","0.000000","0.000000","1","8.000000","(RowName=""Common_Global_2_Chest"")","True","(RowName="""")","(GameplayTags=((TagName=""Item.Armour.Chest"")))","(GameplayTags=((TagName=""Affix.Defense""),(TagName=""Affix.Hitpoints.Bonus"")))","(GameplayTags=((TagName=""Item.Armour.Chest"")))","Armor_Normal","Normal","(RowName="""")","None","(RowName="""")","(TagName="""")","(GameplayTags=)","(GameplayTags=((TagName=""Character.Player"")))","(TagName="""")","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armor_Common_Chest_Newbie_01,"NSLOCTEXT(""ItemsTable"", ""174783B9466B14A531484BB904D2FB93"", ""Tattered Rags"")","","","","","(RowName="""")","(RowName="""")","False","None","","0.000000","0.000000","0","0.000000","(RowName=""Newbie_Chest"")","True","(RowName="""")","(GameplayTags=((TagName=""Item.Armour.Chest"")))","(GameplayTags=((TagName=""Affix.Defense""),(TagName=""Affix.Hitpoints.Bonus"")))","(GameplayTags=((TagName=""Item.Armour.Chest"")))","Armor_Starter_Large","Normal","(RowName="""")","None","(RowName="""")","(TagName="""")","(GameplayTags=)","(GameplayTags=((TagName=""Character.Player"")))","(TagName="""")","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armor_Common_Chest_Nude_01,"NSLOCTEXT(""ItemsTable"", ""E7EDDB634BFA239577130B8A2C0C3507"", ""Naked Chest"")","","","","","(RowName="""")","(RowName="""")","False","None","","0.000000","0.000000","0","0.000000","(RowName=""Nude_1_Chest"")","False","(RowName=""Undies"")","(GameplayTags=((TagName=""Item.Armour.Chest"")))","(GameplayTags=)","(GameplayTags=)","None","None","(RowName="""")","None","(RowName="""")","(TagName="""")","(GameplayTags=)","(GameplayTags=((TagName=""Character.Player"")))","(TagName="""")","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armor_Common_Gloves_Global_01,"NSLOCTEXT(""ItemsTable"", ""Armor_Common_Gloves_Global_01_DisplayName"", ""Rough Gloves"")","","","","","(RowName="""")","(RowName="""")","False","None","1-45","0.000000","0.000000","1","8.000000","(RowName=""Common_Global_1_Gloves"")","True","(RowName="""")","(GameplayTags=((TagName=""Item.Armour.Gloves"")))","(GameplayTags=((TagName=""Affix.Defense""),(TagName=""Affix.Hitpoints.Bonus"")))","(GameplayTags=((TagName=""Item.Armour.Gloves"")))","Armor_Normal","Normal","(RowName="""")","None","(RowName="""")","(TagName="""")","(GameplayTags=)","(GameplayTags=((TagName=""Character.Player.DuskMage""),(TagName=""Character.Player.Forged""),(TagName=""Character.Player.Sharpshooter"")))","(TagName="""")","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armor_Common_Gloves_Global_02,"NSLOCTEXT(""ItemsTable"", ""Armor_Common_Gloves_Global_01_DisplayName"", ""Rough Gloves"")","","","","","(RowName="""")","(RowName="""")","False","None","25-60","0.000000","0.000000","1","8.000000","(RowName=""Common_Global_2_Gloves"")","True","(RowName="""")","(GameplayTags=((TagName=""Item.Armour.Gloves"")))","(GameplayTags=((TagName=""Affix.Defense""),(TagName=""Affix.Hitpoints.Bonus"")))","(GameplayTags=((TagName=""Item.Armour.Gloves"")))","Armor_Normal","Normal","(RowName="""")","None","(RowName="""")","(TagName="""")","(GameplayTags=)","(GameplayTags=((TagName=""Character.Player"")))","(TagName="""")","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armor_Common_Gloves_Nude_01,"NSLOCTEXT(""ItemsTable"", ""23F1531C4CDEB2A6E5FBADA9E9172A0D"", ""Gloves A"")","","","","","(RowName="""")","(RowName="""")","False","None","","0.000000","0.000000","0","0.000000","(RowName=""Nude_1_Gloves"")","False","(RowName="""")","(GameplayTags=((TagName=""Item.Armour.Gloves"")))","(GameplayTags=)","(GameplayTags=)","None","None","(RowName="""")","None","(RowName="""")","(TagName="""")","(GameplayTags=)","(GameplayTags=((TagName=""Character.Player"")))","(TagName="""")","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armor_Common_Hatch_Global_01,"NSLOCTEXT(""ItemsTable"", ""Armor_Common_Hatch_Global_01_DisplayName"", ""Basic Hatch"")","","","","","(RowName="""")","(RowName="""")","False","None","1-45","0.000000","0.000000","1","8.000000","(RowName=""Common_Global_1_Hatch"")","True","(RowName="""")","(GameplayTags=((TagName=""Item.Armour.Hatch"")))","(GameplayTags=((TagName=""Affix.Defense""),(TagName=""Affix.Hitpoints.Bonus"")))","(GameplayTags=((TagName=""Item.Armour.Hatch"")))","Armor_Normal","Normal","(RowName="""")","None","(RowName="""")","(TagName="""")","(GameplayTags=)","(GameplayTags=((TagName=""Character.Player.Forged"")))","(TagName="""")","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armor_Common_Hatch_Global_02,"NSLOCTEXT(""ItemsTable"", ""Armor_Common_Hatch_Global_01_DisplayName"", ""Basic Hatch"")","","","","","(RowName="""")","(RowName="""")","False","None","25-60","0.000000","0.000000","1","8.000000","(RowName=""Common_Global_2_Hatch"")","True","(RowName="""")","(GameplayTags=((TagName=""Item.Armour.Hatch"")))","(GameplayTags=((TagName=""Affix.Defense""),(TagName=""Affix.Hitpoints.Bonus"")))","(GameplayTags=((TagName=""Item.Armour.Hatch"")))","Armor_Normal","Normal","(RowName="""")","None","(RowName="""")","(TagName="""")","(GameplayTags=)","(GameplayTags=((TagName=""Character.Player.Forged"")))","(TagName="""")","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armor_Common_Hatch_Nude_01,"NSLOCTEXT(""ItemsTable"", ""0B4FACF6426CE5E304FCC6920FC1962D"", ""Hatch A"")","","","","","(RowName="""")","(RowName="""")","False","None","","0.000000","0.000000","0","0.000000","(RowName=""Nude_1_Hatch"")","False","(RowName="""")","(GameplayTags=((TagName=""Item.Armour.Hatch"")))","(GameplayTags=)","(GameplayTags=)","None","None","(RowName="""")","None","(RowName="""")","(TagName="""")","(GameplayTags=)","(GameplayTags=((TagName=""Character.Player.Forged"")))","(TagName="""")","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armor_Common_Head_Nude_01,"NSLOCTEXT(""ItemsTable"", ""Armor_Common_Head_Nude_01_DisplayName"", ""Head A"")","","","","","(RowName="""")","(RowName="""")","False","None","","0.000000","0.000000","0","0.000000","(RowName=""Nude_1_Head"")","False","(RowName="""")","(GameplayTags=((TagName=""Item.Armour.Head"")))","(GameplayTags=)","(GameplayTags=)","None","None","(RowName="""")","None","(RowName="""")","(TagName="""")","(GameplayTags=)","(GameplayTags=((TagName=""Character.Player"")))","(TagName="""")","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armor_Common_Head_Nude_02,"NSLOCTEXT(""ItemsTable"", ""Armor_Common_Head_Nude_02_DisplayName"", ""Head B"")","","","","","(RowName="""")","(RowName="""")","False","None","","0.000000","0.000000","0","0.000000","(RowName=""Nude_2_Head"")","False","(RowName="""")","(GameplayTags=((TagName=""Item.Armour.Head"")))","(GameplayTags=)","(GameplayTags=)","None","None","(RowName="""")","None","(RowName="""")","(TagName="""")","(GameplayTags=)","(GameplayTags=((TagName=""Character.Player"")))","(TagName="""")","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armor_Common_Head_Nude_03,"NSLOCTEXT(""ItemsTable"", ""Armor_Common_Head_Nude_03_DisplayName"", ""Head C"")","","","","","(RowName="""")","(RowName="""")","False","None","","0.000000","0.000000","0","0.000000","(RowName=""Nude_3_Head"")","False","(RowName="""")","(GameplayTags=((TagName=""Item.Armour.Head"")))","(GameplayTags=)","(GameplayTags=)","None","None","(RowName="""")","None","(RowName="""")","(TagName="""")","(GameplayTags=)","(GameplayTags=((TagName=""Character.Player"")))","(TagName="""")","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armor_Common_Head_Nude_04,"NSLOCTEXT(""ItemsTable"", ""Armor_Common_Head_Nude_04_DisplayName"", ""Head D"")","","","","","(RowName="""")","(RowName="""")","False","None","","0.000000","0.000000","0","0.000000","(RowName=""Nude_4_Head"")","False","(RowName="""")","(GameplayTags=((TagName=""Item.Armour.Head"")))","(GameplayTags=)","(GameplayTags=)","None","None","(RowName="""")","None","(RowName="""")","(TagName="""")","(GameplayTags=)","(GameplayTags=((TagName=""Character.Player"")))","(TagName="""")","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armor_Common_Head_Nude_05,"NSLOCTEXT(""ItemsTable"", ""Armor_Common_Head_Nude_05_DisplayName"", ""Head E"")","","","","","(RowName="""")","(RowName="""")","False","None","","0.000000","0.000000","0","0.000000","(RowName=""Nude_5_Head"")","False","(RowName="""")","(GameplayTags=((TagName=""Item.Armour.Head"")))","(GameplayTags=)","(GameplayTags=)","None","None","(RowName="""")","None","(RowName="""")","(TagName="""")","(GameplayTags=)","(GameplayTags=((TagName=""Character.Player"")))","(TagName="""")","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
