---,Type,Item,Prop,PropSpawn,Trait,Currency,Pet,PetSpawn,Spawn,AffixSpawn,ItemModifySpawn,SpawnLevelFrom,SpawnLevelFixed,SpawnLevelAdd,SpawnLevelMult,Query,RequiredItemLevel,Tags,TagQuery,Quantity,bDropOnGround,bHidden,TraitParameterRowName,TraitParameterSource,bLimitedTime,bApplyToFortProp,StatusEffectClass,StatusEffectDuration,Notes
AlphaWardrobeDM,"FortProp","(RowName="""")","(RowName=""AlphaContractStatue_DuskMage"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","Fixed","1.000000","0.000000","0.000000","None","0.000000","(GameplayTags=)","(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")","1","False","False","None","CustomRowName","True","False","None","0.000000",""
AlphaWardrobeForged,"FortProp","(RowName="""")","(RowName=""AlphaContractStatue_Forged"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","Fixed","1.000000","0.000000","0.000000","None","0.000000","(GameplayTags=)","(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")","1","False","False","None","CustomRowName","True","False","None","0.000000",""
ContractReward_TestEmberWeapon,"Item","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","Fixed","1.000000","0.000000","0.000000","None","0.000000","(GameplayTags=)","(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")","1","False","False","None","CustomRowName","True","False","None","0.000000",""
ContractReward_TestFortProp,"FortProp","(RowName="""")","(RowName=""GoblinMinerStatue_Copper"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","Fixed","1.000000","0.000000","0.000000","None","0.000000","(GameplayTags=)","(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")","1","False","False","None","CustomRowName","False","False","None","0.000000",""
DyeSet_Legendary,"RandomDrop","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName=""DyeSet_Legendary"")","(RowName="""")","(RowName="""")","Fixed","1.000000","0.000000","0.000000","None","0.000000","(GameplayTags=)","(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")","1","False","False","None","CustomRowName","False","False","None","0.000000",""
DyeSet_Rare,"RandomDrop","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName=""DyeSet_Rare"")","(RowName="""")","(RowName="""")","Fixed","1.000000","0.000000","0.000000","None","0.000000","(GameplayTags=)","(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")","1","False","False","None","CustomRowName","False","False","None","0.000000",""
Enchanting_1H_Enhanced,"Trait","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName=""EmberCore"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","Fixed","1.000000","0.000000","0.000000","None","0.000000","(GameplayTags=)","(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")","1","False","False","Enhanced1h","CustomRowName","False","False","None","0.000000",""
Enchanting_1H_FlameorFreeze,"Trait","(RowName="""")","(RowName="""")","(RowName="""")","(RowName=""RecipeUnlocked"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","Fixed","1.000000","0.000000","0.000000","None","0.000000","(GameplayTags=)","(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")","1","False","False","FlameorFreeze1h","CustomRowName","False","False","None","0.000000",""
Enchanting_1H_GoblinHater,"Trait","(RowName="""")","(RowName="""")","(RowName="""")","(RowName=""RecipeUnlocked"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","Fixed","1.000000","0.000000","0.000000","None","0.000000","(GameplayTags=)","(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")","1","False","False","GoblinHater1h","CustomRowName","False","False","None","0.000000",""
Enchanting_1H_HotOrCold,"Trait","(RowName="""")","(RowName="""")","(RowName="""")","(RowName=""RecipeUnlocked"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","Fixed","1.000000","0.000000","0.000000","None","0.000000","(GameplayTags=)","(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")","1","False","False","HotorCold1h","CustomRowName","False","False","None","0.000000",""
