---,AffixText,AffixTextDescription,bRequiresAreas,RowType,NoPickWeight,EntryType1,Entry1,EntryTags1,WeightOrCount1,RequireQuest1,EntryType2,Entry2,EntryTags2,WeightOrCount2,RequireQuest2,EntryType3,Entry3,EntryTags3,WeightOrCount3,RequireQuest3,EntryType4,Entry4,EntryTags4,WeightOrCount4,RequireQuest4,EntryType5,Entry5,EntryTags5,WeightOrCount5,RequireQuest5,EntryType6,Entry6,EntryTags6,WeightOrCount6,RequireQuest6,EntryType7,Entry7,EntryTags7,WeightOrCount7,RequireQuest7,EntryType8,Entry8,EntryTags8,WeightOrCount8,RequireQuest8,DataCurves,Weight,OwnedGameplayTags,DungeonRequireAllTags,DungeonRequireAnyTags,DungeonExcludeAnyTags,Entries,Notes
ExampleProperties,"","","False","All","0","SetProperty","bReviveInTown|true","(GameplayTags=)","1","","SetProperty","AreaGroup|MapWorks","(GameplayTags=)","1","","SetProperty","MonsterLevelDelta|3","(GameplayTags=)","1","","SetGameplayTag","SpokeTag|Region.GoblinIsle.GoblinForest","(GameplayTags=)","1","","SetGameplayTagContainer","ThemedPropTags|Theme.None","(GameplayTags=)","1","","SetProperty","BossMonsters|((RowName=""Goblin_Brute_Story_Boss""))","(GameplayTags=)","1","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None,None,None,None,None,None,None,None)",""
MapWorksDungeon_Global,"","","False","Pick","0","GotoRow","MapWorksDungeon_GoblinForest","(GameplayTags=)","1","","GotoRow","MapWorksDungeon_InfestedForest","(GameplayTags=)","1","","GotoRow","MapWorksDungeon_EchonokMountains","(GameplayTags=)","1","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None,None,None,None,None,None,None,None)",""
MapWorksDungeon_GoblinForest,"","","False","Pick","0","GotoRow","Wideload","(GameplayTags=)","1","","GotoRow","Witch","(GameplayTags=)","1","","GotoRow","Kronch","(GameplayTags=)","1","","GotoRow","Strongtusk","(GameplayTags=)","1","","GotoRow","Dogjockey","(GameplayTags=)","1","","GotoRow","Brall","(GameplayTags=)","1","A1C5Q3","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None,None,None,None,None,None,None,None)",""
MapWorksDungeon_InfestedForest,"","","False","Pick","0","GotoRow","Krronk","(GameplayTags=)","1","","GotoRow","Psora","(GameplayTags=)","1","","GotoRow","Syzygyx","(GameplayTags=)","1","","GotoRow","Spinderella","(GameplayTags=)","1","","GotoRow","Sadista","(GameplayTags=)","1","A2C5Q2","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None,None,None,None,None,None,None,None)",""
MapWorksDungeon_EchonokMountains,"","","False","Pick","0","GotoRow","Thunderthighs","(GameplayTags=)","1","","GotoRow","Overcharger","(GameplayTags=)","1","","GotoRow","Squawkclaw","(GameplayTags=)","1","","GotoRow","Shriekbeak","(GameplayTags=)","1","","GotoRow","Hexx","(GameplayTags=)","1","","GotoRow","Ordrak","(GameplayTags=)","1","A3C4Q2","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None,None,None)",""
PhaseDungeon,"","","False","Pick","0","GotoRow","PhaseDungeon_Act1","(GameplayTags=)","1","","GotoRow","PhaseDungeon_Act2","(GameplayTags=)","1","","GotoRow","PhaseDungeon_Act3","(GameplayTags=)","1","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
PhaseDungeon_Act1,"NSLOCTEXT(""MapWorksTable"", ""9C48340246574BECE3C8DD848EC93BF2"", ""Phased Boss Fight: +1 Level, +100% Lifebound Luck, Revive in Town"")","","False","Pick","0","GotoRow","Wideload_Phased","(GameplayTags=)","1","","GotoRow","Strongtusk_Phased","(GameplayTags=)","1","","GotoRow","Brall_Phased","(GameplayTags=)","1","A1C5Q3","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Wideload_Phased,"","","False","All","0","AddAreaChain","GF2_Caves2a_boss_gc3","(GameplayTags=)","1","","GotoRow","SharedChanges_Phase","(GameplayTags=)","1","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Strongtusk_Phased,"","","False","All","0","AddAreaChain","GF5_Forest1b_boss_gc3","(GameplayTags=)","1","","GotoRow","SharedChanges_Phase","(GameplayTags=)","1","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Brall_Phased,"","","False","All","0","AddAreaChain","GF5_Cave1a_boss_gc1","(GameplayTags=)","1","","GotoRow","SharedChanges_Phase","(GameplayTags=)","1","","GotoRow","DisableBossArenaExit","(GameplayTags=)","1","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
