---,AssignableSkillSet,DisplayName,Icon,Background,EmberWeaponHeaderBackground,EmberWeaponIcon,EmberWeaponFlavorText,UIColor,SkillTabType,DescriptionClass,GameplayTagRequireAny,GameplayTagExcludeAny,Notes
DM_Light,"Default","NSLOCTEXT(""SkillsTabTable"", ""A493CE874B95208A882AAC9FCD02B0E7"", ""Light"")","PaperSprite'/Game/UI/Textures/Atlases/Inventory/Frames/T_UI-SkillLightIcon_png.T_UI-SkillLightIcon_png'","Texture2D'/Game/UI/Textures/LooseIcons/T_UI-SkillTabBackground-light.T_UI-SkillTabBackground-light'","None","None","","(R=1.000000,G=0.768600,B=0.109800,A=1.000000)","PlayerClass","/Game/UI/CharacterMenu/DMDescription.DMDescription_C","(GameplayTags=((TagName=""Skill.DuskMage.Light"")))","(GameplayTags=)",""
DM_Dark,"Default","NSLOCTEXT(""SkillsTabTable"", ""54BB7EF34032EDA164098893DA106009"", ""Dark"")","PaperSprite'/Game/UI/Textures/Atlases/Inventory/Frames/T_UI-SkillDarkIcon_png.T_UI-SkillDarkIcon_png'","Texture2D'/Game/UI/Textures/LooseIcons/T_UI-SkillTabBackground-dark.T_UI-SkillTabBackground-dark'","None","None","","(R=0.690000,G=0.000000,B=1.000000,A=1.000000)","PlayerClass","/Game/UI/CharacterMenu/DMDescription.DMDescription_C","(GameplayTags=((TagName=""Skill.DuskMage.Dark"")))","(GameplayTags=)",""
RM_Melee,"Default","NSLOCTEXT(""SkillsTabTable"", ""A8B0F7B242AD5E9DBC5709BADB33CC0C"", ""Slammer"")","PaperSprite'/Game/UI/Textures/Atlases/Inventory/Frames/T_UI-SkillLineageIcon_png.T_UI-SkillLineageIcon_png'","Texture2D'/Game/UI/Textures/LooseIcons/T_UI-SkillTabBackground-Lineage.T_UI-SkillTabBackground-Lineage'","None","None","","(R=0.031114,G=0.132755,B=0.161458,A=1.000000)","PlayerClass","/Game/UI/CharacterMenu/RMDescription.RMDescription_C","(GameplayTags=((TagName=""Skill.Railman.Melee"")))","(GameplayTags=)",""
RM_Turret,"Default","NSLOCTEXT(""SkillsTabTable"", ""25CF220645F801200EC2DFB2B8F78526"", ""Conductor"")","PaperSprite'/Game/UI/Textures/Atlases/Inventory/Frames/T_UI-SkillTrainIcon_png.T_UI-SkillTrainIcon_png'","Texture2D'/Game/UI/Textures/LooseIcons/T_UI-SkillTabBackground-Train.T_UI-SkillTabBackground-Train'","None","None","","(R=0.385417,G=0.123993,B=0.022081,A=1.000000)","PlayerClass","/Game/UI/CharacterMenu/RMDescription.RMDescription_C","(GameplayTags=((TagName=""Skill.Railman.Turret"")))","(GameplayTags=)",""
Forged_Melee,"Default","NSLOCTEXT(""SkillsTabTable"", ""8D93CD264D1A1597E304B19471F0AD2E"", ""Brawl"")","PaperSprite'/Game/UI/Textures/Atlases/Inventory/Frames/T_UI-SkillMeleeIcon_png.T_UI-SkillMeleeIcon_png'","Texture2D'/Game/UI/Textures/LooseIcons/T_UI-SkillTabBackground-Forged-Melee.T_UI-SkillTabBackground-Forged-Melee'","None","None","","(R=0.312500,G=0.081886,B=0.013021,A=1.000000)","PlayerClass","/Game/UI/CharacterMenu/ForDescription.ForDescription_C","(GameplayTags=((TagName=""Skill.Forged.Melee"")))","(GameplayTags=)",""
Forged_Ranged,"Default","NSLOCTEXT(""SkillsTabTable"", ""C6B053994B332610B2D070890FD797E3"", ""Barrage"")","PaperSprite'/Game/UI/Textures/Atlases/Inventory/Frames/T_UI-SkillRangeIcon_png.T_UI-SkillRangeIcon_png'","Texture2D'/Game/UI/Textures/LooseIcons/T_UI-SkillTabBackground-Forged-Ranged.T_UI-SkillTabBackground-Forged-Ranged'","None","None","","(R=0.066626,G=0.283149,B=0.496933,A=1.000000)","PlayerClass","/Game/UI/CharacterMenu/ForDescription.ForDescription_C","(GameplayTags=((TagName=""Skill.Forged.Ranged"")))","(GameplayTags=)",""
Pet,"Pet","NSLOCTEXT(""SkillsTabTable"", ""12EB88C64F1152A4E492319E3AE95779"", ""Pet"")","PaperSprite'/Game/UI/Textures/Atlases/Inventory/Frames/T_UI-inventoryPet_png.T_UI-inventoryPet_png'","Texture2D'/Game/UI/Textures/LooseIcons/T_UI-SkillTabBackground-Range.T_UI-SkillTabBackground-Range'","None","None","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","Pet","None","(GameplayTags=((TagName=""Skill.Pet"")))","(GameplayTags=((TagName=""Skill.Pet.Basic"")))",""
NoEmberWeapon,"None","","PaperSprite'/Game/UI/Textures/Atlases/Inventory/Frames/T_UI-SkillRelicIcon_png.T_UI-SkillRelicIcon_png'","None","None","None","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","NoEmberWeapon","None","(GameplayTags=)","(GameplayTags=)","Mostly here to help keep the code clean and select the no ember weapon tab"
BloodDrinker,"Default","NSLOCTEXT(""SkillsTabTable"", ""775516034B441E128840BC933B2E3F61"", ""Blood Drinker"")","PaperSprite'/Game/UI/Textures/Atlases/Inventory/Frames/T_UI-SkillRelicIcon_png.T_UI-SkillRelicIcon_png'","Texture2D'/Game/UI/Textures/LooseIcons/T_UI-RelicPanelBkgrndArea-Blood.T_UI-RelicPanelBkgrndArea-Blood'","Texture2D'/Game/UI/Textures/LooseIcons/T_UI-RelicPanelTopArea-Blood.T_UI-RelicPanelTopArea-Blood'","Texture2D'/Game/UI/Textures/LooseIcons/T_UI-RelicWeapon-BloodDrinker.T_UI-RelicWeapon-BloodDrinker'","NSLOCTEXT(""SkillsTabTable"", ""D0F6BFFB4DE37D6985A0EC832469E887"", ""Blood Drinker always thirsts."")","(R=0.380208,G=0.017697,B=0.000000,A=1.000000)","EmberWeapon","/Game/UI/CharacterMenu/RelicDescription.RelicDescription_C","(GameplayTags=((TagName=""Skill.EmberWeapon.BloodDrinker"")))","(GameplayTags=)",""
FlamingDestroyer,"Default","NSLOCTEXT(""SkillsTabTable"", ""66AF5DA1485051075E84C99BB90D649A"", ""Flaming Destroyer"")","PaperSprite'/Game/UI/Textures/Atlases/Inventory/Frames/T_UI-SkillRelicIcon_png.T_UI-SkillRelicIcon_png'","Texture2D'/Game/UI/Textures/LooseIcons/T_UI-RelicPanelBkgrndArea-Fire.T_UI-RelicPanelBkgrndArea-Fire'","Texture2D'/Game/UI/Textures/LooseIcons/T_UI-RelicPanelTopArea-Fire.T_UI-RelicPanelTopArea-Fire'","Texture2D'/Game/UI/Textures/LooseIcons/T_UI-RelicWeapon-FlamingDestroyer.T_UI-RelicWeapon-FlamingDestroyer'","NSLOCTEXT(""SkillsTabTable"", ""A779C632499AED432C9C60A4D23F66DD"", ""Smash.  Burn.  Explode."")","(R=1.000000,G=0.062500,B=0.062500,A=1.000000)","EmberWeapon","/Game/UI/CharacterMenu/RelicDescription.RelicDescription_C","(GameplayTags=((TagName=""Skill.EmberWeapon.FlamingDestroyer"")))","(GameplayTags=)",""
Bane,"Default","NSLOCTEXT(""SkillsTabTable"", ""39C3B1F44C80865639E9D6A45D6B19B1"", ""Bane"")","PaperSprite'/Game/UI/Textures/Atlases/Inventory/Frames/T_UI-SkillRelicIcon_png.T_UI-SkillRelicIcon_png'","Texture2D'/Game/UI/Textures/LooseIcons/T_UI-RelicPanelBkgrndArea-Poison.T_UI-RelicPanelBkgrndArea-Poison'","Texture2D'/Game/UI/Textures/LooseIcons/T_UI-RelicPanelTopArea-Poison.T_UI-RelicPanelTopArea-Poison'","Texture2D'/Game/UI/Textures/LooseIcons/T_UI-RelicWeapon-Bane.T_UI-RelicWeapon-Bane'","NSLOCTEXT(""SkillsTabTable"", ""F467041448BFDC99FA2A8D8B764B3F53"", ""A spider bite is an annoyance, thousands however..."")","(R=0.006461,G=0.317708,B=0.032615,A=1.000000)","EmberWeapon","/Game/UI/CharacterMenu/RelicDescription.RelicDescription_C","(GameplayTags=((TagName=""Skill.EmberWeapon.Bane"")))","(GameplayTags=)",""
SS_Precision,"Default","NSLOCTEXT(""SkillsTabTable"", ""5FBEAC26484052DE12B4F4A4A326487C"", ""Precision"")","PaperSprite'/Game/UI/Textures/Atlases/Inventory/Frames/T_UI-Precision_png.T_UI-Precision_png'","Texture2D'/Game/UI/Textures/LooseIcons/T_UI-SkillTabBackground-Precision.T_UI-SkillTabBackground-Precision'","None","None","","(R=0.708376,G=0.043735,B=0.230740,A=1.000000)","PlayerClass","/Game/UI/CharacterMenu/SSDescription.SSDescription_C","(GameplayTags=((TagName=""Skill.Sharpshooter.Ranged"")))","(GameplayTags=)",""
SS_Adventurer,"Default","NSLOCTEXT(""SkillsTabTable"", ""E30E79B54A4066170B9016965E88EC40"", ""Adventurer"")","PaperSprite'/Game/UI/Textures/Atlases/Inventory/Frames/T_UI-Trinket_png.T_UI-Trinket_png'","Texture2D'/Game/UI/Textures/LooseIcons/T_UI-SkillTabBackground-Trinket.T_UI-SkillTabBackground-Trinket'","None","None","","(R=0.006049,G=0.135633,B=0.035601,A=1.000000)","PlayerClass","/Game/UI/CharacterMenu/SSDescription.SSDescription_C","(GameplayTags=((TagName=""Skill.Sharpshooter.Adventurer"")))","(GameplayTags=)",""
ColdHeart,"Default","NSLOCTEXT(""SkillsTabTable"", ""D97D151E4859E88539C0138A75170829"", ""Cold Heart"")","PaperSprite'/Game/UI/Textures/Atlases/Inventory/Frames/T_UI-SkillRelicIcon_png.T_UI-SkillRelicIcon_png'","None","None","None","NSLOCTEXT(""SkillsTabTable"", ""5C9B68AB49475F8E5C612DA835C1F11A"", ""Time to make everyone chill out."")","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","EmberWeapon","/Game/UI/CharacterMenu/RelicDescription.RelicDescription_C","(GameplayTags=((TagName=""Skill.EmberWeapon.ColdHeart"")))","(GameplayTags=)",""
Electrode,"Default","NSLOCTEXT(""SkillsTabTable"", ""377242B146213467CC269BADDF6FAC30"", ""Electrode"")","PaperSprite'/Game/UI/Textures/Atlases/Inventory/Frames/T_UI-SkillRelicIcon_png.T_UI-SkillRelicIcon_png'","None","None","None","NSLOCTEXT(""SkillsTabTable"", ""D46D6DD7474FDB46BA6B4893CABC9784"", ""Show your enemies a shocking good time. "")","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","EmberWeapon","/Game/UI/CharacterMenu/RelicDescription.RelicDescription_C","(GameplayTags=((TagName=""Skill.EmberWeapon.Electrode"")))","(GameplayTags=)",""
