---,DisplayName,MaxCount,SortOrder,Notes
Decorations,"NSLOCTEXT(""FortPropGroupsTable"", ""E7BD264F478C4C7F192DAF8F2768310C"", ""Decoration"")","0","100",""
Crafting,"NSLOCTEXT(""FortPropGroupsTable"", ""D180342B410DE4DD5C8CB18911713F26"", ""Crafting"")","0","0",""
SkillObjects,"NSLOCTEXT(""FortPropGroupsTable"", ""F608F0B740510E2AE71DCFAC5388C037"", ""Skill Stations"")","0","100",""
Storage,"NSLOCTEXT(""FortPropGroupsTable"", ""9A9FE01543E3A970DAF572B3C1D16454"", ""Storage"")","0","100",""
Walls,"NSLOCTEXT(""FortPropGroupsTable"", ""8536D6CE41FBC96D43F7BBB8F8D1D0CF"", ""Walls"")","0","100",""
Flooring,"NSLOCTEXT(""FortPropGroupsTable"", ""59C095884529CDE986A0F4A0CF8EF469"", ""Flooring"")","0","100",""
Nature,"NSLOCTEXT(""FortPropGroupsTable"", ""361851B640AE503D26B6D28EF8B5C658"", ""Nature"")","0","100",""
Lighting,"NSLOCTEXT(""FortPropGroupsTable"", ""873E842746299646B6E8469097C1D601"", ""Lighting"")","0","100",""
Furniture,"NSLOCTEXT(""FortPropGroupsTable"", ""A78B7E8B4772D6CF0DDF61BE1F055CEC"", ""Furniture"")","0","100",""
Structures,"NSLOCTEXT(""FortPropGroupsTable"", ""88D9823D419A9345F23932AD659B2ED4"", ""Structures"")","0","100",""
Art,"NSLOCTEXT(""FortPropGroupsTable"", ""B4BCE3384610BC2B9BDBE5922C2B7407"", ""Art"")","0","100",""
DecorativeStorage,"NSLOCTEXT(""FortPropGroupsTable"", ""C7FBE4CC43DA80BA83D5CF80CC8E817A"", ""Clutter"")","0","100",""
Misc,"NSLOCTEXT(""FortPropGroupsTable"", ""7027015D4B834C835F1B66B8EECDD15E"", ""Odds & Ends"")","0","100",""
Wardrobes,"NSLOCTEXT(""FortPropGroupsTable"", ""74CA1FBA472ADE03AB55D4B3C74D76F6"", ""Wardrobes"")","0","100",""
MiscStorage,"NSLOCTEXT(""FortPropGroupsTable"", ""E1992AE142637F3DD76EEFA2A6EFFC74"", ""General"")","0","100",""
Functional,"NSLOCTEXT(""FortPropGroupsTable"", ""5BA776594DC61DEC4133A0AE30124C6B"", ""Functional"")","0","100",""
AccountBuffBuildings,"NSLOCTEXT(""FortPropGroupsTable"", ""F030361940A9CB5B677A369A6D660F2A"", ""Monuments"")","0","100",""
Mapworks,"NSLOCTEXT(""[64AF97D74DA1FC113EAF8299C5B8C472]"", ""CA6F501A476A4AD03B5D90BFF0C2597E"", ""*"")","0","100",""
