---,RowType,NoPickWeight,MinLevel,bErrorIfOutputIsEmpty,bRetryIfPickIsEmpty,EntryType1,Entry1,WeightOrCount1,EntryType2,Entry2,WeightOrCount2,EntryType3,Entry3,WeightOrCount3,EntryType4,Entry4,WeightOrCount4,EntryType5,Entry5,WeightOrCount5,EntryType6,Entry6,WeightOrCount6,EntryType7,Entry7,WeightOrCount7,EntryType8,Entry8,WeightOrCount8,EntryType9,Entry9,WeightOrCount9,EntryType10,Entry10,WeightOrCount10,EntryType11,Entry11,WeightOrCount11,DataCurves,Entries,Notes
DungeonStart,"All","0","0","False","False","GoToDungeonSpawnRowIfEndOfCluster","BossChallenge|true","1","GoToDungeonSpawnRowIfEndOfCluster","RegularChallenge|false","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
BossChallenge,"All","0","0","False","False","GoToDungeonSpawnRowByChallengeLevel","BossChallenge_Tier1|1-5","1","GoToDungeonSpawnRowByChallengeLevel","BossChallenge_Tier2|6-10","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
RegularChallenge,"All","0","0","False","False","GoToDungeonSpawnRowByQuality","NormalChallenge|Normal","1","GoToDungeonSpawnRowByQuality","MagicChallenge|Magic","1","GoToDungeonSpawnRowByQuality","RareChallenge|Rare","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
NormalChallenge,"All","0","0","False","False","GoToDungeonSpawnRowByChallengeLevel","NormalChallenge_Tier1|1-5","1","GoToDungeonSpawnRowByChallengeLevel","NormalChallenge_Tier2|6-10","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
MagicChallenge,"All","0","0","False","False","GoToDungeonSpawnRowByChallengeLevel","MagicChallenge_Tier1|1-5","1","GoToDungeonSpawnRowByChallengeLevel","MagicChallenge_Tier2|6-10","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
RareChallenge,"All","0","0","False","False","GoToDungeonSpawnRowByChallengeLevel","RareChallenge_Tier1|1-5","1","GoToDungeonSpawnRowByChallengeLevel","RareChallenge_Tier2|6-10","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
NormalChallenge_Tier1,"All","0","0","False","False","AddUniqueMapworksRowByName","EndlessDungeon_BaseArea","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
MagicChallenge_Tier1,"All","0","0","False","False","AddUniqueMapworksRowByName","EndlessDungeon_BaseArea","1","AddUniqueMapworksRowByFilter","Dungeon.Affix.Negative","1","AddUniqueMapworksRowByFilter","Dungeon.Affix.Positive","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
RareChallenge_Tier1,"All","0","0","False","False","AddUniqueMapworksRowByName","EndlessDungeon_BaseArea","1","AddUniqueMapworksRowByFilter","Dungeon.Affix.Negative","1","AddUniqueMapworksRowByFilter","Dungeon.Affix.Positive","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
NormalChallenge_Tier2,"All","0","0","False","False","AddUniqueMapworksRowByName","EndlessDungeon_BaseArea","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
MagicChallenge_Tier2,"All","0","0","False","False","AddUniqueMapworksRowByName","EndlessDungeon_BaseArea","1","AddUniqueMapworksRowByFilter","Dungeon.Affix.Negative","1","AddUniqueMapworksRowByFilter","Dungeon.Affix.Positive","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
RareChallenge_Tier2,"All","0","0","False","False","AddUniqueMapworksRowByName","EndlessDungeon_BaseArea","1","AddUniqueMapworksRowByFilter","Dungeon.Affix.Negative","2","AddUniqueMapworksRowByFilter","Dungeon.Affix.Positive","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
BossChallenge_Tier1,"All","0","0","False","False","AddUniqueMapworksRowByName","EndlessDungeon_BaseArea","1","AddUniqueMapworksRowByFilter","Dungeon.Affix.Negative","1","AddUniqueMapworksRowByFilter","Dungeon.Affix.Positive","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
BossChallenge_Tier2,"All","0","0","False","False","AddUniqueMapworksRowByName","EndlessDungeon_BaseArea","1","AddUniqueMapworksRowByFilter","Dungeon.Affix.Negative","1","AddUniqueMapworksRowByFilter","Dungeon.Affix.Positive","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
