---,RowType,NoPickWeight,MinLevel,bErrorIfOutputIsEmpty,bRetryIfPickIsEmpty,EntryType1,Entry1,WeightOrCount1,EntryType2,Entry2,WeightOrCount2,EntryType3,Entry3,WeightOrCount3,EntryType4,Entry4,WeightOrCount4,EntryType5,Entry5,WeightOrCount5,EntryType6,Entry6,WeightOrCount6,EntryType7,Entry7,WeightOrCount7,EntryType8,Entry8,WeightOrCount8,EntryType9,Entry9,WeightOrCount9,EntryType10,Entry10,WeightOrCount10,EntryType11,Entry11,WeightOrCount11,DataCurves,Entries,Notes
SpawnMonster_Default,"Pick","0","0","False","False","AddTrapMonsterSpawner","","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","This spawner goes to the area table to determine which monster spawner to use, and which monster spawn row to use."
SpawnMonster_OverrideMonster,"Pick","0","0","False","False","AddTrapMonsterSpawner","Mossrat","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","This row goes to the area table to find which monster spawner to use, but uses the monster spawn row defined in cell"
SpawnMonster_OverrideMonsterAndSpawner,"Pick","0","0","False","False","AddTrapMonsterSpawner","Mossrat|Blueprint'/Game/Monsters/Blueprints/Spawner/MonsterSpawnerBase_Trap.MonsterSpawnerBase_Trap_C'","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","This does not use the area table for either the spawner or the spawn table row, they are both overridden.  In order to populate the monster spawner, right-click on it, say ""Copy Reference"", paste that into the location and then add _C before the closing quote.  Note that the two are separated by a pipe."
SpawnMonster_OverrideSpawner,"Pick","0","0","False","False","AddTrapMonsterSpawner","|Blueprint'/Game/Monsters/Blueprints/Spawner/MonsterSpawnerBase_Trap.MonsterSpawnerBase_Trap_C'","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","This uses the area table for the spawn table row, but overriddes the spawner.  In order to populate the monster spawner, right-click on it, say ""Copy Reference"", paste that into the location and then add _C before the closing quote.  Note that there is a pipe as the first character."
SpawnHazard,"Pick","0","0","False","False","AddTrapHazard","Blueprint'/Game/Monsters/Blueprints/Hazard_SpiderFire.Hazard_SpiderFire_C'|4","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","This will spawn the given hazard for the specified duration.  To set the hazard, right-click on the hazard->Copy Reference, then paste into the cell and add _C before the closing quote.  Hazards require a duration.  To set the duration, add a pipe after the hazard, then put in the duration."
SpawnMonster_WithDelay,"All","0","0","False","False","AddTrapMonsterSpawner","","1","SetTrapDelay","2.5","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Traps_Goblin,"Pick","20","0","False","False","AddTrapHazard","Blueprint'/Game/Monsters/Blueprints/Hazard_SpiderFire.Hazard_SpiderFire_C'|4","1","AddTrapMonsterSpawner","Trap_Mossrat|Blueprint'/Game/Monsters/Blueprints/Spawner/MonsterSpawnerBase_Trap.MonsterSpawnerBase_Trap_C'","1","AddTrapMonsterSpawner","Trap_GoblinStabby|Blueprint'/Game/Monsters/Blueprints/Spawner/MonsterSpawnerBase_Trap.MonsterSpawnerBase_Trap_C'","1","AddTrapHazard","Blueprint'/Game/Skills/Blueprints/Monsters/Hazard_GoblinGrenade.Hazard_GoblinGrenade_C'|3","1","AddTrapMonsterSpawner","Trap_SkeletonFire|Blueprint'/Game/Monsters/Blueprints/Spawner/MonsterSpawnerBase_Trap.MonsterSpawnerBase_Trap_C'","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Traps_Fire_Undead,"Pick","20","0","False","False","AddTrapHazard","Blueprint'/Game/Monsters/Blueprints/Hazard_SpiderFire.Hazard_SpiderFire_C'|5","1","AddTrapMonsterSpawner","Trap_Mossrat|Blueprint'/Game/Monsters/Blueprints/Spawner/MonsterSpawnerBase_Trap.MonsterSpawnerBase_Trap_C'","1","AddTrapHazard","Blueprint'/Game/Skills/Blueprints/Monsters/Hazard_GoblinGrenade.Hazard_GoblinGrenade_C'|3","1","AddTrapMonsterSpawner","Trap_SkeletonFire|Blueprint'/Game/Monsters/Blueprints/Spawner/MonsterSpawnerBase_Trap.MonsterSpawnerBase_Trap_C'","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Traps_Hyvid,"Pick","20","0","False","False","AddTrapHazard","Blueprint'/Game/Monsters/Blueprints/Hazard_SpiderPoison.Hazard_SpiderPoison_C'|5","1","AddTrapHazard","Blueprint'/Game/Skills/Blueprints/Monsters/Hazard_GoblinGrenade.Hazard_GoblinGrenade_C'|3","1","AddTrapMonsterSpawner","Trap_InfestedGoblin|Blueprint'/Game/Monsters/Blueprints/Spawner/MonsterSpawnerBase_Trap.MonsterSpawnerBase_Trap_C'","1","AddTrapMonsterSpawner","Trap_VespidSoldier|Blueprint'/Game/Monsters/Blueprints/Spawner/MonsterSpawnerBase_Trap.MonsterSpawnerBase_Trap_C'","1","AddTrapMonsterSpawner","Trap_SkeletonPoison|Blueprint'/Game/Monsters/Blueprints/Spawner/MonsterSpawnerBase_Trap.MonsterSpawnerBase_Trap_C'","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Traps_Echonok,"Pick","20","0","False","False","AddTrapHazard","Blueprint'/Game/Monsters/Blueprints/Hazard_SpiderElectric.Hazard_SpiderElectric_C'|5","1","AddTrapHazard","Blueprint'/Game/Skills/Blueprints/Monsters/Hazard_GoblinGrenade.Hazard_GoblinGrenade_C'|3","1","AddTrapMonsterSpawner","Trap_AutomatonCustodian|Blueprint'/Game/Monsters/Blueprints/Spawner/MonsterSpawnerBase_Trap.MonsterSpawnerBase_Trap_C'","1","AddTrapMonsterSpawner","Trap_VolturaGlider|Blueprint'/Game/Monsters/Blueprints/Spawner/MonsterSpawnerBase_Trap.MonsterSpawnerBase_Trap_C'","1","AddTrapMonsterSpawner","Trap_SkeletonElectric|Blueprint'/Game/Monsters/Blueprints/Spawner/MonsterSpawnerBase_Trap.MonsterSpawnerBase_Trap_C'","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
