---,MapworksAffixRows,NumChallenges,bIsBonusCluster,Notes
0,"","3","False",""
1,"((RowName=""EndlessDungeon_Affix_Nimble""))","4","False",""
2,"((RowName=""EndlessDungeon_Affix_Berserking""))","4","False",""
3,"((RowName=""EndlessDungeon_Affix_Cloaked""))","4","False",""
4,"((RowName=""EndlessDungeon_Affix_Health""))","4","False",""
5,"((RowName=""EndlessDungeon_Affix_Blazing""))","4","False",""
6,"((RowName=""EndlessDungeon_Affix_Chained""))","4","False",""
7,"((RowName=""EndlessDungeon_Affix_PlagueBearer""))","4","False",""
8,"((RowName=""EndlessDungeon_Affix_Shocking""))","4","False",""
9,"((RowName=""EndlessDungeon_Affix_NetherWell""))","4","False",""
10,"((RowName=""EndlessDungeon_Affix_Gauntlet""))","4","False",""
11,"((RowName=""EndlessDungeon_Affix_Traps_All""))","4","False",""
12,"((RowName=""EndlessDungeon_Affix_GravityWell""))","4","False",""
13,"((RowName=""EndlessDungeon_Affix_Shackled""))","4","False",""
