---,TraitTextFormat,Icon,DisplayCategory,bShowAsNegative,Trait,DisplayPrimarySlot,DisplaySecondarySlot,DisplayName,DisplayNameSingular,CategoryName,Notes
HitpointBonus,"BonusPercentage","None","Defense","False","Hitpoints","Max","Multiplier","NSLOCTEXT(""TraitDisplayTable"", ""02A165214A9A42F0A07C48912F0BF4D0"", ""Bonus Health"")","","Defense",""
HitpointMax,"None","None","None","False","Hitpoints","Max","None","NSLOCTEXT(""TraitDisplayTable"", ""4C8B725B4730E065C6CF26995B0E8EEC"", ""Health"")","","None",""
HitpointRegen,"Bonus","None","Defense","False","Hitpoints","Regen","None","NSLOCTEXT(""TraitDisplayTable"", ""672610EC45FC081FB528968066B151DD"", ""Health / sec. Regen"")","","Defense",""
Damage,"None","None","AttackTypes","False","Damage","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""CC931A1C457F6B612D6C48AC6AA6765F"", ""<span color=\""#f24124\"">{0}</> Damage"")","","AttackTypes",""
DamagePct,"BonusPercentage","None","Attack","False","Damage","Value","Multiplier","NSLOCTEXT(""TraitDisplayTable"", ""47104B7A40F039605BB6008DFA9AE980"", ""Damage percent"")","","Attack",""
DamageVsTarget,"None","None","AttackTypes","False","DamageVsTarget","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""21A0DBEF4C72CF8340DC5C96B1C79ED8"", ""Damage vs. <span color=\""#f24124\"">{0}</>"")","","AttackTypes",""
GoblinDamage,"BonusPercentage","None","AttackTypes","False","DamageVsTarget","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""1D5ECBBB41FC391EA91EA4B74DBE7144"", ""Damage vs. <span color=\""#f24124\"">Goblins</>"")","","AttackTypes",""
DamagePctByElement,"None","None","AttackTypes","False","DamagePctByElement","Value","None","","","AttackTypes",""
DamagePctByStatusEffectTag,"BonusPercentage","None","Attack","False","DamagePctByStatusEffectTag","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""B5EF905341AF1E31F1D9F789A78DC064"", ""Damage Bonus vs <span color=\""#f24124\"">{0}</>"")","","Attack",""
DamagePctBySkillName,"BonusPercentage","None","SkillModifier","False","DamagePctBySkillName","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""6455485F44856EBE12B1FEBDDAB747DB"", ""Damage Bonus"")","","Attack",""
DamagePctBySkillTag,"BonusPercentage","None","SkillModifier","False","DamagePctBySkillTag","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""DB895D5D4BD8C82834A9E8A11E3DFA77"", ""Damage Bonus"")","","Attack",""
DamagePctVsTarget,"BonusPercentage","None","Attack","False","DamagePctVsTarget","Value","Multiplier","NSLOCTEXT(""TraitDisplayTable"", ""3B399B8A4F8E4711A6806E94AB824694"", ""Damage vs. <span color=\""#f24124\"">{0}</>"")","","Attack",""
GoblinDamagePct,"BonusPercentage","None","Attack","False","DamagePctVsTarget|Character.Monster.Goblin","Value","Multiplier","NSLOCTEXT(""TraitDisplayTable"", ""5D9BDF6D401DE9016C1993BC55E9D60E"", ""Damage vs. <span color=\""#f24124\"">{0}</>"")","","Attack",""
