---,SkillClass,CharacterTag,Animation,AnimationOverride,MaximumSkillLevel,MinimumSkillLevel,bShowSkillLevel,GameplayTags,ExclusiveTags,RequiredSkillTab,RequiredLevelInSkillTab,TraitMode,RequiredItemTags,TraitString,PerLevelDisplayTexts,PerLevelDisplayCategories,TraitCurve1,TraitCurve2,TraitCurve3,TraitCurve4,Tier1TraitString,Tier1DisplayText,Tier2TraitString,Tier2DisplayText,Tier3TraitString,Tier3DisplayText,bCanNeverBeUnlocked,bHiddenBehindCheats,SkillPanelRow,SkillPanelColumn,TryStatusEffect,TryDuration,DefaultSkillSet,DefaultSkillSlot,Icon,Notes
DM_HolyBolt,"/Game/Skills/Blueprints/DuskMage/Skill_holybolt.Skill_holybolt_C","Character.Player.DuskMage","Default","None","10","0","True","(GameplayTags=((TagName=""Skill.DuskMage.Light""),(TagName=""Skill.Active"")))","(GameplayTags=)","(RowName=""DM_Light"")","1","Default","(GameplayTags=)","SkillDamageFactorMultiplier|DM_HolyBolt=0.05","(NSLOCTEXT(""SkillsTable"", ""5710D4F84FDA95C34EC4ADBDE1CB551F"", ""Holy Bolt Damage""))","","PerLevelByOnes","None","None","None","SkillModifier|Skill.DuskMage.Milestone.HolyBolt2=1","NSLOCTEXT(""SkillsTable"", ""7BE10929467C1C328FC03F802862A481"", ""Every 3rd cast fires a larger Bolt that deals 50% more damage."")","DamagePctBySkillTag|Skill.DuskMage.Light=0.2","NSLOCTEXT(""SkillsTable"", ""28919A554B5A19F68B7B389E49B45F27"", ""+20% Light Skill damage"")","SkillModifier|Skill.DuskMage.Milestone.HolyBolt1=1","NSLOCTEXT(""SkillsTable"", ""6D4DFA1F4F6E79AF7E09B6A1A7BCD90A"", ""While Holy Charged, fire 2 Holy Bolts"")","False","False","1","0","(RowName="""")","30.000000","Default","Skill00","/Game/Skills/Blueprints/DuskMage/holy_bolt.holy_bolt",""
DM_UnholyBolt,"/Game/Skills/Blueprints/DuskMage/Skill_unholybolt.Skill_unholybolt_C","Character.Player.DuskMage","Default","None","10","0","True","(GameplayTags=((TagName=""Skill.DuskMage.Dark""),(TagName=""Skill.Active"")))","(GameplayTags=)","(RowName=""DM_Dark"")","1","Default","(GameplayTags=)","SkillDamageFactorMultiplier|DM_UnholyBolt=0.05","(NSLOCTEXT(""SkillsTable"", ""5CD0748C45795B54FD3D61B5E990F191"", ""Unholy Bolt Damage""))","","PerLevelByOnes","None","None","None","SkillModifier|Affix.Legendary.DuskMage.UnholyBoltExtraProjectiles=1","NSLOCTEXT(""SkillsTable"", ""90948F204FBFE976111B2FA0343867F5"", ""Adds 1 more Bolt to each cast"")","DamagePctBySkillTag|Skill.DuskMage.Dark=.2","NSLOCTEXT(""SkillsTable"", ""FF5FB52944AE79C534A664BB03499A33"", ""+20% Dark Skill damage"")","SkillModifier|Affix.Legendary.DuskMage.UnholyBoltExtraProjectiles=2","NSLOCTEXT(""SkillsTable"", ""547BB08C4316F0C2046486A6D496AF94"", ""Adds 2 more Bolts to each cast"")","False","False","0","0","(RowName="""")","30.000000","Default","Skill00","/Game/Skills/Blueprints/DuskMage/unholy_bolt.unholy_bolt",""
DM_HolyFury,"/Game/Skills/Blueprints/DuskMage/Skill_HolyFury.Skill_HolyFury_C","Character.Player.DuskMage","Default","None","10","0","True","(GameplayTags=((TagName=""Skill.DuskMage.Light""),(TagName=""Skill.Active"")))","(GameplayTags=)","(RowName=""DM_Light"")","15","Default","(GameplayTags=)","SkillDamageFactorMultiplier|DM_HolyFury=0.05","(NSLOCTEXT(""SkillsTable"", ""B721BC4347DD537E554CB1ACB7F22DED"", ""Holy Fury Damage""))","","PerLevelByOnes","PerLevelByOnes","None","None","EnergyCostPctBySkillName|DM_HolyFury=-0.3","NSLOCTEXT(""SkillsTable"", ""AAE6E1064435B05395E38F8785B2B8FC"", ""-30% Holy Fury Mana Cost"")","CriticalHitChanceForType|Skill.DuskMage.Light=.1","NSLOCTEXT(""SkillsTable"", ""349683E24AE58BC2593766A74B2FE200"", ""+10% Critical Hit Chance for Light Skills"")","EnergyCostPctBySkillName|DM_HolyFury=-0.3","NSLOCTEXT(""SkillsTable"", ""DE1965A349EBDE1AC7555ABF29B42570"", ""Holy Fury is doubled in width"")","False","False","0","3","(RowName=""TrySkill_DM_HolyFury"")","30.000000","Default","Skill00","/Game/UI/Textures/LooseIcons/Holy_Fury.Holy_Fury",""
DM_LuminousRun,"/Game/Skills/Blueprints/DuskMage/Skill_LuminousRun.Skill_LuminousRun_C","Character.Player.DuskMage","Default","None","10","0","True","(GameplayTags=((TagName=""Skill.DuskMage.Light""),(TagName=""Skill.Active""),(TagName=""Skill.Cooldown.DuskMage"")))","(GameplayTags=)","(RowName=""DM_Light"")","15","Default","(GameplayTags=)","DurationPctBySkillName|DM_LuminousRun=0.05","(NSLOCTEXT(""SkillsTable"", ""8BB6AFE045072971D2B7BA91302295AD"", ""Luminous Run Duration""))","","PerLevelByOnes","None","None","None","SkillModifier|Skill.DuskMage.Milestone.LuminousRun1=1","NSLOCTEXT(""SkillsTable"", ""2F4FB7A34D83F1CEB9A040AF8AE65DEC"", ""Activating Luminous Run heals you for 25% of your total Health"")","DamagePctBySkillTag|Skill.EmberWeapon.Active=0.2","NSLOCTEXT(""SkillsTable"", ""94AB2B23463A3D566E513D924A88981C"", ""+20% Relic Active Skill damage"")","SkillModifier|Skill.DuskMage.Milestone.LuminousRun2=1","NSLOCTEXT(""SkillsTable"", ""BA0ABB424F746A435867B7AC6D50D629"", ""Casting Luminous Run makes you immune to damage for 1 sec."")","False","False","2","3","(RowName=""TrySkill_DM_LuminousRun"")","30.000000","Default","Skill00","/Game/Skills/Blueprints/DuskMage/Lumonious_Run.Lumonious_Run",""
DM_Entropy,"/Game/Skills/Blueprints/DuskMage/Skill_Entropy.Skill_Entropy_C","Character.Player.DuskMage","Default","None","10","0","True","(GameplayTags=((TagName=""Skill.DuskMage.Dark""),(TagName=""Skill.Active"")))","(GameplayTags=)","(RowName=""DM_Dark"")","20","Default","(GameplayTags=)","SkillDamageFactorMultiplier|DM_Entropy=0.05","(NSLOCTEXT(""SkillsTable"", ""289763F5435E84EBBE1D2B8D283B427F"", ""Entropy Damage""))","","PerLevelByOnes","None","None","None","SkillModifier|Skill.DuskMage.Milestone.Entropy1=1","NSLOCTEXT(""SkillsTable"", ""9CD3CC0C46FCE0623104C5BF328FBC10"", ""Entropy lasts 50% longer and 50% slower"")","CriticalHitChanceForType|Skill.DuskMage.Dark=.1","NSLOCTEXT(""SkillsTable"", ""F9481D7845C2270B1FC777ADA4DBC468"", ""10% Critical Hit Chance for Dark Skills"")","SkillModifier|Skill.DuskMage.Milestone.Entropy2=1;EnergyCostPctBySkillName|DM_Entropy=0.3","NSLOCTEXT(""SkillsTable"", ""B476FC274573D22AF8A80F9EB26993DA"", ""Entropy triggers Dark Explosions for the skill\'s current Weapon Damage but costs 30% more Mana"")","False","False","0","4","(RowName=""TrySkill_DM_Entropy"")","30.000000","Default","Skill00","/Game/UI/Textures/LooseIcons/Entropy.Entropy",""
DM_DarkSpears,"/Game/Skills/Blueprints/DuskMage/Skill_Darkspears.Skill_Darkspears_C","Character.Player.DuskMage","Default","None","10","0","True","(GameplayTags=((TagName=""Skill.DuskMage.Dark""),(TagName=""Skill.Active""),(TagName=""Skill.Cooldown.DuskMage"")))","(GameplayTags=)","(RowName=""DM_Dark"")","1","Default","(GameplayTags=)","SkillDamageFactorMultiplier|DM_DarkSpears=0.05","(NSLOCTEXT(""SkillsTable"", ""50D479DD4BD38BBD0BEB87B0026037D2"", ""Dark Spears Damage""))","","PerLevelByOnes","PerLevelByOnes","None","None","DurationPctBySkillName|DM_DarkSpears=0.5","NSLOCTEXT(""SkillsTable"", ""4BAFBDFD49C6FA8488DB2F91CA6F9B2A"", ""+50% duration for Dark Spears"")","CooldownPctBySkillTag|Skill.Cooldown.DuskMage=-.1","NSLOCTEXT(""SkillsTable"", ""2442E74B43BE6EDCEA9C73A891AA3690"", ""-10% cooldown for Dusk Mage Skills"")","SkillModifier|Skill.DuskMage.Milestone.Darkspears2=1","NSLOCTEXT(""SkillsTable"", ""18B1DACE45E6E87C580AAE9CB2B2E451"", ""Dark Spears now immediately hits the area for 100% Weapon Damage"")","False","False","2","0","(RowName=""TrySkill_DM_DarkSpears"")","30.000000","Default","Skill00","/Game/Skills/Blueprints/DuskMage/Dark_Spears.Dark_Spears",""
DM_Absolver,"/Game/Skills/Blueprints/DuskMage/Skill_Absolver.Skill_Absolver_C","Character.Player.DuskMage","Default","None","10","0","True","(GameplayTags=((TagName=""Skill.DuskMage.Light""),(TagName=""Skill.Active"")))","(GameplayTags=)","(RowName=""DM_Light"")","20","Default","(GameplayTags=)","SkillDamageFactorMultiplier|DM_Absolver=0.05","(NSLOCTEXT(""SkillsTable"", ""7BBD7085457935F08F5CE28388E3A2E4"", ""Absolver Damage""))","(NSLOCTEXT(""SkillsTable"", ""DM_Absolver_PerLevelDisplayCategories_Index0"", """"),NSLOCTEXT(""SkillsTable"", ""B8ECEB88488EF7536CA21D90C136A3B2"", ""Dark Skills""))","PerLevelByOnes","none","None","None","EnergyCostPctBySkillName|DM_Absolver=-.25;SkillModifier|Skill.DuskMage.Milestone.Absolver1=1","NSLOCTEXT(""SkillsTable"", ""400532EA4270B07D83CC268DAA03C6D3"", ""Absolver\'s missiles travel 25% farther and cost 25% less Mana to Cast"")","DamagePctByStatusEffectTag|StatusEffect.Blinded=.1;DamagePctByStatusEffectTag|StatusEffect.Slow=.1;DamagePctByStatusEffectTag|StatusEffect.Stunned=.1","NSLOCTEXT(""SkillsTable"", ""20523E634D3FA438804C38871438666D"", ""+10% damage to Blinded, Slowed, or Stunned enemies"")","SkillModifier|Skill.DuskMage.Milestone.Absolver2=1","NSLOCTEXT(""SkillsTable"", ""CFFD02C141B5817D7FFFACB343C9F2CF"", ""Absolver now fires 5 missiles"")","False","False","1","4","(RowName=""TrySkill_DM_Absolver"")","30.000000","Default","Skill00","/Game/Skills/Blueprints/DuskMage/Absolver.Absolver",""
DM_RadiantBlast,"/Game/Skills/Blueprints/DuskMage/Skill_RadiantBlast.Skill_RadiantBlast_C","Character.Player.DuskMage","Default","None","10","0","True","(GameplayTags=((TagName=""Skill.DuskMage.Light""),(TagName=""Skill.Active"")))","(GameplayTags=)","(RowName=""DM_Light"")","5","Default","(GameplayTags=)","SkillDamageFactorMultiplier|DM_RadiantBlast=0.05","(NSLOCTEXT(""SkillsTable"", ""4613307D4E13235677B22BA070E1130B"", ""Radiant Blast Damage""))","","PerLevelByOnes","None","None","None","SkillModifier|Skill.DuskMage.Milestone.RadiantBlast1=1","NSLOCTEXT(""SkillsTable"", ""879994AE40279390527E38ADF164D3BF"", ""Infused enemies explode on death for 200% Weapon Damage"")","DamagePctBySkillTag|Skill.BasicAttack=.3","NSLOCTEXT(""SkillsTable"", ""A92233F24E43FD3E99FC108BCF2A8F10"", ""+30% damage for Basic Attacks"")","SkillModifier|Skill.DuskMage.Milestone.RadiantBlast2=1","NSLOCTEXT(""SkillsTable"", ""4DD9DE7247FAD9B03056979E5CE3E55B"", ""Exploding infused enemies infuse those they hit"")","False","False","0","1","(RowName=""TrySkill_DM_RadiantBlast"")","30.000000","Default","Skill00","/Game/Skills/Blueprints/DuskMage/Radiant_Blast.Radiant_Blast",""
DM_SpiritWell,"/Game/Skills/Blueprints/DuskMage/Skill_SpiritWell.Skill_SpiritWell_C","Character.Player.DuskMage","Default","None","10","0","True","(GameplayTags=((TagName=""Skill.Active""),(TagName=""Skill.DuskMage.Dark""),(TagName=""Skill.Cooldown.DuskMage"")))","(GameplayTags=)","(RowName=""DM_Dark"")","10","Default","(GameplayTags=)","SkillDamageFactorMultiplier|DM_SpiritWell=0.05","(NSLOCTEXT(""SkillsTable"", ""30BE9E62443BD08B5C2F7CBD9B66B388"", ""Spirit Well Minion Damage""))","(NSLOCTEXT(""SkillsTable"", ""DM_SpiritWell_PerLevelDisplayCategories_Index0"", """"),NSLOCTEXT(""SkillsTable"", ""19F3D0B74870DE6AEFB101B6FF419902"", ""Dark Skills""))","PerLevelByOnes","None","None","None","SkillModifier|Skill.DuskMage.Milestone.SpiritWell1=1","NSLOCTEXT(""SkillsTable"", ""28D63BCF45E2708BA0496CBD93DE8192"", ""Adds a spectral Netherim Warrior to the Spirit Well"")","DamagePctBySkillTag|Skill.Pet=.65","NSLOCTEXT(""SkillsTable"", ""230BB84945339D729DF83CA6A33F6854"", ""+65% damage for Pets"")","SkillModifier|Skill.DuskMage.Milestone.SpiritWell2=1","NSLOCTEXT(""SkillsTable"", ""73C819E54CC7D75DB2456B99F6667E24"", ""Adds a spectral Netherim Brute to the Spirit Well"")","False","False","0","2","(RowName=""TrySkill_DM_SpiritWell"")","30.000000","Default","Skill00","/Game/UI/Textures/LooseIcons/Spirit_Well.Spirit_Well",""
DM_Consecration,"/Game/Skills/Blueprints/DuskMage/Skill_Consecration.Skill_Consecration_C","Character.Player.DuskMage","Default","None","10","0","True","(GameplayTags=((TagName=""Skill.DuskMage.Light""),(TagName=""Skill.Active""),(TagName=""Skill.Cooldown.DuskMage"")))","(GameplayTags=)","(RowName=""DM_Light"")","5","Default","(GameplayTags=)","RandomBonusPctBySkillName|DM_Consecration=.05","(NSLOCTEXT(""SkillsTable"", ""3C6E7DB84B0C5BA8DC3836A22E0F48DF"", ""Consecration Buff Damage Bonus""))","","PerLevelByOnes","None","None","None","SkillModifier|Skill.DuskMage.Milestone.Consecration1=1","NSLOCTEXT(""SkillsTable"", ""D9BA19104458EE90C48A208A32318E10"", ""Consecration is 25% larger and knocks back enemies"")","ProcChance|PotionIntangible=.025","NSLOCTEXT(""SkillsTable"", ""9DB6BA564975DC74E6BD75BE54C2C1C2"", ""25% chance to become Intangible on Potion use"")","SkillModifier|Skill.DuskMage.Milestone.Consecration2=1","NSLOCTEXT(""SkillsTable"", ""B96CDD48426BED8D3A7906B6DBD390E4"", ""Consecration heals 3% total Health per second"")","False","False","2","1","(RowName=""TrySkill_DM_Consecration"")","30.000000","Default","Skill00","/Game/Skills/Blueprints/DuskMage/concecration.concecration",""
