---,BackgroundWidget,ForegroundWidget,Text,Platform,PlayerClassAny,AreaAny,SpokeTagsAny,RegionTagsAny,PrimaryElementTagsAny,AreaLoadingScreenTagsAny,CompletedQuestsAny,UncompletedQuestsAny,HasQuestsAny,CompletedQuestTasksAny,HasQuestTasksAny,Weight,Notes
EndlessDungeon,"/Game/UI/Loading/LoaderBackgroundMyFort.LoaderBackgroundMyFort_C","/Game/UI/Loading/LoaderForegrounFazeer.LoaderForegrounFazeer_C","","Any","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=((TagName=""Loading.EndlessDungeon"")))","","","","","","1",""
YourFort,"/Game/UI/Loading/LoaderBackgroundMyFort.LoaderBackgroundMyFort_C","/Game/UI/Loading/LoaderForegroundGrunt.LoaderForegroundGrunt_C","","Any","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","0",""
GoblinForest,"/Game/UI/Loading/LoaderBackground1.LoaderBackground1_C","/Game/UI/Loading/LoaderForeground1.LoaderForeground1_C","","Any","","","(GameplayTags=((TagName=""Region.GoblinIsle.GoblinForest"")))","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
MainMenu,"/Game/UI/Loading/MainMenuLoadingScreenBackground.MainMenuLoadingScreenBackground_C","None","","Any","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=((TagName=""Loading.Menu"")))","","","","","","0",""
WideloadsLair,"/Game/UI/Loading/LoaderBackground1.LoaderBackground1_C","/Game/UI/Loading/LoaderForegroundWideload.LoaderForegroundWideload_C","","Any","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","0",""
InfestedForest,"/Game/UI/Loading/LoaderBackground2.LoaderBackground2_C","/Game/UI/Loading/LoaderForegroundHyvid.LoaderForegroundHyvid_C","","Any","","","(GameplayTags=((TagName=""Region.GoblinIsle.InfestedForest"")))","(GameplayTags=)","(GameplayTags=)","(GameplayTags=((TagName=""Loading.Hyvid"")))","","","","","","1",""
ImperialOutpost,"/Game/UI/Loading/LoaderBackgroundImperialOutpost.LoaderBackgroundImperialOutpost_C","/Game/UI/Loading/LoaderForeground2.LoaderForeground2_C","","Any","","","(GameplayTags=((TagName=""Area.Town"")))","(GameplayTags=)","(GameplayTags=)","(GameplayTags=((TagName=""Area.Town"")))","","","","","","0",""
EchonokExt,"/Game/UI/Loading/StaticLoadingScreenBackgroundEchonokExt.StaticLoadingScreenBackgroundEchonokExt_C","/Game/UI/Loading/StaticLoadingScreenForegroundEchonok.StaticLoadingScreenForegroundEchonok_C","","Any","","","(GameplayTags=((TagName=""Region.RedHavenCoast.EchonokMountains"")))","(GameplayTags=)","(GameplayTags=)","(GameplayTags=((TagName=""Loading.Exterior"")))","","","","","","1",""
EchonokInt,"/Game/UI/Loading/StaticLoadingScreenBackgroundEchonokInt.StaticLoadingScreenBackgroundEchonokInt_C","/Game/UI/Loading/StaticLoadingScreenForegroundEchonok.StaticLoadingScreenForegroundEchonok_C","","Any","","","(GameplayTags=((TagName=""Region.RedHavenCoast.EchonokMountains"")))","(GameplayTags=)","(GameplayTags=)","(GameplayTags=((TagName=""Loading.Interior"")))","","","","","","1",""
Misc_Discord,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""06D383DA4D7ADDC66961E39F75380BC6"", ""Join the official Torchlight Frontiers Discord server via http://discord.gg/playtorchlight"")","Any","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=((TagName=""Loading.Menu"")))","","","","","","1",""
