---,Category,InternalDescription,IsDisplayed,ItemTableRowHandle,FortPropTableRowHandle,RecipeName,GrantedByDlcId,MailboxFrom,MailboxBody,PurchaseDetails,RotationGroup,RealMoneyCost,DeliveryType,SyncToCommerce,Notes
Vendor_Buy_Wolf_Brown,"(TagName=""Store.Vendor"")","","False","(RowName="""")","(RowName="""")","Vendor_Buy_Wolf_Brown","-1","","","","(RowName="""")","0","PerCharacter","False",""
Vendor_Buy_Potion_Health,"(TagName=""Store.Vendor"")","","False","(RowName=""Potion_Health"")","(RowName="""")","Vendor_Buy_Potion","-1","","","","(RowName="""")","0","PerCharacter","False",""
Vendor_Buy_Potion_Poison,"(TagName=""Store.Vendor"")","","False","(RowName=""Potion_Poison"")","(RowName="""")","Vendor_Buy_Potion_Poison","-1","","","","(RowName="""")","0","PerCharacter","False",""
Vendor_Buy_Potion_Electric,"(TagName=""Store.Vendor"")","","False","(RowName=""Potion_Electric"")","(RowName="""")","Vendor_Buy_Potion_Electric","-1","","","","(RowName="""")","0","PerCharacter","False",""
Vendor_Buy_Bow_Normal_Newbie,"(TagName=""Store.Vendor"")","","False","(RowName=""Weapon_Normal_Bow_Newbie_01"")","(RowName="""")","Vendor_Buy_Bow_Normal_Newbie","-1","","","","(RowName="""")","0","PerCharacter","False",""
Vendor_Buy_Digitus_Normal_Newbie,"(TagName=""Store.Vendor"")","","False","(RowName=""Weapon_Normal_Digitus_Newbie_01"")","(RowName="""")","Vendor_Buy_Digitus_Normal_Newbie","-1","","","","(RowName="""")","0","PerCharacter","False",""
Vendor_Buy_Focus_Normal_Newbie,"(TagName=""Store.Vendor"")","","False","(RowName=""Weapon_Normal_Focus_Newbie_01"")","(RowName="""")","Vendor_Buy_Focus_Normal_Newbie","-1","","","","(RowName="""")","0","PerCharacter","False",""
Vendor_Buy_Shield_Normal_Newbie,"(TagName=""Store.Vendor"")","","False","(RowName=""Weapon_Normal_Shield_Newbie_01"")","(RowName="""")","Vendor_Buy_Shield_Normal_Newbie","-1","","","","(RowName="""")","0","PerCharacter","False",""
Vendor_Buy_Sword_Normal_Newbie,"(TagName=""Store.Vendor"")","","False","(RowName=""Weapon_Normal_Sword_Newbie_01"")","(RowName="""")","Vendor_Buy_Sword_Normal_Newbie","-1","","","","(RowName="""")","0","PerCharacter","False",""
Vendor_Buy_Scroll_Map_Goblin_Gold_Normal,"(TagName=""Store.Vendor"")","","False","(RowName="""")","(RowName="""")","Vendor_Buy_Scroll_Mapworks_Goblin_Gold_Normal","-1","","","","(RowName="""")","0","PerCharacter","False",""
Vendor_Buy_Scroll_Map_Goblin_Item_Normal,"(TagName=""Store.Vendor"")","","False","(RowName="""")","(RowName="""")","Vendor_Buy_Scroll_Mapworks_Goblin_Item_Normal","-1","","","","(RowName="""")","0","PerCharacter","False",""
Vendor_Buy_Scroll_Map_Goblin_Gold_Magic,"(TagName=""Store.Vendor"")","","False","(RowName="""")","(RowName="""")","Vendor_Buy_Scroll_Mapworks_Goblin_Gold_Magic","-1","","","","(RowName="""")","0","PerCharacter","False",""
Vendor_Buy_Scroll_Map_Goblin_Item_Magic,"(TagName=""Store.Vendor"")","","False","(RowName="""")","(RowName="""")","Vendor_Buy_Scroll_Mapworks_Goblin_Item_Magic","-1","","","","(RowName="""")","0","PerCharacter","False",""
Vendor_Buy_Scroll_Map_Infested_Gold_Normal,"(TagName=""Store.Vendor"")","","False","(RowName="""")","(RowName="""")","Vendor_Buy_Scroll_Mapworks_Infested_Gold_Normal","-1","","","","(RowName="""")","0","PerCharacter","False",""
Vendor_Buy_Scroll_Map_Infested_Item_Normal,"(TagName=""Store.Vendor"")","","False","(RowName="""")","(RowName="""")","Vendor_Buy_Scroll_Mapworks_Infested_Item_Normal","-1","","","","(RowName="""")","0","PerCharacter","False",""
Vendor_Buy_Scroll_Map_Infested_Gold_Magic,"(TagName=""Store.Vendor"")","","False","(RowName="""")","(RowName="""")","Vendor_Buy_Scroll_Mapworks_Infested_Gold_Magic","-1","","","","(RowName="""")","0","PerCharacter","False",""
Vendor_Buy_Scroll_Map_Infested_Item_Magic,"(TagName=""Store.Vendor"")","","False","(RowName="""")","(RowName="""")","Vendor_Buy_Scroll_Mapworks_Infested_Item_Magic","-1","","","","(RowName="""")","0","PerCharacter","False",""
Vendor_Buy_Scroll_Map_Voltura_Gold_Normal,"(TagName=""Store.Vendor"")","","False","(RowName="""")","(RowName="""")","Vendor_Buy_Scroll_Mapworks_Voltura_Gold_Normal","-1","","","","(RowName="""")","0","PerCharacter","False",""
Vendor_Buy_Scroll_Map_Voltura_Item_Normal,"(TagName=""Store.Vendor"")","","False","(RowName="""")","(RowName="""")","Vendor_Buy_Scroll_Mapworks_Voltura_Item_Normal","-1","","","","(RowName="""")","0","PerCharacter","False",""
