---,Speakers,Type,TitleText,Text,ButtonText,Voiceover,AudioTableEntry,ContextType1,ContextParam1,ContextType2,ContextParam2,ContextType3,ContextParam3,IconPortraitTag,Tags,Weight,ContextEntries,bDefaultSet,Notes
A1C1Q0_Task_InteractKenik,"((RowName=""Kenik_Intro""))","Quest","","NSLOCTEXT(""DialogueTable"", ""54ABBA30438E8D6DD5A9E0A683B5A901"", ""What are you doin\', rookie? Don\'t just stand there, the fort is under attack! The goblin chieftain Wideload sent his flunky, Yapper, to raid the outpost! He\'s gonna break the gate any moment now! Get up there and lend a hand, I\'ll catch up!"")","","(AssetGuid=B43419C951AB4F2B88F2E3A1C48CE0C9)","(AudioTableEntry=""QST_A1C1Q0_Task_InteractKenik_Kenikb"")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Kenik"")","(GameplayTags=)","1","","True",""
A1C1Q0_KenikQuip1,"((RowName=""Kenik_Intro""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""28E3F60B466F7600D5E143A547D6E1D9"", ""Wha? No, I gotta stay here… to guard the ships."")","","(AssetGuid=7D01EE71DF3241859132F2CD67629D79)","(AudioTableEntry="""")","QuestActive","A1C1Q0:Task_GoToOutpostThreshold","QuestActive","A1C1Q0:Task_TriggerIntroThreshold","QuestActive","A1C1Q0:Task_KillGoblins","(TagName=""Dialogue.LoreSpeakers.Kenik"")","(GameplayTags=)","1","","True",""
A1C1Q0_KenikQuip2,"((RowName=""Kenik_Intro""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""11A236574F5F636DAEF293954F7F4423"", ""You\'ve got this. I\'d help, but… my knee."")","","(AssetGuid=7D01EE71DF3241859132F2CD67629D79)","(AudioTableEntry="""")","QuestActive","A1C1Q0:Task_GoToOutpostThreshold","QuestActive","A1C1Q0:Task_TriggerIntroThreshold","QuestActive","A1C1Q0:Task_KillGoblins","(TagName=""Dialogue.LoreSpeakers.Kenik"")","(GameplayTags=)","1","","True",""
A1C1Q0_KenikQuip3,"((RowName=""Kenik_Intro""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""8C3049754D7FD1B73C373187D3301862"", ""What, are ya chicken?"")","","(AssetGuid=7D01EE71DF3241859132F2CD67629D79)","(AudioTableEntry="""")","QuestActive","A1C1Q0:Task_GoToOutpostThreshold","QuestActive","A1C1Q0:Task_TriggerIntroThreshold","QuestActive","A1C1Q0:Task_KillGoblins","(TagName=""Dialogue.LoreSpeakers.Kenik"")","(GameplayTags=)","1","","True",""
A1C1Q0_Task_TurnInGraye,"((RowName=""GeneralGraye_Intro""))","Quest","","NSLOCTEXT(""DialogueTable"", ""A1C1Q0_Task_TurnInGraye_Text"", ""Thanks for your help, recruit, we couldn\'t have defeated Yapper without you. After years of peace, why attack now? No matter, answers can wait. The wounded need help and the dead need peace. I need you to take the fallen soldiers\' swords to Heroes\' Rest and lay them upon the altars. Hurry back once you\'re finished, we’re just getting started."")","","(AssetGuid=B43419C951AB4F2B88F2E3A1C48CE0C9)","(AudioTableEntry=""QST_Graye_A1C1Q0_Task_TurnInGraye"")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.General"")","(GameplayTags=)","1","","True",""
A1C1Q0_Modal_GeneralGrayeQuip1,"((RowName=""GeneralGraye_Intro""))","Modal","","NSLOCTEXT(""DialogueTable"", ""5A59FDE44E2E0A8F079A72B5B9B09165"", ""I\'d better check that tougher gob. He doesn\'t seem quite dead…"")","","(AssetGuid=00000000000000000000000000000000)","(AudioTableEntry="""")","QuestActive","A1C1Q0:Task_FindExit","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.General"")","(GameplayTags=)","1","","True",""
A1C1Q0_Modal_GeneralGrayeQuip2,"((RowName=""GeneralGraye_Intro""))","Modal","","NSLOCTEXT(""DialogueTable"", ""313EA5414BE7EF5DBA39038EC6809451"", ""On behalf of the Empire, thanks again for your help."")","","(AssetGuid=00000000000000000000000000000000)","(AudioTableEntry="""")","QuestActive","A1C1Q0:Task_FindExit","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.General"")","(GameplayTags=)","1","","True",""
A1C1Q0_Modal_Kenik,"((RowName=""Kenik_Intro""))","Modal","","NSLOCTEXT(""DialogueTable"", ""A1C1Q0_Modal_Kenik_Text"", ""I WOULD have helped in the battle, but I’d kick myself for spilling any of this Mad Jackal Ale. It’s hard to come by out here, y’know?"")","","(AssetGuid=C0267CA7FE4F4EE88349ACA04CE3313A)","(AudioTableEntry=""Kenik_Quips"")","QuestActive","A1C1Q0:Task_FindExit","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Kenik"")","(GameplayTags=)","1","","True",""
IO_Modal_ThanesSnow_01,"((RowName=""ThanesSnow""))","Modal","","NSLOCTEXT(""DialogueTable"", ""17AFE321403FF4DEFB29EFB9F20542DB"", ""Me? Skittish? You would be too, if you\'ve been where I\'ve been. General Graye needs your help in the goblin frontier before you can help us with the Hyvid infestation. One problem at a time, right?"")","","(AssetGuid=E357856E64CE43F6B4DF293399715635)","(AudioTableEntry=""MOD_IO_Modal_ThanesSnow_01_Snow"")","QuestComplete","A1C1Q0","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.ImperialSoldier"")","(GameplayTags=)","2","","True",""
A1C1Q1_Modal_Yapper,"((RowName=""Yapper""))","Modal","","NSLOCTEXT(""DialogueTable"", ""A1C1Q1_Modal_Yapper_Text"", ""Captured by humans! Humiliating! Chief Wideload will crush Yapper!"")","","(AssetGuid=E357856E64CE43F6B4DF293399715635)","(AudioTableEntry=""MOD_A1C1Q1_Modal_Yapper_FX"")","QuestComplete","A1C1Q0","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Yapper"")","(GameplayTags=)","1","","True",""
