---,VideoSource,Notes
act1_threesisters_wip_2,"/Game/Movies/act1_threesisters_wip_2.act1_threesisters_wip_2",""
Act2_Intro,"/Game/Movies/Act2_Intro.Act2_Intro",""
act2_PsoraFightIntro_1,"/Game/Movies/act2_PsoraFightIntro_1.act2_PsoraFightIntro_1",""
act2_sadistadefeat_01,"/Game/Movies/act2_sadistadefeat_01.act2_sadistadefeat_01",""
act2_SadistaFightIntro,"/Game/Movies/act2_SadistaFightIntro.act2_SadistaFightIntro",""
Act3_Intro,"/Game/Movies/Act3_Intro.Act3_Intro",""
act3_KenikSquawkClawIntro_01,"/Game/Movies/act3_KenikSquawkClawIntro_01.act3_KenikSquawkClawIntro_01",""
act3_Mother_Fight,"/Game/Movies/act3_Mother_Fight.act3_Mother_Fight",""
EndGame,"/Game/Movies/EndGame.EndGame",""
IntroCinematic,"/Game/Movies/IntroCinematic.IntroCinematic",""
