---,LevelRangeString,DropWeight,MaxCount,TextFormat,ItemTextFormat,bAlwaysShowAffixName,bIsPrimaryAffix,TraitType,AffixTags,SkillNameTag,ElementTag,AffixCurveValue1,AffixCurveValue2,AffixCurveValue3,AffixCurveValue4,AffixCurveValue5,AffixCurveValue6,TraitString,Normal,Magic,Rare,Legendary,Unique,SetBonusTag,SetBonusCountRequired,EnchantingMagicMultipliers,EnchantingRareMultipliers,EnchantingLegendaryMultipliers,LifeboundMultiplier,bRound,TextOnDrop,Notes
Ammo_Regen,"1-100","200","1","NSLOCTEXT(""AffixTable"", ""7450337343B5E072856418912694C884"", ""+{0%}% Ammo /sec. Regen"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.NonElemental""),(TagName=""Affix.Energy.Regen""),(TagName=""Character.Player.Sharpshooter""),(TagName=""Item.Weapon.Focus""),(TagName=""Item.Armour.Helm""),(TagName=""Item.Armour.Boots"")))","(TagName="""")","(TagName="""")","EnergyRegen","None","None","None","None","None","Ammo.Regen.Multiplier","0.1-0.16","0.15-0.25","0.23-0.31","0.23-0.31","","(TagName="""")","0","","","","1.200000","False","","Charge: Dusk Mage"
Ammo_Regen_Primary,"1-100","200","1","NSLOCTEXT(""AffixTable"", ""92AC21FA411F988905CAF5BDB4AC05F3"", ""+{0%}% Ammo /sec. Regen"")","","False","True","Default","(GameplayTags=((TagName=""Affix.Primary""),(TagName=""Affix.NonElemental""),(TagName=""Character.Player.Sharpshooter""),(TagName=""Item.Weapon.Focus""),(TagName=""Affix.Energy.Regen.Weak"")))","(TagName="""")","(TagName="""")","EnergyRegen","None","None","None","None","None","Ammo.Regen.Multiplier","0.25-0.4","0.375-0.625","0.575-0.775","0.575-0.775","","(TagName="""")","0","","","","1.200000","False","","Charge: Dusk Mage"
Ammo_Regen_Primary_Strong,"1-100","200","1","NSLOCTEXT(""AffixTable"", ""EC83047A45216BF5E642DEAF0856ABC6"", ""+{0%}% Ammo /sec. Regen"")","NSLOCTEXT(""AffixTable"", ""32E6D118475BAAA06E32D68652161D42"", ""Swift {0}"")","False","True","Default","(GameplayTags=((TagName=""Affix.Primary""),(TagName=""Affix.NonElemental""),(TagName=""Character.Player.Sharpshooter""),(TagName=""Item.Weapon.Focus""),(TagName=""Affix.Energy.Regen.Strong"")))","(TagName="""")","(TagName="""")","EnergyRegen","None","None","None","None","None","Ammo.Regen.Multiplier","0.3-0.48","0.45-0.75","0.69-0.93","0.69-0.93","","(TagName="""")","0","","","","1.200000","False","","Charge: Dusk Mage"
AttackSpeedBonus,"1-100","100","1","NSLOCTEXT(""AffixTable"", ""8A22EBC04B8724CFACC513BEFCC053E9"", ""+{0%}% Attack Speed for Basic Attacks"")","NSLOCTEXT(""AffixTable"", ""AttackSpeedBonus_ItemTextFormat"", ""{0} of Deftness"")","True","False","Weapon","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.NonElemental""),(TagName=""Item.Weapon.1H""),(TagName=""Item.Weapon.2H""),(TagName=""Item.Weapon.Focus""),(TagName=""Item.Armour.Gloves""),(TagName=""Affix.AttackSpeed.Bonus""),(TagName=""Item.Weapon.Sword""),(TagName=""Item.Weapon.Mace""),(TagName=""Item.Weapon.Digitus""),(TagName=""Item.Weapon.Staff""),(TagName=""Item.Weapon.Greatweapon""),(TagName=""Item.Weapon.Hammer""),(TagName=""Item.Weapon.Shield""),(TagName=""Item.Armour.Chest"")))","(TagName="""")","(TagName="""")","AttackSpeed","None","None","None","None","None","AttackSpeedBonusMult|Skill.Weapon",".3-.5",".6-.72",".7-.85",".7-.85","","(TagName="""")","0","","","","1.200000","False","",""
Block,"1-100","200","1","NSLOCTEXT(""AffixTable"", ""EBA0D6284139AB8C3CDC668ED7EFCD91"", ""{0%}% chance to Block"")","NSLOCTEXT(""AffixTable"", ""E689FFAA4BCB35AD3A882D8F5944945D"", ""Reinforced {0}"")","False","True","Default","(GameplayTags=((TagName=""Affix.Primary""),(TagName=""Affix.NonElemental""),(TagName=""Affix.Block""),(TagName=""Item.Pet.Collar""),(TagName=""Item.Armour.Shoulders""),(TagName=""Item.Armour.Gloves"")))","(TagName="""")","(TagName="""")","BlockChance","None","None","None","None","None","BlockChance","2-2.75","2.5-3.5","4-4.75","4-4.75","","(TagName="""")","0","","","","1.200000","False","",""
Block_Secondary,"1-100","200","1","NSLOCTEXT(""AffixTable"", ""0838E6BC43B4350983BD518895C2243E"", ""+{0%}% chance to Block"")","NSLOCTEXT(""AffixTable"", ""Block_Secondary_ItemTextFormat"", ""{0} of Deflecting"")","True","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.NonElemental""),(TagName=""Item.Weapon.Shield""),(TagName=""Affix.Block""),(TagName=""Item.Pet.Collar""),(TagName=""Item.Armour.Shoulders""),(TagName=""Item.Armour.Gloves"")))","(TagName="""")","(TagName="""")","BlockChance","None","None","None","None","None","BlockChance","0.25-0.75","0.75-1","1.5-2.5","1.5-2.5","","(TagName="""")","0","","","","1.200000","False","",""
Block_Strong,"1-100","200","1","NSLOCTEXT(""AffixTable"", ""EBA0D6284139AB8C3CDC668ED7EFCD91"", ""{0%}% chance to Block"")","NSLOCTEXT(""AffixTable"", ""680D310E48C403B7E69A00BF2B1BCAD5"", ""Rampart {0}"")","False","True","Default","(GameplayTags=((TagName=""Affix.Primary""),(TagName=""Item.Weapon.Shield""),(TagName=""Affix.Block""),(TagName=""Affix.Block.Strong"")))","(TagName="""")","(TagName="""")","BlockChance","None","None","None","None","None","BlockChance","3.5-4.5","4-4.75","5-6.5","5-6.5","","(TagName="""")","0","","","","1.200000","False","",""
Bundle_Contents_Tooltip,"1-100","0","0","NSLOCTEXT(""AffixTable"", ""A7656CF8480948783D0307AF465867C5"", ""Contains:"")","","False","True","NoTraits","(GameplayTags=)","(TagName="""")","(TagName="""")","None","None","None","None","None","None","","","","","","","(TagName="""")","0","","","","1.200000","False","",""
CooldownPctRelicActiveSkill,"1-100","100","1","NSLOCTEXT(""AffixTable"", ""486279594C424A1AB390EEA92399C77F"", ""-{-0%}% Relic Energy Costs"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Item.Armour.Gloves""),(TagName=""Item.Weapon.1H""),(TagName=""Item.Weapon.2H""),(TagName=""Item.Weapon.Focus""),(TagName=""Item.Armour.Shoulders""),(TagName=""Affix.Skill.Cooldown.RelicActive"")))","(TagName="""")","(TagName="""")","NegativeOnes","None","None","None","None","None","EnergyCostPctBySkillTag|Skill.Relic","0.01-0.03","0.02-0.045","0.044-0.066","0.044-0.066","","(TagName="""")","0","","","","1.200000","False","",""
CriticalHit_Chance,"1-100","200","1","NSLOCTEXT(""AffixTable"", ""2B9A08134E3C6C262B6798808DD06676"", ""+{0%}% Critical Hit chance"")","NSLOCTEXT(""AffixTable"", ""81AC2FC1403D4D130C0D27A5F45E84A7"", ""{0} of Precision"")","True","False","Weapon","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.NonElemental""),(TagName=""Item.Weapon.1H""),(TagName=""Item.Weapon.2H""),(TagName=""Item.Weapon.Cannon""),(TagName=""Affix.CriticalHit.Chance""),(TagName=""Item.Weapon.Sword""),(TagName=""Item.Weapon.Mace""),(TagName=""Item.Weapon.Digitus""),(TagName=""Item.Weapon.Staff""),(TagName=""Item.Weapon.Greatweapon""),(TagName=""Item.Weapon.Hammer"")))","(TagName="""")","(TagName="""")","CritChance","None","None","None","None","None","CriticalHitChance","0.2-0.375","0.3-0.5","0.4-0.6","0.4-0.6","","(TagName="""")","0","","","","1.200000","False","",""
CriticalHit_Chance_Armor,"1-100","200","1","NSLOCTEXT(""AffixTable"", ""2B9A08134E3C6C262B6798808DD06676"", ""+{0%}% Critical Hit chance"")","NSLOCTEXT(""AffixTable"", ""75B8F6D94A67B756FBF622932F774EA1"", ""{0} of Precision"")","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.NonElemental""),(TagName=""Item.Armour.Pants""),(TagName=""Item.Armour.Locomotion""),(TagName=""Item.Armour.Helm""),(TagName=""Item.Pet.Tag""),(TagName=""Affix.CriticalHit.Chance"")))","(TagName="""")","(TagName="""")","CritChance","None","None","None","None","None","CriticalHitChance","0.2-0.375","0.3-0.5","0.4-0.6","0.4-0.6","","(TagName="""")","0","","","","1.200000","False","",""
CriticalHit_Chance_Primary,"1-100","200","1","NSLOCTEXT(""AffixTable"", ""A3FD753F413E49B0C01690B365DDD729"", ""+{0%}% Critical Hit chance"")","","False","True","Weapon","(GameplayTags=((TagName=""Affix.Primary""),(TagName=""Affix.NonElemental""),(TagName=""Item.Weapon.Greatweapon""),(TagName=""Item.Weapon.Hammer""),(TagName=""Item.Weapon.Staff""),(TagName=""Affix.CriticalHit.Chance""),(TagName=""Item.Weapon.2H""),(TagName=""Item.Weapon.Cannon"")))","(TagName="""")","(TagName="""")","CritChance","None","None","None","None","None","CriticalHitChance","0.6-0.8","0.7-0.9","0.8-1.0","0.8-1.0","","(TagName="""")","0","","","","1.200000","False","",""
